galaxy,model,holdout,n,n_train,n_test,chi2_data,chi2_data_per_row,prior_penalty,objective,eta,physical_length_kpc,physical_amplitude_kms,length_catalogue_kpc,amplitude_catalogue_kms,ml_disk,ml_bulge,distance_ratio,inclination_deg,maximum_abs_pull,nuisance_bound_hit,train_admissible,holdout_admissible,holdout_chi2,holdout_chi2_per_row,minimum_training_v2,minimum_test_v2,nuisance_parameters_json,n_parameters,success,optimality,eta_bound_hit,eta_boundary,scale_bound_hit,n_starts,parameters_json,worst_restart_objective,baseline_same_split_objective,objective_improvement_over_baseline
UGC01281,free_family,True,25,20,5,50.469285239667826,2.523464261983391,43.40732756695838,93.87661280662621,9.717310719222192e-13,0.055172249401647125,8.586878825597736,0.04908800334558662,8.586878825597735,1.9905358527674861,0.7,1.1239456820687233,89.99999922780985,5.999999999999999,True,True,True,140.08286011052863,28.016572022105727,1.9799003797248815,1143.4845462597814,"{""disk_pull"": 5.999999999999999, ""distance_pull"": 2.7216406020923833, ""inclination_pull"": -7.721901456065714e-07}",6,True,3.2054018229283416e-06,True,lower,False,5,"[-3.014140605082471, 0.7082570807966504, 9.717310719217469e-13, 5.999999999999999, 2.7216406020923833, -7.721901456065714e-07]",93.87768634426173,93.87699234559057,0.00037953896436704326
UGC02259,free_family,True,8,6,2,34.20329379393976,5.700548965656626,2.8122730877655107,37.01556688170527,1.1754583881017072e-25,2.1671556743046634,90.71375602861035,1.5489390343781309,94.559908841764,0.5857402794500006,0.7,1.3991226421475875,43.147206830932376,1.3518670137256996,False,True,True,45.39758470678832,22.69879235339416,1720.4090390520398,5498.711925540436,"{""disk_pull"": 0.6873508573493656, ""distance_pull"": 1.3518670137256996, ""inclination_pull"": 0.7157356103107918}",6,True,0.0027784879823211177,True,lower,False,5,"[0.43757020260862145, 4.549233589631985, 1.1754583881017072e-25, 0.6873508573493656, 1.3518670137256996, 0.7157356103107918]",48.87358552478132,40.11515865946877,3.099591777763507
UGC02487,free_family,True,17,13,4,29.54442180321056,2.272647831016197,5.44891921623692,34.993341019447485,1.5726359491109427e-15,20.611359361525242,281.83980368758847,17.492735336057546,334.85298363813104,0.6117222270553169,0.8273270856315877,1.1782810958695131,44.29443816101512,1.658887632203024,False,True,True,96.29888991265813,24.07472247816453,106414.8416332387,82548.07589211909,"{""disk_pull"": 0.8758425662949241, ""bulge_pull"": 0.7257920279224326, ""distance_pull"": 1.1845407427483992, ""inclination_pull"": 1.658887632203024}",7,True,0.0006120557680905684,True,lower,False,5,"[2.8617856710879366, 5.813691580688562, 1.5726359491109413e-15, 0.8758425662949241, 0.7257920279224326, 1.1845407427483992, 1.658887632203024]",63.03059877661538,36.243431010612426,1.2500899911649483
UGC02885,free_family,True,19,15,4,16.579548745308486,1.1053032496872324,3.9938894635252,20.573438208833686,6.478732905986041e-28,24.597499536994945,284.86569511147746,22.523397390741668,290.5406858524983,0.650665066149411,0.9247950003088179,1.0920865582696617,66.44824243342892,1.2094743315544854,False,True,True,11.324939526635019,2.8312348816587547,69895.54858183103,76176.48992642606,"{""disk_pull"": 1.143874859911794, ""bulge_pull"": 1.2094743315544854, ""distance_pull"": 0.9208655826966181, ""inclination_pull"": 0.6120606083572294}",7,True,0.0011614219388654192,True,lower,False,5,"[3.1145546529384736, 5.671743621054942, 6.478732905986041e-28, 1.143874859911794, 1.2094743315544854, 0.9208655826966181, 0.6120606083572294]",23.07638350360214,20.95043135437509,0.37699314554140173
UGC02916,free_family,True,43,34,9,78.9188280874452,2.321142002571918,72.89206751172911,151.81089559917433,3.2878934037712934e-11,0.42149749151705596,221.73195878487059,0.35565402524039647,239.38726004443546,1.9905358527674861,0.1827320179617873,1.185133476929311,55.795901581854736,5.999999999999999,True,True,True,2.805133141790499,0.3116814601989443,20018.2134414095,29947.857290193166,"{""disk_pull"": 5.999999999999999, ""bulge_pull"": -5.832833897288717, ""distance_pull"": 1.2354825909364222, ""inclination_pull"": 1.1591803163709467}",7,True,8.49819367673272e-05,True,lower,False,5,"[-1.0337968598843847, 5.478082575519184, 3.287893403717242e-11, 5.999999999999999, -5.832833897288717, 1.2354825909364222, 1.1591803163709467]",153.43542516667307,151.8984630427921,0.08756744361775759
UGC02953,free_family,True,115,92,23,530.7475893073522,5.768995535949481,3.4221390391054194,534.1697283464576,4.327829317271185,5.631828966408612,93.72711581902307,4.966158595220332,94.7758416005075,0.7163730731257332,0.5737137107496249,1.134041303439031,50.77021458471275,1.561692489818383,False,True,True,2414.0423559914943,104.95836330397802,4433.519379813336,36622.76816470326,"{""disk_pull"": 1.561692489818383, ""bulge_pull"": -0.864028111327689, ""distance_pull"": 0.4468043447967706, ""inclination_pull"": 0.1925536461781876}",7,True,0.005455138158990633,False,none,False,5,"[1.6026466227863214, 4.551514541347224, 1.6729438976782554, 1.561692489818383, -0.864028111327689, 0.4468043447967706, 0.1925536461781876]",536.6966164979732,561.3812213030619,27.211492956604275
UGC03205,free_family,True,48,38,10,130.39729023704982,3.4315076378171003,5.6069831184415415,136.00427335549136,999.9875681490953,1101.3523157912866,9843.534838437294,833.2276040879497,9999.989113526251,0.6768700638417791,0.8783590250244077,1.3217904812417083,69.25004104428616,1.6089524062085416,False,True,True,1810.6249590098896,181.06249590098895,10196.235228331967,47547.825875188406,"{""disk_pull"": 1.315353024989813, ""bulge_pull"": 0.9857402796054654, ""distance_pull"": 1.6089524062085416, ""inclination_pull"": 0.5625102610715402}",7,True,0.0025688815342379484,True,upper,True,5,"[6.725306839044396, 9.210339283328215, 6.9087423598066255, 1.315353024989813, 0.9857402796054654, 1.6089524062085416, 0.5625102610715402]",136.00427594318768,136.00543741642431,0.0011640609329219842
UGC03546,free_family,True,30,24,6,11.073301675197538,0.4613875697998974,2.100171041391536,13.173472716589075,1.955339045933986e-13,6.062928886281454,195.38105756196316,6.5485361536199855,193.7347787719011,0.6079399294752547,0.5398217738849459,0.9258449131306863,54.31633660502082,1.128476420327956,False,True,True,18.074297952061674,3.012382992010279,38334.38364597583,25956.054822529775,"{""disk_pull"": 0.8489066443298027, ""bulge_pull"": -1.128476420327956, ""distance_pull"": -0.2955904157151813, ""inclination_pull"": -0.13673267899583602}",7,True,3.0239297800219675e-05,True,lower,False,5,"[1.879241536673048, 5.266490103970081, 1.9553390459337949e-13, 0.8489066443298027, -1.128476420327956, -0.2955904157151813, -0.13673267899583602]",16.327330720781294,13.402005673077554,0.22853295648847904
UGC03580,free_family,True,47,37,10,58.61179163802383,1.5841024767033467,23.966944911588566,82.5787365496124,5.200411835441454e-23,3.0619965838921646,123.95921969299194,4.750179550365604,122.74470918877051,0.9604060461088967,0.2970723380233846,0.6446064935916989,61.918237154695476,3.7223582578414667,False,True,True,1718.9536449631357,171.89536449631356,432.0329781759935,7306.703989000451,"{""disk_pull"": 2.8348488110089263, ""bulge_pull"": -3.7223582578414667, ""distance_pull"": -1.4147395351253529, ""inclination_pull"": -0.2704407113261308}",7,True,0.0023579254483997295,True,lower,False,5,"[1.5581824174091141, 4.810106663413889, 5.200411835441454e-23, 2.8348488110089263, -3.7223582578414667, -1.4147395351253529, -0.2704407113261308]",86.08010628474545,83.21604552992191,0.6373089803094985
UGC04278,free_family,True,25,20,5,5.603675206665332,0.2801837603332666,4.281377574228149,9.885052780893481,2.792191232819833e-10,18.388449205779597,311.72043197658144,12.993167407418102,311.72043197658144,0.7122661596592958,0.7,1.415239920273882,89.99999999998828,1.5367230681698307,True,True,True,16.18907758847303,3.2378155176946057,21.240910570618134,7959.732956433682,"{""disk_pull"": 1.5367230681698307, ""distance_pull"": 1.3855900497560059, ""inclination_pull"": -3.906247236615051e-12}",6,True,1.8846449871289315e-05,True,lower,False,5,"[2.564423635249067, 5.742106734758377, 2.792191232430017e-10, 1.5367230681698307, 1.3855900497560059, -3.906247236615051e-12]",9.886009523037929,9.885249927720922,0.00019714682744087497
UGC04325,free_family,True,8,6,2,2.008762705658511,0.33479378427641854,0.05738481798899941,2.0661475236475106,1.1931342319920739e-17,1.1760274511720918,104.7937741237831,1.1073211781546035,105.34430729962912,0.5097053747815266,0.7,1.0620472852618879,41.26218016961743,0.20682428420629276,False,True,True,18.749889222771454,9.374944611385727,1584.5093614118769,6551.487417423456,"{""disk_pull"": 0.08349208859617302, ""distance_pull"": 0.20682428420629276, ""inclination_pull"": 0.08739338987247747}",6,True,3.004169332619772e-05,True,lower,False,5,"[0.10194374548014817, 4.657234102716434, 1.1931342319920739e-17, 0.08349208859617302, 0.20682428420629276, 0.08739338987247747]",2.066147523687477,2.651976119037152,0.5858285953896414
UGC04483,free_family,True,8,6,2,1.1209893379643916,0.1868315563273986,0.0009397022009227231,1.1219290401653144,0.423608014320784,0.29807531407481974,20.523883499305665,0.2983232765395577,20.519643111682655,0.49671474757719847,0.7,0.9991688128810656,57.98106067142736,0.028629498444839675,False,True,True,4.979023052534145,2.4895115262670724,19.708025078421187,471.6317033240324,"{""disk_pull"": -0.028629498444839675, ""distance_pull"": -0.00895537089432553, ""inclination_pull"": -0.006313109524213309}",6,True,6.543829050906638e-05,False,none,False,5,"[-1.209577559866854, 3.021382627933128, 0.35319450425366544, -0.028629498444839675, -0.00895537089432553, -0.006313109524213309]",1.4668098203848852,1.122425782926094,0.0004967427607796004
UGC04499,free_family,True,9,7,2,3.325418903420706,0.47505984334581514,0.01652431848464386,3.3419432219053498,9.502137087678713e-15,2.2668270358589284,77.72832671651517,2.2494671181859895,77.75422954424101,0.5146853444599354,0.7,1.007717346714069,50.02276039451029,0.12571797660416809,False,True,True,4.226354532342275,2.1131772661711374,776.933052419053,4830.130606737435,"{""disk_pull"": 0.12571797660416809, ""distance_pull"": 0.025724489046896983, ""inclination_pull"": 0.007586798170096589}",6,True,8.839510766487811e-05,True,lower,False,5,"[0.8106933518043862, 4.353552948862599, 9.502137087678669e-15, 0.12571797660416809, 0.025724489046896983, 0.007586798170096589]",6.8473972533376,3.654886759093981,0.31294353718863155
UGC05005,free_family,True,11,8,3,0.1372993890587023,0.017162423632337786,0.014500169116549264,0.15179955817525154,9.043244376429193e-15,7.352670061540514,109.47943062623092,7.281277250807819,111.59121916858454,0.5060301660098482,0.7,1.0098049845203703,41.96788737504419,0.09678873750441895,False,True,True,1.0465676199926097,0.3488558733308699,189.70647853319997,8217.515023732793,"{""disk_pull"": 0.05206402901244743, ""distance_pull"": 0.04920819334055032, ""inclination_pull"": 0.09678873750441895}",6,True,3.258336422499207e-07,True,lower,False,5,"[1.985306293359186, 4.714842365566591, 9.043244376429153e-15, 0.05206402901244743, 0.04920819334055032, 0.09678873750441895]",0.25731720819148324,0.1647112289425667,0.012911670767315142
UGC05253,free_family,True,73,58,15,39.646876851039416,0.6835668422593003,0.09132937190158813,39.738206222941,6.7626679644975085e-15,6.766823412766563,211.81481482046945,6.541314235577122,213.8564028317897,0.5277580058122202,0.6872862698387572,1.0344745977747,37.417297773357824,0.2346482571321388,False,True,True,1217.5077847804039,81.16718565202693,16342.025328942686,22986.14742676427,"{""disk_pull"": 0.2346482571321388, ""bulge_pull"": -0.07960372073223662, ""distance_pull"": 0.13801893165046014, ""inclination_pull"": 0.1043244433394566}",7,True,0.0014690973435117264,True,lower,False,5,"[1.8781380987328262, 5.365304774985935, 6.762667964497486e-15, 0.2346482571321388, -0.07960372073223662, 0.13801893165046014, 0.1043244433394566]",42.056608749543415,40.11330613944541,0.37509991650439645
UGC05716,free_family,True,12,9,3,4.0364853501427005,0.4484983722380778,19.497245330428736,23.533730680571438,1.0585769744603139e-16,5.675924516924094,59.31333137921937,3.5645688349784246,69.58462874843804,1.0625546109836617,0.7,1.5923172702480435,71.64335239477029,3.273812559292575,False,True,True,8.39671682512127,2.7989056083737567,1253.5738893614787,4839.36840289539,"{""disk_pull"": 3.273812559292575, ""distance_pull"": 2.3804448785440244, ""inclination_pull"": 1.7643352394770282}",6,True,0.00031475815678536664,True,lower,False,5,"[1.2710431026468854, 4.2425436916335855, 1.0585769744603139e-16, 3.273812559292575, 2.3804448785440244, 1.7643352394770282]",24.843529011217292,23.70890042386899,0.17516974329755186
UGC05721,free_family,True,23,18,5,5.171611077188523,0.2873117265104735,1.9871607179860076,7.15877179517453,1.3677900170814824e-15,1.3488195958818745,95.92915637688415,1.036369904288165,97.68389896514182,0.6159665597048456,0.7,1.3014847211414509,62.95104650907204,1.0071219333265766,False,True,True,29.068805203535163,5.813761040707033,255.87483721316204,4126.255733379732,"{""disk_pull"": 0.9058713099420128, ""distance_pull"": 1.0071219333265766, ""inclination_pull"": 0.3902093018144083}",6,True,7.123519863376993e-05,True,lower,False,5,"[0.0357241305811422, 4.581736744701394, 1.3677900170814814e-15, 0.9058713099420128, 1.0071219333265766, 0.3902093018144083]",7.158771795208467,7.518012793979604,0.359240998805074
