classification,class_id,class_name,class_order,model_id,fit_mode,region,n_galaxies,n_failures,median_loss,mean_loss,median_rms_kms,mean_rms_kms
detailed,2,Sab,2,A_core,inner,outer,9,0,177.2821767629938,241.02971101576915,51.06862176325259,47.916569355855934
detailed,2,Sab,2,A_nfw,full,all,9,0,5.9128550754589515,11.445147257120112,15.762003386052667,15.695537497613962
detailed,2,Sab,2,A_nfw,inner,outer,9,0,11.490535494529118,58.35958313316965,20.4076652224123,23.371358475123564
detailed,2,Sab,2,B_core,full,all,9,0,1.9082069073654793,4.748930631724136,14.091088903147897,14.119331111927005
detailed,2,Sab,2,B_core,inner,outer,9,0,60.40114457488324,124.79944794472938,29.649483752714435,30.9392574535389
detailed,2,Sab,2,B_nfw,full,all,9,0,2.216408040716855,4.081404994387031,14.935619158160995,13.46951826155149
detailed,2,Sab,2,B_nfw,inner,outer,9,0,29.205252014516308,59.123459905564054,15.921720226589532,19.891346913269512
detailed,2,Sab,2,C_core,full,all,9,0,1.9057625073585631,4.692777913278209,14.100431424237176,14.06757556057907
detailed,2,Sab,2,C_core,inner,outer,9,0,81.16718565202694,136.85013513478603,38.78674192011914,33.076263499091425
detailed,2,Sab,2,C_nfw,full,all,9,0,2.216408040716855,4.081404994387031,14.935619158160995,13.46951826155149
detailed,2,Sab,2,C_nfw,inner,outer,9,0,29.205252014516308,59.123459905564054,15.921720226589532,19.891346913269512
detailed,3,Sb,3,A_core,full,all,12,0,3.8166723480832814,13.482863695596018,12.908824123141201,19.28938521621232
detailed,3,Sb,3,A_core,inner,outer,12,0,13.74590173728613,39.01019336030503,28.30987630934623,28.51743412020414
detailed,3,Sb,3,A_nfw,full,all,12,0,2.8381216780623992,6.834482045248898,9.240654205683654,13.83605000827592
detailed,3,Sb,3,A_nfw,inner,outer,12,0,2.3839540206305583,8.232466540783857,10.02942642571259,12.253484982338774
detailed,3,Sb,3,B_core,full,all,12,0,1.1288664660380405,1.6423939879284575,8.238913478297853,8.465808248670813
detailed,3,Sb,3,B_core,inner,outer,12,0,5.467297233359068,16.286452531792214,20.26398977144168,20.093901489902322
detailed,3,Sb,3,B_nfw,full,all,12,0,1.2245690739797777,1.3515095715098084,7.684782233648129,7.974325186455929
detailed,3,Sb,3,B_nfw,inner,outer,12,0,2.422480236070888,6.586518187059347,6.4709983724120415,13.602358315086102
detailed,3,Sb,3,C_core,full,all,12,0,1.1057279751689264,1.5994402328226551,8.051472692705158,8.346105395121109
detailed,3,Sb,3,C_core,inner,outer,12,0,3.726889961462901,15.379716895422495,11.395065942468483,17.906887356911007
detailed,3,Sb,3,C_nfw,full,all,12,0,1.2245690739797777,1.3515095715098084,7.684782233648129,7.974325186455929
detailed,3,Sb,3,C_nfw,inner,outer,12,0,2.422480236070888,6.586518187059347,6.4709983724120415,13.602358315086102
detailed,4,Sbc,4,A_core,full,all,17,0,1.7387451034771428,6.667235085389193,9.113684539840886,12.394218165738824
detailed,4,Sbc,4,A_core,inner,outer,15,0,14.300104257623573,31.320722896025398,18.55202413082342,22.971412343378994
detailed,4,Sbc,4,A_nfw,full,all,17,0,1.8131227426374072,8.839853024342172,9.209489039030212,10.967888131799832
detailed,4,Sbc,4,A_nfw,inner,outer,15,0,3.187459744706442,77.30553658497692,15.225387670040718,16.53398627327679
detailed,4,Sbc,4,B_core,full,all,17,0,1.2553922749957767,3.2173458568080893,6.025630992596843,9.641690307163028
detailed,4,Sbc,4,B_core,inner,outer,15,0,3.4840977833104807,42.37734202410352,14.297860420974658,18.16309871969559
detailed,4,Sbc,4,B_nfw,full,all,17,0,0.8986150084234727,3.1729555361782644,5.661347478180962,8.604155599117236
detailed,4,Sbc,4,B_nfw,inner,outer,15,0,1.5012595404274214,7.068146625600331,4.880668724608641,10.169203153486183
detailed,4,Sbc,4,C_core,full,all,17,0,1.2537149292561638,3.0216151326182668,5.944934069771017,9.457481426086284
detailed,4,Sbc,4,C_core,inner,outer,15,0,3.3049344625290473,41.658957820652326,14.585002460945386,18.0559979899619
detailed,4,Sbc,4,C_nfw,full,all,17,0,0.8986150084234727,3.1729555361782644,5.661347478180962,8.604155599117236
detailed,4,Sbc,4,C_nfw,inner,outer,15,0,1.5012595404274214,7.068146625600331,4.880668724608641,10.169203153486183
detailed,5,Sc,5,A_core,full,all,14,0,4.190709894211132,7.318986263439648,12.381067362019092,14.542545183257177
detailed,5,Sc,5,A_core,inner,outer,13,0,14.147878240008534,54.177830161912716,27.540686879213705,25.79337329496366
