galaxy,model_id,fit_mode,region,n_rows,failed,chi2,loss,rms_kms,signed_kms,signed_standardized
D512-2,A_nfw,full,middle_third,1,False,0.057641287190015364,0.057641287190015364,1.00596033820257,-1.00596033820257,-0.24008599957101906
D512-2,A_nfw,full,outer_third,1,False,0.24264926850523327,0.24264926850523327,2.9457146673523127,2.9457146673523127,0.49259442597864755
D564-8,A_nfw,full,inner_third,2,False,2.9821166690575898,1.4910583345287949,1.8588245051246612,1.5909952886184175,1.0573815845663816
D564-8,A_nfw,full,middle_third,2,False,0.4632886208550302,0.2316443104275151,0.8696606925452061,-0.8595574966437436,-0.47531160990155885
D564-8,A_nfw,full,outer_third,2,False,0.17698743539007492,0.08849371769503746,0.562235709707549,-0.3989537845122211,-0.2110290282869981
D631-7,A_nfw,full,inner_third,6,False,67.96846340463475,11.328077234105791,6.407418650238742,6.014179638865863,3.074260031008611
D631-7,A_nfw,full,middle_third,5,False,8.938012072867778,1.7876024145735556,2.7258719452106455,-1.890353891276412,-0.925818484707499
D631-7,A_nfw,full,outer_third,5,False,7.107098624220279,1.4214197248440557,3.770358831127381,-3.149720590423148,-0.9632643790897077
DDO064,A_nfw,full,inner_third,5,False,3.2381901213633215,0.6476380242726643,3.7179893820834744,3.31806143898854,0.7181951166641861
DDO064,A_nfw,full,middle_third,5,False,2.8843199387642704,0.5768639877528541,3.5666532190138507,-2.0777140501884164,-0.4393008604193539
DDO064,A_nfw,full,outer_third,4,False,0.47337497556205005,0.11834374389051251,2.5479098894556644,0.7788134308365038,0.04094049599035075
DDO154,A_nfw,full,inner_third,4,False,67.26299675345489,16.81574918836372,3.911454890832827,3.4877016957897293,3.830957020534349
DDO154,A_nfw,full,middle_third,4,False,14.719126470290597,3.679781617572649,0.42462965643813505,-0.1991470038471519,-1.2584098833099233
DDO154,A_nfw,full,outer_third,4,False,35.72995753847496,8.93248938461874,3.1637641147442146,2.319286519785635,2.505418007791321
DDO161,A_nfw,full,inner_third,11,False,18.035243104062197,1.639567554914745,4.205736807993019,4.103324543378289,1.213114800097916
DDO161,A_nfw,full,middle_third,10,False,9.781897691134752,0.9781897691134752,1.653006665842252,-0.016197028633184375,-0.2813568575827283
DDO161,A_nfw,full,outer_third,10,False,5.501934768728216,0.5501934768728216,1.060026349669788,-0.2549927458640823,-0.008851981812822051
DDO168,A_nfw,full,inner_third,4,False,53.753698217925326,13.438424554481331,5.4433832750032645,5.232052842494331,3.331622312127156
DDO168,A_nfw,full,middle_third,3,False,26.905713487910205,8.968571162636735,3.8834100022882874,-3.2993606278230794,-2.4699575681605332
DDO168,A_nfw,full,outer_third,3,False,4.5443133762874695,1.5147711254291565,3.0584630799761556,0.032188877625806356,-0.08499188145878489
DDO170,A_nfw,full,inner_third,3,False,9.877972707235658,3.292657569078553,4.170643488359882,2.1114807453413214,0.4364074433891318
DDO170,A_nfw,full,middle_third,3,False,1.5680975641952133,0.5226991880650711,0.8592717491228851,0.3786770483438981,0.29803332035458924
DDO170,A_nfw,full,outer_third,2,False,1.5232560513981932,0.7616280256990966,1.0440939593258103,0.25642423523901314,0.11005420752450945
ESO079-G014,A_nfw,full,inner_third,5,False,29.418797703079214,5.883759540615843,14.322002469924225,12.032421404249057,1.8944584073759252
ESO079-G014,A_nfw,full,middle_third,5,False,11.35892584892662,2.271785169785324,7.537982539768939,-3.8421992730199803,-0.7342263847944732
ESO079-G014,A_nfw,full,outer_third,5,False,8.71767310000676,1.743534620001352,3.45992551029379,-1.1981527469084086,-0.3223002129771673
ESO116-G012,A_nfw,full,inner_third,5,False,13.367407623032046,2.673481524606409,5.043883737305106,3.7750147084013186,1.1825997050031938
ESO116-G012,A_nfw,full,middle_third,5,False,11.685349905603278,2.3370699811206554,5.131681493188395,-3.849623577416179,-1.112792856213242
ESO116-G012,A_nfw,full,outer_third,5,False,5.3457202261888535,1.0691440452377707,2.799585434712251,1.5414567200223417,0.4856321379794707
ESO444-G084,A_nfw,full,inner_third,3,False,2.225543645473273,0.7418478818244244,2.0417101704275384,0.27556646337228824,0.3694110821845819
ESO444-G084,A_nfw,full,middle_third,2,False,0.5296612780998875,0.26483063904994375,0.988836209884547,-0.9717405422846781,-0.49862359103422815
ESO444-G084,A_nfw,full,outer_third,2,False,0.5938216759233714,0.2969108379616857,3.876407926623141,2.873322962806469,0.47244616934617567
ESO563-G021,A_nfw,full,inner_third,10,False,541.0075570474615,54.100755704746156,39.860189206405025,17.187302041209712,2.086517518019003
