classification,class_id,class_name,class_order,model_id,fit_mode,region,n_galaxies,n_failures,n_signed_defined,median_signed_standardized,mean_signed_standardized,median_signed_kms,mean_signed_kms,median_loss,mean_loss
detailed,5,Sc,5,C_core,full,outer_third,14,0,14,-0.0971872890745598,-0.09672714404112191,-0.8133630077827849,-1.051969917900116,0.27768890012676317,0.902347081856937
detailed,5,Sc,5,C_core,inner,withheld_outer,13,0,13,-1.9601140116900064,-2.7361375624266078,-12.056459557785956,-12.843868150046895,4.152602056579311,21.84471819936598
detailed,5,Sc,5,C_nfw,full,inner_third,14,0,14,0.4178013114095254,0.32965837312334517,2.502879040612311,1.211763608433463,1.6349073771409883,2.863554546269849
detailed,5,Sc,5,C_nfw,full,middle_third,14,0,14,-0.1807532688836856,-0.15290986421076072,-1.2109422879801435,-0.5688329667403319,0.8334868073492312,1.273405390200595
detailed,5,Sc,5,C_nfw,full,outer_third,14,0,14,-0.010978897157735881,-0.02880087939514805,0.16381071496795752,-0.07271938961509004,0.6350899044704881,1.0747556379644654
detailed,5,Sc,5,C_nfw,inner,withheld_outer,13,0,13,-0.2445465919515513,1.154125343446604,-1.3537127774574742,4.179399388603982,3.4084328840015217,28.721542424407854
detailed,6,Scd,6,A_core,full,inner_third,16,0,16,-0.7901829241047242,-1.8335145579020504,-4.599730078599562,-5.954338326731019,5.476040272217482,15.782386160832523
detailed,6,Scd,6,A_core,full,middle_third,16,0,16,0.6625441142865527,0.9319629210925773,2.1255806526889445,2.555381559951268,1.3833369359424017,6.948420244750724
detailed,6,Scd,6,A_core,full,outer_third,16,0,16,-0.8271106429021013,-1.3457815671927735,-4.548994997377022,-6.453326772774551,1.8079683014115813,10.214995972949957
detailed,6,Scd,6,A_core,inner,withheld_outer,16,0,16,-2.4333283286756986,-3.798444114440632,-12.55061957915975,-14.989855770844839,6.235505215080174,38.79841873003646
detailed,6,Scd,6,A_nfw,full,inner_third,16,0,16,0.3484059537245622,0.5477531599347646,1.5164310190854509,2.5340317346321735,4.787650653407651,5.329884750377908
detailed,6,Scd,6,A_nfw,full,middle_third,16,0,16,-0.20391838338470103,-0.10857555479192763,-0.6029776324806522,-0.985113597127914,0.9277724450238576,2.230465516627829
detailed,6,Scd,6,A_nfw,full,outer_third,16,0,16,0.0982627809109565,0.0989577373922508,0.8452158597682347,0.8191063159578658,0.3239208049183928,0.9308842001616825
detailed,6,Scd,6,A_nfw,inner,withheld_outer,16,0,16,0.4397805335395141,0.4291443515258809,4.230441369571453,3.8975843757019866,1.4263470201048416,3.4551079707877257
detailed,6,Scd,6,B_core,full,inner_third,16,0,16,-0.4925775936241525,-0.39989490715056875,-1.842155284219332,-2.128919618944267,2.665754808525346,5.020908423197463
detailed,6,Scd,6,B_core,full,middle_third,16,0,16,0.30125388725579194,0.4212786956493572,1.1914210540257026,1.0275090710634256,0.8193997992257346,2.474360799737507
detailed,6,Scd,6,B_core,full,outer_third,16,0,16,-0.15466004018295604,-0.3947516400568215,-0.9428462962666402,-1.7944310118112377,0.33785071449387594,2.765260946168066
detailed,6,Scd,6,B_core,inner,withheld_outer,16,0,16,-1.907959272017476,-1.8837462641274008,-8.003492135945347,-5.827330400674702,5.925501943738839,23.02008517879502
detailed,6,Scd,6,B_nfw,full,inner_third,16,0,16,0.21786059506599043,0.25649419060603695,1.1045601472820312,1.355938509109765,3.07645937210287,3.9078792607636674
detailed,6,Scd,6,B_nfw,full,middle_third,16,0,16,-0.1134660243234823,-0.0003515858341271022,-0.30904541522080564,-0.5930056902704804,0.4920103460214541,1.7625422858885393
detailed,6,Scd,6,B_nfw,full,outer_third,16,0,16,0.08865768827529767,0.027259927689820454,0.3458116052243639,0.7453705769596629,0.28690673397778244,1.0165245820166733
detailed,6,Scd,6,B_nfw,inner,withheld_outer,16,0,16,0.4291812230966069,0.3442564867500879,3.892332097462166,4.094595962400685,1.2748481537360221,4.38603690982719
detailed,6,Scd,6,C_core,full,inner_third,16,0,16,-0.43584516553325436,-0.40532528105069976,-2.0863609469199105,-2.1589992160058693,2.580488232493314,4.820305910054013
detailed,6,Scd,6,C_core,full,middle_third,16,0,16,0.28854492003653404,0.4226907587048,1.1071536837466383,1.0571032210648519,0.7311423128447492,2.319710760552719
detailed,6,Scd,6,C_core,full,outer_third,16,0,16,-0.13543370280909225,-0.38033058622045546,-0.9377363240660042,-1.6512961954495682,0.30814227610807565,2.5966964440466453
detailed,6,Scd,6,C_core,inner,withheld_outer,16,0,16,-1.7361228895409155,-1.8383174418082766,-7.832073095620971,-5.825272113924144,5.458321150810433,21.52345678671294
detailed,6,Scd,6,C_nfw,full,inner_third,16,0,16,0.21786059506599043,0.25649419060603695,1.1045601472820312,1.355938509109765,3.07645937210287,3.9078792607636674
detailed,6,Scd,6,C_nfw,full,middle_third,16,0,16,-0.1134660243234823,-0.0003515858341271022,-0.30904541522080564,-0.5930056902704804,0.4920103460214541,1.7625422858885393
detailed,6,Scd,6,C_nfw,full,outer_third,16,0,16,0.08865768827529767,0.027259927689820454,0.3458116052243639,0.7453705769596629,0.28690673397778244,1.0165245820166733
detailed,6,Scd,6,C_nfw,inner,withheld_outer,16,0,16,0.4291812230966069,0.3442564867500879,3.892332097462166,4.094595962400685,1.2748481537360221,4.38603690982719
detailed,7,Sd,7,A_core,full,inner_third,16,0,16,-0.8407558315568852,-0.8069712058475109,-3.9012541062352772,-3.2275223467934837,1.5121640930652571,4.185110062509131
detailed,7,Sd,7,A_core,full,middle_third,16,0,16,0.4191220649247176,0.4467971599637889,2.0745451390582987,1.9474286051653555,0.697526637372212,1.1104664222586385
detailed,7,Sd,7,A_core,full,outer_third,16,0,16,-0.2602622343469394,-0.5445571696081336,-1.2507334567383026,-3.502348810626646,0.746012771607923,1.1960122932692494
detailed,7,Sd,7,A_core,inner,withheld_outer,15,0,15,-1.8463810447939701,-1.7193970088848995,-11.647992973210332,-9.309243459492503,4.072847632828943,8.269036133355252
