galaxy,model_id,fit_mode,region,n_rows,failed,chi2,loss,rms_kms,signed_kms,signed_standardized,halo_bound_hit,eta_bound_hit,nuisance_bound_hit,guard_active,optimizer_success,eta
NGC4013,B_nfw,full,all,36,False,24.071305851768745,0.668647384771354,5.169333289012668,-0.5393892340165868,-0.05606641124793854,False,False,False,False,True,
NGC4051,B_nfw,full,all,7,False,3.443399624403188,0.4919142320575983,5.661347478180962,1.2167233861621685,0.07110053510209731,False,False,False,False,True,
NGC4068,B_nfw,full,all,6,False,7.064187941520178,1.1773646569200296,3.7486953725729077,1.1693623915147937,0.3585922904716507,True,False,False,False,True,
NGC4085,B_nfw,full,all,7,False,19.543739075700888,2.791962725100127,11.07612574366433,3.6093256061173724,0.457779562526453,True,False,False,False,True,
NGC4088,B_nfw,full,all,12,False,4.049238655976471,0.33743655466470596,5.012043619029832,-0.17925957414059823,-0.003954889841648361,True,False,False,False,True,
NGC4100,B_nfw,full,all,24,False,18.867574858437568,0.7861489524348987,6.262330163519424,1.7818876778860897,0.14971213501680103,False,False,False,False,True,
NGC4138,B_nfw,full,all,7,False,4.48670724359647,0.6409581776566385,10.285457447771247,2.17805905735675,0.12235017303255145,False,False,False,False,True,
NGC4157,B_nfw,full,all,17,False,5.373230016007287,0.31607235388278154,5.858192856215243,1.3926025107365803,0.09181346427725565,False,False,False,False,True,
NGC4183,B_nfw,full,all,23,False,3.5318092992581573,0.1535569260547025,2.5755608459178028,-0.22731092461768485,-0.008811734575447672,False,False,False,False,True,
NGC4217,B_nfw,full,all,19,False,47.18516735134197,2.483429860596946,12.529902243376437,3.509659389167594,0.33989399620962835,False,False,False,False,True,
NGC4559,B_nfw,full,all,32,False,6.51658349345727,0.2036432341705397,2.514207511899926,0.9460521324298559,0.10088378005446952,False,False,False,False,True,
NGC5005,B_nfw,full,all,18,False,1.218702697691695,0.0677057054273164,5.637333688177723,-0.4713498757802815,0.015567769261733033,False,False,False,False,True,
NGC5033,B_nfw,full,all,22,False,56.195709313841995,2.5543504233564542,4.93744847134641,0.8733288863459255,0.1459269344929776,False,False,False,False,True,
NGC5055,B_nfw,full,all,28,False,59.40761160835912,2.121700414584254,2.978762457956687,-0.4478729455906897,-0.010783026237215495,False,False,False,False,True,
NGC5371,B_nfw,full,all,19,False,70.80865858043019,3.726771504233168,13.234396368161281,-4.644998287781052,-0.48234380335439225,False,False,False,False,True,
NGC5585,B_nfw,full,all,24,False,126.28747646472523,5.261978186030218,4.163971140975924,-0.04522914779944598,-0.0019826405724151877,False,False,False,False,True,
NGC5907,B_nfw,full,all,19,False,73.2996020838331,3.857873793885952,6.810343538342902,-2.2968376662145236,-0.3670444495597215,False,False,False,False,True,
NGC5985,B_nfw,full,all,33,False,51.73914615432567,1.5678529137674444,7.44815443858056,-2.0996334909354863,-0.16533810970591786,False,False,False,False,True,
NGC6015,B_nfw,full,all,44,False,341.79770376580336,7.768129631040986,8.083067417299583,-0.5571121693756799,0.06630031282176879,False,False,False,False,True,
NGC6195,B_nfw,full,all,23,False,35.396128459307114,1.5389621069263963,8.96616253716293,0.42753916661687597,0.0267794689589149,False,False,False,False,True,
NGC6503,B_nfw,full,all,31,False,40.27442125623962,1.299174879233536,3.112209096656758,-0.8935563071703244,-0.1607701734572973,False,False,False,False,True,
NGC6674,B_nfw,full,all,15,False,17.24586541120722,1.149724360747148,9.107868713282835,1.33002642145251,-0.04933493074057115,True,False,False,False,True,
NGC6789,B_nfw,full,all,4,False,4.057902702181016,1.014475675545254,6.014193130461247,-1.2254837880607785,0.07367172049911314,True,False,False,False,True,
NGC6946,B_nfw,full,all,58,False,87.45452116962021,1.5078365718900035,4.948917375366656,2.069246500022726,0.20494189416822017,False,False,False,False,True,
NGC7331,B_nfw,full,all,36,False,24.202435247250985,0.672289867979194,4.41545206118841,-0.3432860012018853,-0.06543946568741614,False,False,False,False,True,
NGC7793,B_nfw,full,all,46,False,37.024786004138015,0.8048866522638699,6.487024676648104,-0.6955610331372332,-0.013958836775480696,False,False,False,False,True,
NGC7814,B_nfw,full,all,18,False,6.6277726050582695,0.3682095891699039,2.517023747860874,-0.1276110824487928,-0.034857818520783755,False,False,True,False,True,
UGC00128,B_nfw,full,all,22,False,60.71183523512963,2.7596288743240738,4.455959016806354,0.5010142092984747,-0.009275872129815533,False,False,False,False,True,
UGC00191,B_nfw,full,all,9,False,23.76220098528294,2.640244553920327,5.105419218793086,-1.5495730939822718,-0.18234293731099896,False,False,False,False,True,
UGC00634,B_nfw,full,all,4,False,5.527290382786501,1.3818225956966252,3.9738075798147623,2.295703063263506,0.5140104616994154,False,False,False,False,True,
