guard,model,galaxy,anchor_offset,T,n_test,r_anchor,r_max,radial_factor,core_mass_growth,nfw_mass_growth,core_mass_fraction_anchor,core_mass_fraction_final,core_effective_halo_speed_slope,nfw_effective_halo_speed_slope,core_anchor_halo2,nfw_anchor_halo2,core_original_loss,nfw_original_loss,core_with_nfw_growth_loss,nfw_with_core_growth_loss,core_swap_admissible,nfw_swap_admissible,core_signed_fraction,core_swapped_signed_fraction,core_guard_active,nfw_guard_active,core_nuisance_bound,nfw_nuisance_bound
0.001,variable_core,UGC06614,1,1,3,26.3,64.59,2.455893536121673,2.3643657096784545,5.599251369586066,0.41099325270546794,0.9717383536060199,-0.02113593129593222,0.45862593783223415,25476.729704984547,24029.83037324557,0.7831514561772783,3.0884649997339655,4.692033889234724,1.5085089961016802,True,True,-0.053024960035100155,0.14550466909829818,False,False,False,False
0.001,variable_core,UGC06614,2,1,3,24.94,64.59,2.5898155573376105,2.613547887509027,6.209704586120471,0.37180813033894095,0.9717383536060199,0.00479303815893517,0.4595097332170718,24304.526745945317,22849.09636934347,0.7831514561772783,3.0884649997339655,4.771117974390997,1.5394697210593284,True,True,-0.053024960035100155,0.14706682359360923,False,False,False,False
0.001,variable_core,UGC06667,0,6,2,6.11,7.85,1.2847790507364973,1.1662375671914629,1.5988829997025737,0.7954662275018605,0.9277025979447402,-0.19315455159169015,0.4364127275892087,5980.287272586253,6693.623206554978,2.274486679148903,7.290827552205939,1.6599987715091777,0.25330913587624165,True,True,-0.05561165215273198,0.046593788544788614,False,False,False,False
0.001,variable_core,UGC06667,1,6,2,5.24,7.85,1.498091603053435,1.3637508330924115,2.138956239693691,0.6802581347217967,0.9277025979447402,-0.11622342430687893,0.4405405211461797,5963.263057501154,5834.262565324133,2.274486679148903,7.290827552205939,8.842899830716224,2.9566059876394535,True,True,-0.05561165215273198,0.11143358572934794,False,False,False,False
0.001,variable_core,UGC06667,2,6,2,4.37,7.85,1.7963386727688786,1.7499984878146404,3.0254378759676626,0.5301162283307083,0.9277025979447402,-0.02230949682964478,0.4449891980592393,5572.257447137016,4945.94725025388,2.274486679148903,7.290827552205939,18.490342659179,7.373046709688376,True,True,-0.05561165215273198,0.1614382436871592,False,False,False,False
0.001,variable_core,UGC06786,0,0,9,14.93,34.05,2.280643000669792,1.3326338381144691,2.2038761642777116,0.7503936705151321,0.9999999972353848,-0.3258507316169834,-0.02076500087521993,28310.373376500425,43564.05562712551,112.47152902319925,2.1998826417874233,39.412040866810464,63.638577225409094,True,True,-0.13042618559595032,-0.06169053681749534,False,False,False,False
0.001,variable_core,UGC06786,1,0,9,12.78,34.05,2.664319248826291,1.7623346009596745,2.6311053628531744,0.5674291344508798,0.9999999972353848,-0.21088309257753884,-0.006400609126180068,25009.03991220578,42629.10413559557,112.47152902319925,2.1998826417874233,91.95827338815715,36.911392231988,True,True,-0.13042618559595032,-0.0921196022772031,False,False,False,False
0.001,variable_core,UGC06786,2,0,9,12.33,34.05,2.7615571776155714,1.8969241171389237,2.7444315057641933,0.5271692147304533,0.9999999972353848,-0.18486069137486671,-0.0030620181110997957,24082.59082367558,42360.37797478381,112.47152902319925,2.1998826417874233,112.13677550401498,40.418876054203814,True,True,-0.13042618559595032,-0.10105074901325152,False,False,False,False
0.001,variable_core,UGC06787,0,2,15,17.58,37.19,2.11547212741752,1.0000147937923043,2.0624350271282887,0.9999852064256856,0.9999999999991366,-0.4999901280415496,-0.016943429819445133,26803.207741089343,27030.251843160153,637.2073095463469,160.4878349208681,278.765496351831,434.47377882594,True,True,-0.2735626925804849,-0.1821772305929257,False,False,False,False
0.001,variable_core,UGC06787,1,2,15,16.57,37.19,2.244417622208811,1.0001008352124172,2.203115220506657,0.9998991749534344,0.9999999999991366,-0.49993763954590165,-0.011487289597144401,28434.511371465433,26846.614050547374,637.2073095463469,160.4878349208681,227.4740182263861,478.74912608826446,True,True,-0.2735626925804849,-0.16377540281024414,False,False,False,False
0.001,variable_core,UGC06787,2,2,15,15.44,37.19,2.408678756476684,1.0007223077851157,2.3878750189737166,0.9992782135659816,0.9999999999991366,-0.49958931588098016,-0.0049338640640920195,30496.583668867843,26582.165068427432,637.2073095463469,160.4878349208681,170.36649978752985,533.0567770535732,True,True,-0.2735626925804849,-0.1403646111065728,False,False,False,False
