tier,model,fit_mode,galaxy,n_rows,n_train,n_outer,n_parameters,eta,chi2_data,prior_penalty,objective,physical_length_kpc,physical_amplitude_kms,length_catalogue_kpc,amplitude_catalogue_kms,ml_disk,ml_bulge,distance_ratio,inclination_deg,halo_bound_hit,eta_bound_hit,nuisance_bound_hit,maximum_abs_pull,regime_ratio,guard_active,guard_refitted_here,optimizer_success,train_admissible,outer_admissible,current_display,nfw_reused_from_matched_tier
matched_nuisance,nfw,inner,NGC0289,28,22,6,5,,35.28444075291086,1.1578622786618835,36.44230303157274,61.102648602891854,327.5221514624067,52.45427707330133,340.3862797499874,0.5880177107232599,0.7,1.1648744775855933,48.38233852806018,False,False,False,0.7042040261349899,1.1935481679152115e-06,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC0300,25,20,5,5,0.3,10.5100550713273,3.1338769294462887,13.643932000773589,2.8538455512712897,69.83245603464601,2.8201863766485005,85.32700539866714,0.6580052970026674,0.7,1.0119350887237424,54.845111299740566,False,False,False,1.2845111299740564,8.764777950769855e-08,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC0300,25,20,5,5,,13.84103720855174,0.0404517434647998,13.88148895201654,20.361053163711635,243.72820261307868,20.381642491209803,235.0874593987525,0.5100548435348916,0.7,0.998989810192822,40.19629818146502,False,False,False,0.1803701818534983,6.60952372285546e-07,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC0801,13,10,3,5,0.3,54.53590620947,1.138614520383585,55.67452072985358,14.588613054357474,146.52907545342262,14.032359069295676,146.54047055914094,0.6280686562108365,0.7,1.0396408032544535,80.02530128542793,False,False,False,0.9903711612690712,3.858992224871253e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC0801,13,10,3,5,,52.78480945743087,0.6614766914796129,53.44628614891048,59.29871886068256,330.45753229531255,57.57103574192677,330.4768244649217,0.5950293995586577,0.7,1.0300095889624163,80.01898792902357,False,False,False,0.7556841979700848,1.2150381242218712e-06,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC0891,18,14,4,6,0.3,11.5911217624769,8.75570446945451,20.34682623193141,3.945034266741087,208.3719801408788,4.088023825488127,208.3719801408788,0.2581933545982957,0.669766462759438,0.965022327449384,89.99999999992187,False,False,True,2.8702494416871067,7.803778291680535e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC0891,18,14,4,6,,32.86525575715462,15.424929221647002,48.29018497880162,10.009306361486308,417.4013535025059,10.664036999742214,417.4013535025059,0.2183753883967927,0.5559674805845612,0.938603866596512,89.99999999984375,False,False,True,3.597663139194613,1.938502208694832e-06,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC1003,36,28,8,5,0.3,107.7568832004968,5.241168128504074,112.99805132900087,13.931650367122694,105.45854701127618,9.022709217344293,107.6360335939936,0.6690206092752773,0.7,1.5440650952534276,69.96963857274716,False,False,False,1.813550317511425,1.9988944014976025e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC1003,36,28,8,5,,72.0854634929826,0.6184692297779958,72.7039327227606,28.30479858423514,229.2753821104103,27.95865841880657,229.36267735196904,0.5990978011326042,0.7,1.0123804282824864,67.05144740804464,False,False,False,0.7852772126715054,5.848889896329367e-07,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC1090,24,19,5,5,0.3,60.58276936779384,1.381822362387724,61.96459173018156,11.088488090980212,138.0927371076371,9.935597937268357,138.4587221189152,0.64041894197424,0.7,1.116036313163134,64.31309435109124,False,False,False,1.074941644347124,3.427425001025512e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC1090,24,19,5,5,,49.87145789954369,0.3246173507020857,50.19607525024578,15.766508466941564,303.7291685243921,18.31647450739886,302.95542572985795,0.5079292390397814,0.7,0.8607829230768591,63.70232253862026,False,False,False,0.5568683076925637,1.0264353407362403e-06,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC2403,73,58,15,5,0.3,518.2665501497025,11.922696259640444,530.189246409343,4.230164078081917,113.02122131836572,3.7646467536592927,118.73574865750268,0.657087408644789,0.7,1.1236549814322243,69.39961782422363,False,False,False,2.4421858832864323,2.2958646271468057e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC2403,73,58,15,5,,419.0923200578723,24.51760343218757,443.6099234900599,5.091904289771775,279.2466383205384,5.647368742974435,258.41900650891546,0.2076458395194604,0.7,0.9016419011254256,55.54296911746834,False,False,False,3.816467705122837,8.676298825105974e-07,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC2683,11,8,3,6,0.3,4.8635733393693,0.6866871706807441,5.550260510050044,4.752775939124681,159.21349678099116,4.704586591795391,159.4984034976988,0.5972793418038752,0.7304375041555945,1.0102430567253944,80.59925238482563,False,False,False,0.7720748965810693,4.556024453485525e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC2683,11,8,3,6,,7.426271127456489,0.0631727714113588,7.489443898867847,6.065621607682294,306.3019543435452,6.086674872592421,306.0949097727284,0.4852856548482402,0.6686260253838385,0.9965410892891736,79.7826932735217,False,False,False,0.1991476309031746,1.0438981544066166e-06,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC2841,50,40,10,6,0.3,11.23810907309081,12.577570141279828,23.81567921437064,14.392176924830968,248.00035905613692,12.57079781121194,253.74337167948892,0.99009990220888,0.8950865292086727,1.1448896992038589,83.10371608444979,False,False,False,2.967090132807989,1.1054291279305584e-06,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC2841,50,40,10,6,,13.835979216630555,0.1407203365320873,13.976699553162645,8.849446363583501,556.9912269711012,8.971992521776091,553.6829091769654,0.4737423622371033,0.736935720134024,0.9863412549781828,74.69459803069665,False,False,False,0.2342778308024659,3.451876932256545e-06,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC2903,34,27,7,5,0.3,275.0943084288454,0.1523406406049554,275.2466490694504,4.262667424245583,179.49370294090392,4.749555297670463,179.29233461384536,0.5214480613588609,0.7,0.8974876924448725,65.85603459585958,False,False,False,0.341707691850425,5.790615373774523e-07,False,False,True,True,True,False,False
matched_nuisance,nfw,inner,NGC2903,34,27,7,5,,180.53183420731932,3.040851958811144,183.5726861661305,2.4767279029723586,379.679677784724,4.786723994097303,378.5043421969145,0.4294878327150104,0.7,0.5174160670275764,65.60469214963382,False,False,False,1.608613109908079,1.6039591329567762e-06,False,False,True,True,True,False,False
matched_nuisance,core,inner,NGC2915,30,24,6,5,0.3,8.94310375909125,0.6197554165818074,9.562859175673056,1.6422431013656065,98.5167367818884,1.654394358669962,97.12384959479238,0.4241812777558693,0.7,0.992655162754469,54.81702602117202,False,False,False,0.7141850834678153,1.7444009757086746e-07,False,False,True,True,True,False,False
