tier,model,fit_mode,galaxy,radius_kpc,prediction_kms,catalogue_baryon_v2,fitted_baryon_v2,halo_v2,is_observed_radius
expanded_family,nfw,full,NGC4559,10.336666666666664,119.00798591432891,6194.264188777275,3888.196910946448,10274.703800438661,False
expanded_family,nfw,full,NGC4559,10.38754385964912,119.05198187119773,6176.505201330735,3878.533020675646,10294.841366784345,False
expanded_family,nfw,full,NGC4559,10.438421052631577,119.09629261542001,6159.217804031737,3869.0969303726047,10314.829984365142,False
expanded_family,nfw,full,NGC4559,10.48,119.13281192786509,6145.480800000001,3861.5711675845882,10331.055710255485,True
expanded_family,nfw,full,NGC4559,10.489298245614034,119.14105068507294,6142.468676536355,3859.919152330073,10334.670806013046,False
expanded_family,nfw,full,NGC4559,10.54017543859649,119.18729726320547,6126.576411555054,3851.246855137521,10354.364973770183,False
expanded_family,nfw,full,NGC4559,10.591052631578945,119.23513328456492,6111.541031763619,3843.1033903781977,10373.913619009763,False
expanded_family,nfw,full,NGC4559,10.641929824561402,119.28403264672221,6097.170984619082,3835.3625819088006,10393.317862555488,False
expanded_family,nfw,full,NGC4559,10.692807017543858,119.33347002574483,6083.274717578486,3827.898253586035,10412.578814799303,False
expanded_family,nfw,full,NGC4559,10.743684210526315,119.38292091033901,6069.660678098864,3820.5842292666,10431.697575817658,False
expanded_family,nfw,full,NGC4559,10.79456140350877,119.43186161277669,6056.137313637253,3813.294332807197,10450.675235486244,False
expanded_family,nfw,full,NGC4559,10.845438596491226,119.4797692567983,6042.513071650692,3805.9023880645295,10469.512873593238,False
expanded_family,nfw,full,NGC4559,10.896315789473682,119.52612174268164,6028.5963995962165,3798.2822188952964,10488.211559951058,False
expanded_family,nfw,full,NGC4559,10.947192982456139,119.57039768965763,6014.195744930863,3790.3076491562006,10506.772354506682,False
expanded_family,nfw,full,NGC4559,10.998070175438595,119.61207635583659,5999.11955511167,3781.8525027039427,10525.19630745054,False
expanded_family,nfw,full,NGC4559,11.04894736842105,119.65063753578242,5983.176277595674,3772.7906033952254,10543.484459323961,False
expanded_family,nfw,full,NGC4559,11.099824561403507,119.68556143583928,5966.17435983991,3762.9957750867475,10561.63784112531,False
expanded_family,nfw,full,NGC4559,11.13,119.7043443729201,5955.5121,3756.7886401739506,10572.341421576697,True
expanded_family,nfw,full,NGC4559,11.150701754385963,119.71662135020944,5948.026384379586,3752.411953094761,10579.657474414662,False
expanded_family,nfw,full,NGC4559,11.20157894736842,119.74610232801687,5929.540226391931,3741.5846513346833,10597.544371417205,False
expanded_family,nfw,full,NGC4559,11.252456140350874,119.77462695317617,5910.9364297855,3730.661726647251,10615.299535125263,False
expanded_family,nfw,full,NGC4559,11.303333333333331,119.80222794407803,5892.226170789925,3719.6498609657433,10632.923959399088,False
expanded_family,nfw,full,NGC4559,11.354210526315788,119.82893792940709,5873.420625634851,3708.555736223442,10650.418629066255,False
expanded_family,nfw,full,NGC4559,11.405087719298244,119.85478945112494,5854.530970549909,3697.3860343536235,10667.784520019866,False
expanded_family,nfw,full,NGC4559,11.4559649122807,119.87981496734596,5835.568381764742,3686.1474372895705,10685.022599315536,False
expanded_family,nfw,full,NGC4559,11.506842105263155,119.90404685510642,5816.544035508985,3674.8466269645605,10702.133825266992,False
expanded_family,nfw,full,NGC4559,11.557719298245612,119.92751741302966,5797.469108012274,3663.4902853118724,10719.11914754066,False
expanded_family,nfw,full,NGC4559,11.608596491228068,119.9502588638878,5778.354775504249,3652.0850942647876,10735.979507248905,False
expanded_family,nfw,full,NGC4559,11.659473684210525,119.97230335706128,5759.212214214549,3640.637735756585,10752.715837042153,False
expanded_family,nfw,full,NGC4559,11.710350877192981,119.99368297089806,5740.052600372809,3629.154891720543,10769.329061199847,False
expanded_family,nfw,full,NGC4559,11.761228070175436,120.01442971497303,5720.8871102086705,3617.643244089944,10785.820095720257,False
expanded_family,nfw,full,NGC4559,11.78,120.02193108890214,5713.81645,3613.3899012678967,10791.874041041276,True
expanded_family,nfw,full,NGC4559,11.812105263157893,120.03450535373538,5701.700096228082,3606.092627106778,10802.189848409149,False
expanded_family,nfw,full,NGC4559,11.86298245614035,120.05374813705747,5682.425983271435,3594.4632227886673,10818.439218967362,False
expanded_family,nfw,full,NGC4559,11.913859649122806,120.07230838961478,5663.115221720574,3582.7901429335034,10834.569099077253,False
expanded_family,nfw,full,NGC4559,11.96473684210526,120.09036358239929,5643.828556963793,3571.11505286473,10850.580372488124,False
expanded_family,nfw,full,NGC4559,12.015614035087717,120.10809103889014,5624.626734389392,3559.4796179057935,10866.473915100529,False
expanded_family,nfw,full,NGC4559,12.066491228070173,120.12566794165879,5605.570499385669,3547.92550338014,10882.25059504953,False
expanded_family,nfw,full,NGC4559,12.11736842105263,120.1432713363432,5586.720597340921,3536.4943746112153,10897.911272786972,False
expanded_family,nfw,full,NGC4559,12.168245614035087,120.16107813300091,5568.137773643446,3525.2278969224653,10913.456801162687,False
expanded_family,nfw,full,NGC4559,12.219122807017541,120.1792651048509,5549.882773681542,3514.1677356373366,10928.888025504695,False
expanded_family,nfw,full,NGC4559,12.269999999999998,120.19800888441428,5532.016342843507,3503.3555560792724,10944.20578369846,False
expanded_family,nfw,full,NGC4559,12.320877192982454,120.21748595706381,5514.599226517639,3492.8330235717212,10959.410906265117,False
expanded_family,nfw,full,NGC4559,12.37175438596491,120.23787265199302,5497.692170092234,3482.641803438127,10974.504216438763,False
expanded_family,nfw,full,NGC4559,12.422631578947366,120.25934513061647,5481.355918955593,3472.8235610019365,10989.48653024279,False
expanded_family,nfw,full,NGC4559,12.43,120.26255538343186,5479.0409,3471.434998478069,10991.647228874946,True
expanded_family,nfw,full,NGC4559,12.473508771929822,120.28216815771475,5465.6849825962745,3463.441320155482,11004.358656565286,False
expanded_family,nfw,full,NGC4559,12.524385964912279,120.30649691918372,5450.735703017122,3454.531803732049,11019.121397233514,False
expanded_family,nfw,full,NGC4559,12.575263157894735,120.33221075555663,5436.462070149876,3446.065398232226,11033.775547087474,False
expanded_family,nfw,full,NGC4559,12.626140350877192,120.35918543850465,5422.8167276297945,3438.011625367775,11048.321894052577,False
expanded_family,nfw,full,NGC4559,12.677017543859646,120.38729678027447,5409.7523190921365,3430.3400068504607,11062.761219211425,False
expanded_family,nfw,full,NGC4559,12.727894736842103,120.41642064630048,5397.221488172163,3423.0200643920443,11077.094296874735,False
expanded_family,nfw,full,NGC4559,12.77877192982456,120.44643296650862,5385.176878505132,3416.02131970429,11091.321894651364,False
expanded_family,nfw,full,NGC4559,12.829649122807016,120.47720974531455,5373.571133726304,3409.3132944989593,11105.444773517556,False
expanded_family,nfw,full,NGC4559,12.880526315789472,120.5086270703185,5362.356897470936,3402.865510487816,11119.463687885283,False
expanded_family,nfw,full,NGC4559,12.931403508771927,120.54056111970114,5351.486813374289,3396.6474893826226,11133.379385669781,False
expanded_family,nfw,full,NGC4559,12.982280701754384,120.57288816832519,5340.913525071624,3390.6287528951425,11147.19260835631,False
expanded_family,nfw,full,NGC4559,13.03315789473684,120.60548459254743,5330.589676198197,3384.778822737138,11160.904091066057,False
expanded_family,nfw,full,NGC4559,13.08,120.63562763228582,5321.2644,3379.515871807952,11173.43878242757,True
expanded_family,nfw,full,NGC4559,13.084035087719297,120.63823703747583,5320.471561702611,3379.069672888915,11174.514562621292,False
expanded_family,nfw,full,NGC4559,13.134912280701752,120.67280981870434,5311.154697842723,3373.9022839314707,11188.024745609713,False
expanded_family,nfw,full,NGC4559,13.185789473684208,120.71016599884325,5302.984781698453,3369.508819020242,11201.43535644805,False
expanded_family,nfw,full,NGC4559,13.236666666666665,120.74985264993741,5295.799164417735,3365.7798095367402,11214.747105444856,False
expanded_family,nfw,full,NGC4559,13.287543859649121,120.7914172601892,5289.435197148497,3362.6057868624794,11227.960696862656,False
expanded_family,nfw,full,NGC4559,13.338421052631578,120.83440781233712,5283.73023103867,3359.8772823789704,11241.076828979229,False
expanded_family,nfw,full,NGC4559,13.389298245614032,120.87837284483926,5278.521617236185,3357.4848274677256,11254.09619414825,False
expanded_family,nfw,full,NGC4559,13.440175438596489,120.92286149595307,5273.646706888972,3355.3189535102574,11267.019478859193,False
expanded_family,nfw,full,NGC4559,13.491052631578945,120.96742353081918,5268.942851144961,3353.2701918880784,11279.847363796507,False
expanded_family,nfw,full,NGC4559,13.541929824561402,121.01160935166844,5264.247401152083,3351.2290739826994,11292.580523898108,False
expanded_family,nfw,full,NGC4559,13.592807017543857,121.05496999127637,5259.397708058268,3349.0861311756344,11305.219628413186,False
expanded_family,nfw,full,NGC4559,13.643684210526313,121.09705708978944,5254.231123011445,3346.731894848394,11317.765340959331,False
expanded_family,nfw,full,NGC4559,13.69456140350877,121.13742285504289,5248.584997159545,3344.0568963824912,11330.218319578975,False
expanded_family,nfw,full,NGC4559,13.73,121.16428504747643,5244.282450000001,3341.9459544929264,11338.838016573194,True
expanded_family,nfw,full,NGC4559,13.745438596491226,121.17574035233758,5242.338784706707,3340.980833141969,11342.579216795166,False
expanded_family,nfw,full,NGC4559,13.796315789473683,121.21350543966446,5236.012408152401,3337.8652213048076,11354.848679666758,False
expanded_family,nfw,full,NGC4559,13.847192982456137,121.25117588840281,5229.7690649201195,3334.820304477563,11367.02734984283,False
expanded_family,nfw,full,NGC4559,13.898070175438594,121.28859930173478,5223.5592565302095,3331.808456960176,11379.115863616602,False
expanded_family,nfw,full,NGC4559,13.94894736842105,121.32562344793962,5217.333484503019,3328.7920530525903,11391.114851978647,False
expanded_family,nfw,full,NGC4559,13.999824561403507,121.36209625630333,5211.042250358892,3325.7334670547484,11403.024940669487,False
expanded_family,nfw,full,NGC4559,14.050701754385962,121.39786581113435,5204.636055618175,3322.595073266592,11414.846750231593,False
expanded_family,nfw,full,NGC4559,14.101578947368418,121.43278034389597,5198.065401801214,3319.339245988063,11426.580896060823,False
expanded_family,nfw,full,NGC4559,14.152456140350875,121.46668822346444,5191.280790428356,3315.928359519104,11438.22798845721,False
expanded_family,nfw,full,NGC4559,14.203333333333331,121.49943794452221,5184.232723019946,3312.324788159657,11449.788632675147,False
expanded_family,nfw,full,NGC4559,14.254210526315788,121.53087811409374,5176.871701096332,3308.490906209665,11461.263428973043,False
expanded_family,nfw,full,NGC4559,14.305087719298243,121.56085743623034,5169.148226177859,3304.3890879690703,11472.652972662447,False
expanded_family,nfw,full,NGC4559,14.3559649122807,121.58922469484828,5161.012799784872,3299.981707737814,11483.957854156492,False
expanded_family,nfw,full,NGC4559,14.38,121.6020217851425,5157.01205,3297.782543136717,11489.269159097554,True
expanded_family,nfw,full,NGC4559,14.406842105263156,121.61578239577359,5152.392952608799,3295.2198687183113,11495.178659017844,False
expanded_family,nfw,full,NGC4559,14.457719298245612,121.64033582769385,5143.188404400548,3290.0553322679966,11506.315968006142,False
expanded_family,nfw,full,NGC4559,14.508596491228067,121.66320615764785,5133.511662929646,3284.5653754334908,11517.370357124832,False
expanded_family,nfw,full,NGC4559,14.559473684210523,121.68477101950617,5123.500623923537,3278.841100402115,11528.342397667533,False
expanded_family,nfw,full,NGC4559,14.61035087719298,121.70540770904542,5113.293183109661,3272.973609361193,11539.232656263777,False
expanded_family,nfw,full,NGC4559,14.661228070175436,121.7254932190556,5103.027236215463,3267.0540044980476,11550.041694924303,False
expanded_family,nfw,full,NGC4559,14.712105263157893,121.74540426269022,5092.840678968385,3261.1733879999997,11560.77007108587,False
expanded_family,nfw,full,NGC4559,14.762982456140348,121.76551728510766,5082.8714070958695,3255.422862054374,11571.418337655477,False
expanded_family,nfw,full,NGC4559,14.813859649122804,121.78620846344876,5073.25731632536,3249.893528848491,11581.987043054109,False
expanded_family,nfw,full,NGC4559,14.86473684210526,121.8078536951936,5064.136302384297,3244.676490569673,11592.476731260018,False
expanded_family,nfw,full,NGC4559,14.915614035087717,121.83082857494136,5055.646261000127,3239.862849405246,11602.887941851504,False
expanded_family,nfw,full,NGC4559,14.966491228070174,121.85550835966244,5047.925087900291,3235.5437075425284,11613.221210049234,False
expanded_family,nfw,full,NGC4559,15.017368421052629,121.8822679224785,5041.1106788122315,3231.8101671688455,11623.477066757987,False
expanded_family,nfw,full,NGC4559,15.03,121.88927744826786,5039.57535,3230.984542746223,11626.011414114599,True
expanded_family,nfw,full,NGC4559,15.068245614035085,121.91111014112855,5035.204923718758,3228.662737234298,11633.656038608076,False
expanded_family,nfw,full,NGC4559,15.119122807017542,121.94125825013124,5029.921868936734,3225.911815628965,11643.758647996234,False
expanded_family,nfw,full,NGC4559,15.169999999999998,121.97256603084449,5025.2039572403355,3223.521451022718,11653.785413126003,False
expanded_family,nfw,full,NGC4559,15.220877192982453,122.00492287586503,5021.00659231621,3221.4643578980226,11663.73684804775,False
expanded_family,nfw,full,NGC4559,15.27175438596491,122.03821824918428,5017.285177851006,3219.7132507373453,11673.613462698193,False
expanded_family,nfw,full,NGC4559,15.322631578947366,122.07234169525316,5013.995117531373,3218.240844023154,11683.41576293949,False
expanded_family,nfw,full,NGC4559,15.373508771929822,122.1071828470211,5011.091815043958,3217.019852237914,11693.144250597928,False
expanded_family,nfw,full,NGC4559,15.424385964912279,122.14263143295312,5008.530674075412,3216.022989864092,11702.799423502136,False
expanded_family,nfw,full,NGC4559,15.475263157894734,122.17857728302877,5006.2670983123835,3215.2229713841566,11712.381775520878,False
expanded_family,nfw,full,NGC4559,15.52614035087719,122.21491033372756,5004.256491441518,3214.592511280572,11721.891796600494,False
expanded_family,nfw,full,NGC4559,15.577017543859647,122.25152063200552,5002.454257149468,3214.1043240358067,11731.329972801865,False
expanded_family,nfw,full,NGC4559,15.627894736842103,122.28829833826809,5000.815799122878,3213.731124132326,11740.696786336937,False
expanded_family,nfw,full,NGC4559,15.678771929824558,122.32513372834538,4999.296521048402,3213.4456260525976,11749.992715604983,False
expanded_family,nfw,full,NGC4559,15.68,122.32602265711252,4999.26095,3213.4395911877923,11750.216227920611,True
expanded_family,nfw,full,NGC4559,15.729649122807015,122.36271332273986,4998.148821410667,3213.415376474717,11759.218235228303,False
expanded_family,nfw,full,NGC4559,15.780526315789471,122.40171739807133,4997.62664035263,3213.8066059096595,11768.373816087656,False
expanded_family,nfw,full,NGC4559,15.831403508771928,122.4419055907489,4997.642497054139,3214.560319336644,11777.459925357223,False
expanded_family,nfw,full,NGC4559,15.882280701754384,122.48303729897029,4998.108724805466,3215.617399441706,11786.477026539242,False
expanded_family,nfw,full,NGC4559,15.933157894736839,122.52487220319446,4998.937656896876,3216.9187289108777,11795.425579498258,False
expanded_family,nfw,full,NGC4559,15.984035087719295,122.56717028195253,5000.041626618637,3218.4051904301937,11804.306040494952,False
