r,vc2_field_isolated,vc2_baryon,vc2_field_deformed,vc_total_unchanged_field,vc_total_deformed,vc_total_spherical
0.89,0.226250962899906,0.019461637926039,0.257561719716787,0.495694059704113,0.526330084303402,0.527884963595929
0.9,0.230574095827482,0.0197925729860762,0.262403040896036,0.500366534466044,0.531220871090465,0.532781629013325
0.91,0.234913591319266,0.0201233411889348,0.267259248506863,0.505011814226361,0.536080767884652,0.53764708398481
0.92,0.239268604542852,0.0204538688643691,0.272129321814246,0.509629741486131,0.540909595661433,0.542481149308844
0.93,0.243638291961881,0.0207840835915912,0.277012273788059,0.514220162531063,0.545707208473234,0.547283679074935
0.94,0.248021811580124,0.0211139142129866,0.281907069053505,0.51878292743026,0.550473417402232,0.552054484274779
0.95,0.252418323183353,0.0214432908465619,0.286812727081122,0.523317890034265,0.555208085250642,0.556793427918637
0.96,0.256826988578926,0.0217721448971449,0.2917282402544,0.527824907972399,0.559911051106821,0.561500349260002
0.97,0.261246971832963,0.0221004090663619,0.29665260556865,0.532303842649407,0.56458215933114,0.566175092910255
0.98,0.265677439505057,0.0224280173614159,0.301584853745639,0.536754559241441,0.569221284833108,0.570817534238247
0.99,0.270117560880399,0.0227549051026903,0.306523971143735,0.541176926691345,0.573828263722192,0.575427509688799
1,0.274566508199248,0.0230810089302044,0.311468997973605,0.545570817703304,0.578402979680957,0.580004903570111
1.01,0.279023456883663,0.0234062668089465,0.316418950292254,0.549936108736833,0.582945295118848,0.584549578875114
1.02,0.283487585761406,0.0237306180331119,0.321372850113388,0.554272680000122,0.587455077556148,0.589061403790088
1.03,0.287958077286936,0.0240540032292723,0.326329753350674,0.558580415442762,0.591932222961334,0.59354027515306
1.04,0.292434117759421,0.0243763643585059,0.331288675011239,0.562859202747834,0.596376591902922,0.597986054278049
1.05,0.296914897537687,0.0246976447175148,0.336248683274475,0.567108933323398,0.600788089089647,0.602398646903446
1.06,0.301399611252035,0.0250177889387597,0.341208824739704,0.571329502293374,0.605166599936301,0.606777939429879
1.07,0.305887458012845,0.0253367429896396,0.346168153207243,0.575520808487829,0.609512014809292,0.611123823288139
1.08,0.310377641615908,0.0256544541707457,0.351125756660311,0.579682754432676,0.613824250768131,0.61543621680157
1.09,0.314869370744409,0.0259708711132203,0.356080685144577,0.583815246338796,0.61810319224042,0.619715005534525
1.1,0.319361859167504,0.0262859437752469,0.361032041449741,0.587918194090599,0.622348764942125,0.623960116619304
1.11,0.323854325935424,0.0265996234377042,0.365978909016751,0.591991511234011,0.626560876894221,0.628171459445728
1.12,0.328345995571043,0.0269118626990112,0.37092037961825,0.596035114963921,0.630739440908257,0.632348948268212
1.13,0.332836098257855,0.0272226154691933,0.375855579566025,0.60004892611107,0.634884395016304,0.636492522757441
1.14,0.337323870024313,0.0275318369631997,0.380783599746894,0.604032869128422,0.63899564686318,0.640602092064363
1.15,0.341808552924456,0.0278394836934994,0.385703583563386,0.607986872076984,0.643073143006988,0.644677604529319
1.16,0.346289395214788,0.0281455134619867,0.390614656973727,0.611910866611122,0.647116813593739,0.648718992027769
1.17,0.350765651527366,0.0284498853512237,0.395515955274426,0.615804787963353,0.651126593394595,0.652726191129306
1.18,0.355236583039033,0.0287525597150494,0.400406648700219,0.619668574928633,0.655102441161127,0.656699162576213
1.19,0.359701457636769,0.0290534981685828,0.405285874144973,0.62350216984815,0.659044287065411,0.660637838391472
1.2,0.364159550079102,0.0293526635776489,0.41015282094591,0.627305518592616,0.662952098211899,0.664542187803861
1.21,0.368610142153564,0.0296500200476548,0.415006662587786,0.631078570545078,0.666825826311069,0.668412164588767
1.22,0.373052522830136,0.0299455329119432,0.419846582768068,0.634821278583255,0.670665427527028,0.672247727038683
1.23,0.377485988410649,0.0302391687196514,0.424671800539054,0.638533599061397,0.674470880956847,0.676048856568009
1.24,0.381909842674127,0.0305308952231006,0.429481503293205,0.642215491791679,0.678242138558425,0.679815507303309
1.25,0.386323397018023,0.0308206813647431,0.434274930913066,0.645866920025144,0.681979187569393,0.683547668922168
1.26,0.390725970595335,0.0311084972636928,0.439051308721599,0.64948785043219,0.685682000628055,0.687245316435727
1.27,0.395116890447574,0.0313943142018641,0.443809872991178,0.653078253082614,0.689350554647664,0.690908429187647
1.28,0.399495491633561,0.0316781046097434,0.44854989576254,0.65663810142521,0.69298484858782,0.694537008753609
1.29,0.403861117354036,0.0319598420518198,0.453270618718139,0.660167372266955,0.696584855398076,0.698131030540498
1.3,0.408213119072067,0.032239501211695,0.45797133616584,0.663666045751748,0.700150581930441,0.701690504127217
1.31,0.412550856629232,0.0325170578768998,0.462651328861333,0.667134105338748,0.70368202104234,0.705215425022419
1.32,0.416873698357584,0.0327924889234365,0.467309889105498,0.670571537780288,0.707179169679745,0.708705792874637
1.33,0.421181021187361,0.0330657723000717,0.471946345361886,0.67397833309939,0.710642046083651,0.712161628809869
1.34,0.425472210750466,0.0333368870124001,0.476559996680078,0.677354484566882,0.714070643348736,0.715582928637991
1.35,0.429746661479691,0.0336058131067002,0.481150194934318,0.680699988678119,0.717464987327617,0.718969721194983
1.36,0.434003776703682,0.0338725316536035,0.485716279182174,0.684014845129318,0.720825090320653,0.72232202167967
1.37,0.438242968737664,0.0341370247315956,0.490257600480342,0.687299056793518,0.724150968522405,0.725639849229914
1.38,0.442463658969914,0.0343992754103699,0.494773546411286,0.690552629696161,0.727442658786008,0.728923243821438
1.39,0.446665277943985,0.0346592677340523,0.499263475751664,0.693775572990314,0.730700173454007,0.732172220737709
1.4,0.450847265436699,0.0349169867043149,0.503726800346781,0.696967898931517,0.733923556680869,0.735386827341206
1.41,0.455009070531905,0.0351724182633959,0.50816291970255,0.700129622852298,0.737112839371249,0.738567097649937
1.42,0.459150151690038,0.0354255492770444,0.512571245637352,0.703260763136322,0.740268056121832,0.741713069412078
1.43,0.463269976813461,0.0356763675174051,0.51695122681918,0.706361341192216,0.743389261650036,0.744824800672805
1.44,0.467368023307635,0.0359248616458588,0.521302283402269,0.709431381427051,0.74647648660097,0.747902325210791
1.45,0.471443778138056,0.0361710211958352,0.525623888884165,0.712470911219462,0.749529792656703,0.750945708108038
1.46,0.475496737883211,0.036414836555612,0.529915504655907,0.715479960892563,0.752549228430618,0.753955001273014
1.47,0.479526408783188,0.0366562989511145,0.534176604596969,0.718458563686384,0.755534846018424,0.75693026012785
1.48,0.48353230678434,0.03689540042873,0.538406699716767,0.721406755730129,0.758486717184617,0.759871559936908
1.49,0.487513957579867,0.0371321338381489,0.542605272505744,0.724324576014107,0.761404889887038,0.762778951950594
1.5,0.491470896646221,0.0373664928152469,0.54677185909388,0.727212066361297,0.764289442494875,0.765652518096755
1.51,0.495402669275672,0.0375984717650191,0.550905983506951,0.730069271398743,0.767140440383617,0.768492327194151
1.52,0.49930883060477,0.0378280658445771,0.555007182302781,0.732896238528584,0.769957952194377,0.771298451351662
1.53,0.503188945638845,0.0380552709462223,0.559075029405275,0.735693017898816,0.77274206586124,0.774070982142083
1.54,0.507042589272723,0.0382800836806029,0.563109069934395,0.738459662373867,0.775492845624638,0.776809987223586
1.55,0.510869346307387,0.0385025013599679,0.567108902963073,0.741196227504805,0.778210385643266,0.779515564439013
1.56,0.51466881146291,0.0387225219815242,0.571074115245348,0.743902771499364,0.780894767063317,0.782187798492472
1.57,0.518440589387603,0.0389401442109094,0.575004305985163,0.746579355191739,0.78354607407355,0.784826777148306
1.58,0.522184294663275,0.0391553673657855,0.578899111947287,0.749226042012062,0.786164409848902,0.787432607325961
1.59,0.525899551806944,0.0393681913995642,0.58275814054364,0.751842897955755,0.788749853846709,0.790005371992035
1.6,0.529585995268765,0.0395786168852703,0.586581053470056,0.754429991552586,0.791302515069506,0.792545183925829
1.61,0.533243269426337,0.0397866449995505,0.590367499684904,0.756987393835517,0.793822489404561,0.795052142653996
1.62,0.536871028575541,0.0399922775068343,0.59411714039648,0.759515178309411,0.79630987555305,0.797526350528031
1.63,0.540468936917697,0.0401955167436546,0.597829674533414,0.762013420919443,0.798764790959809,0.799967928810633
1.64,0.544036668543354,0.0403963656031315,0.601504770872352,0.764482200019389,0.801187329203029,0.802376974647648
1.65,0.54757390741265,0.0405948275196278,0.605142152827278,0.766921596339729,0.803577613144434,0.804753614738061
1.66,0.551080347332209,0.0407909064535791,0.608741530464491,0.769331692955508,0.805935752351309,0.807097962337571
1.67,0.554555691928848,0.0409846068765046,0.612302625791403,0.771712575254125,0.808261858971403,0.809410133286665
1.68,0.55799965461993,0.0411759337562028,0.615825198669545,0.774064330902886,0.810556063715365,0.811690262155777
1.69,0.561411958580511,0.0413648925421355,0.619308977770101,0.776387049816421,0.812818473161282,0.813938459116697
1.7,0.564792336707429,0.0415514891510051,0.622753746787212,0.778680824124002,0.815049223015529,0.816154863742587
1.71,0.568140531580174,0.0417357299525279,0.626159275276411,0.780945748136644,0.817248435439884,0.818339601901262
1.72,0.571456295418811,0.0419176217554063,0.629525344326506,0.783181918314141,0.819416234939186,0.820492801801488
1.73,0.57473939003893,0.0420971717935032,0.632851773001349,0.785389433231969,0.821552764461816,0.822614610263262
1.74,0.57798958680361,0.0422743877122213,0.636138347904454,0.787568393548034,0.823658142445441,0.824705149312752
1.75,0.58120666657263,0.0424492775550884,0.639384911094833,0.789718901969377,0.82573251640584,0.826764570332541
