r,vc2_field_isolated,vc2_baryon,vc2_field_deformed,vc_total_unchanged_field,vc_total_deformed,vc_total_spherical
6.4,0.414371106153907,0.0359425868472155,0.414506071917544,0.671054165474831,0.671154720436919,0.671154720436919
6.41,0.413729733379175,0.0359017697653235,0.413862134631105,0.670545675658637,0.670644394889295,0.670644394889295
6.42,0.413090265195372,0.0358610194375813,0.41322014913837,0.670038271021106,0.670135186791405,0.670135186791405
6.43,0.412452694381296,0.0358203358549202,0.412580107367573,0.669531948629949,0.669627092658662,0.669627092658662
6.44,0.411817013732321,0.035779719006558,0.411942001316196,0.669026705549845,0.669120109040787,0.669120109040787
6.45,0.411183216060519,0.0357391688800234,0.411305822973596,0.66852253884259,0.668614232464146,0.668614232464146
6.46,0.410551294195093,0.0356986854611803,0.410671564382898,0.668019445567473,0.66810945947807,0.66810945947807
6.47,0.409921240982662,0.0356582687342521,0.410039217617222,0.667517422781544,0.6676057866372,0.6676057866372
6.48,0.409293049287559,0.035617918681845,0.409408774759385,0.667016467539898,0.667103210486376,0.667103210486376
6.49,0.408666711992127,0.0355776352849716,0.40878022795827,0.666516576895953,0.666601727602953,0.666601727602953
6.5,0.40804222199702,0.0355374185230742,0.408153569358766,0.666017747901731,0.666101334544407,0.666101334544407
6.51,0.407419572221455,0.0354972683740474,0.407528791157773,0.665519977608112,0.665602027890405,0.665602027890405
6.52,0.406798755603471,0.0354571848142606,0.406905885582661,0.665023263065083,0.66510380422677,0.66510380422677
6.53,0.406179765100182,0.0354171678185808,0.40628484487288,0.664527601321994,0.664606660131736,0.664606660131736
6.54,0.40556259368803,0.0353772173603939,0.405665661330941,0.664032989427802,0.66411059221438,0.66411059221438
6.55,0.404947234363016,0.0353373334116271,0.405048327259018,0.663539424431316,0.663615597067041,0.663615597067041
6.56,0.404333680140935,0.03529751594277,0.404432835009579,0.663046903381431,0.663121671303501,0.663121671303501
6.57,0.403721924057608,0.0352577649228958,0.403819176965889,0.662555423327365,0.662628811544431,0.662628811544431
6.58,0.403111959169108,0.0352180803196828,0.403207345525352,0.662064981318896,0.6621370144049,0.6621370144049
6.59,0.402503778551954,0.0351784620994342,0.402597333145598,0.661575574406574,0.661646276529259,0.661646276529259
6.6,0.401897375303306,0.0351389102270994,0.401989132287133,0.661087199641928,0.661156594547943,0.661156594547943
6.61,0.401292742541159,0.0350994246662937,0.40138273545909,0.660599854077681,0.660667965112116,0.660667965112116
6.62,0.400689873404527,0.0350600053793185,0.400778135201604,0.660113534767956,0.660180384880468,0.660180384880468
6.63,0.400088761053623,0.0350206523271808,0.400175324070701,0.659628238768478,0.659693850507856,0.659693850507856
6.64,0.399489398670036,0.0349813654696129,0.399574294679966,0.659143963136771,0.659208358676966,0.659208358676966
6.65,0.398891779456897,0.0349421447650915,0.398975039648668,0.658660704932356,0.658723906059101,0.658723906059101
6.66,0.398295896639057,0.0349029901708565,0.398377551643097,0.658178461216951,0.658240489345614,0.658240489345614
6.67,0.397701743463227,0.0348639016429302,0.397781823360619,0.657697229054644,0.657758105235921,0.657758105235921
6.68,0.397109313198113,0.0348248791361356,0.397187847515991,0.657217005512067,0.65727675042719,0.65727675042719
6.69,0.396518599134562,0.0347859226041145,0.396595616879006,0.656737787658572,0.656796421643054,0.656796421643054
6.7,0.395929594585695,0.0347470319993459,0.39600512422759,0.656259572566405,0.656317115598044,0.656317115598044
6.71,0.395342292887038,0.0347082072731636,0.395416362385137,0.65578235731087,0.655838829026081,0.655838829026081
6.72,0.394756687396645,0.0346694483757741,0.394829324206086,0.655306138970496,0.65536155866961,0.65536155866961
6.73,0.394172771495218,0.0346307552562738,0.394244002563531,0.654830914627197,0.654885301270234,0.654885301270234
