galaxy,model,n_inner,n_outer,outer_loss,inner_loss,outer_rms_kms,invalid_outer_rows,invalid_inner_rows,inference_allowed
DDO064,baryon_only,11,3,13.226302356588278,12.763721514090541,21.852054640152986,0,0,True
DDO064,compact_plummer,11,3,0.3198396464531727,0.27699488940687805,3.9287339225850255,0,0,True
DDO064,core,11,3,0.4454895711302016,0.291847011444503,4.574719146089808,0,0,False
DDO064,envelope_a0.5,11,3,0.3006856468989678,0.27235082922859044,3.822541536031805,0,0,False
DDO064,envelope_a1,11,3,0.38006571200360956,0.2896582949382173,4.256712430498441,0,0,False
DDO064,envelope_a2,11,3,0.4454895711302016,0.291847011444503,4.574719146089808,0,0,False
DDO064,extended,11,3,0.3800657119607107,0.2896582949382175,4.256712430281227,0,0,True
DDO064,inverse_extended,11,3,0.3800657119607107,0.2896582949382175,4.256712430281227,0,0,False
DDO064,nfw,11,3,0.1229078000095256,0.5150966608926054,2.983934211250474,0,0,True
DDO064,posthoc_gate_80,11,3,0.4454895701505434,0.2918470114445032,4.574719141602168,0,0,False
DDO064,posthoc_gate_90,11,3,0.4454895701505434,0.2918470114445032,4.574719141602168,0,0,False
DDO064,posthoc_gate_95,11,3,0.4454895701505434,0.2918470114445032,4.574719141602168,0,0,False
DDO064,scalar_core,11,3,0.4454895701505434,0.2918470114445032,4.574719141602168,0,0,True
DDO154,adaptive_conservative,9,3,2.8600427527393406,1.066609727333402,1.0794666575078204,0,0,False
DDO154,adaptive_primary,9,3,3.2544055936624474,0.9408585756596816,1.1567673644069438,0,0,True
DDO154,baryon_only,9,3,1611.492219320944,6890.8462091954,29.61073335837788,0,0,True
DDO154,compact_plummer,9,3,3.0483125856519386,0.9869370180209818,1.116915091667309,0,0,True
DDO154,core,9,3,2.8600427527393406,1.066609727333402,1.0794666575078204,0,0,False
DDO154,envelope_a0.5,9,3,3.2544055936624474,0.9408585756596816,1.1567673644069438,0,0,False
DDO154,envelope_a1,9,3,3.249285625004156,0.9131648916101651,1.1544779902023716,0,0,False
DDO154,envelope_a2,9,3,3.1265437644235914,0.8622872036100229,1.1271029744992336,0,0,False
DDO154,extended,9,3,3.2492856310018516,0.9131648916101667,1.1544779913289172,0,0,True
DDO154,inverse_extended,9,3,0.1896667687819956,0.9131648916101667,0.5411289568391723,0,0,False
DDO154,nfw,9,3,21.741567215625707,6.093632394346792,4.687661784463014,0,0,True
DDO154,posthoc_gate_80,9,3,2.8600427682733227,1.0666097273333899,1.079466660597766,0,0,False
DDO154,posthoc_gate_90,9,3,2.8600427682733227,1.0666097273333899,1.079466660597766,0,0,False
DDO154,posthoc_gate_95,9,3,2.8600427682733227,1.0666097273333899,1.079466660597766,0,0,False
DDO154,scalar_core,9,3,2.8600427682733227,1.0666097273333899,1.079466660597766,0,0,True
DDO161,adaptive_conservative,24,7,3.982072567909721,0.20345761179377556,2.090809313011114,0,0,False
DDO161,adaptive_primary,24,7,3.982072567909721,0.20345761179377556,2.090809313011114,0,0,True
DDO161,baryon_only,24,7,947.3869820694362,149.4099896914925,32.976334586239325,0,0,True
DDO161,compact_plummer,24,7,4.522180853126215,0.17672577401058773,2.2281431133246987,0,0,True
DDO161,core,24,7,3.982072567909721,0.20345761179377556,2.090809313011114,0,0,False
DDO161,envelope_a0.5,24,7,4.616703503386036,0.19228864112405472,2.251072254933348,0,0,False
DDO161,envelope_a1,24,7,4.223920483722274,0.20216368070188181,2.1539408276151617,0,0,False
DDO161,envelope_a2,24,7,3.982072567909721,0.20345761179377556,2.090809313011114,0,0,False
DDO161,extended,24,7,4.223920453952181,0.2021636807018815,2.1539408199558854,0,0,True
DDO161,inverse_extended,24,7,0.0023825863736827413,0.2021636807018815,0.14321942085984776,0,0,False
DDO161,nfw,24,7,24.071295212343188,0.4745909506588731,4.762085921833166,0,0,True
DDO161,posthoc_gate_80,24,7,3.982072569815494,0.20345761179377533,2.0908093135232027,0,0,False
DDO161,posthoc_gate_90,24,7,3.982072569815494,0.20345761179377533,2.0908093135232027,0,0,False
DDO161,posthoc_gate_95,24,7,3.982072569815494,0.20345761179377533,2.0908093135232027,0,0,False
DDO161,scalar_core,24,7,3.982072569815494,0.20345761179377533,2.0908093135232027,0,0,True
DDO168,adaptive_conservative,8,2,13.11960433509488,1.5916203020102486,9.608959249152203,0,0,False
DDO168,adaptive_primary,8,2,13.11960433509488,1.5916203020102486,9.608959249152203,0,0,True
DDO168,baryon_only,8,2,132.53788130308465,203.14227621024673,29.759903644370663,0,0,True
DDO168,compact_plummer,8,2,13.119604291990315,1.5916203020102455,9.608959233652607,0,0,True
DDO168,core,8,2,13.11960433509488,1.5916203020102486,9.608959249152203,0,0,False
DDO168,envelope_a0.5,8,2,13.11960433509488,1.5916203020102486,9.608959249152203,0,0,False
DDO168,envelope_a1,8,2,13.11960433509488,1.5916203020102486,9.608959249152203,0,0,False
DDO168,envelope_a2,8,2,13.11960433509488,1.5916203020102486,9.608959249152203,0,0,False
DDO168,extended,8,2,13.119604389728886,1.591620302010249,9.608959268797571,0,0,True
DDO168,inverse_extended,8,2,13.119604389728886,1.591620302010249,9.608959268797571,0,0,False
DDO168,nfw,8,2,2.7420987767928735,8.03726948504202,4.466049778696536,0,0,True
DDO168,posthoc_gate_80,8,2,13.119604293252996,1.5916203020102504,9.608959234106644,0,0,False
DDO168,posthoc_gate_90,8,2,13.119604293252996,1.5916203020102504,9.608959234106644,0,0,False
DDO168,posthoc_gate_95,8,2,13.119604293252996,1.5916203020102504,9.608959234106644,0,0,False
DDO168,scalar_core,8,2,13.119604293252996,1.5916203020102504,9.608959234106644,0,0,True
DDO170,adaptive_conservative,6,2,54.16752326367465,0.6284894600509541,7.639394991158813,0,0,False
DDO170,adaptive_primary,6,2,24.375868056547763,0.36018429055459816,5.073392275252973,0,0,True
DDO170,baryon_only,6,2,847.7590910269892,462.5009345671909,32.09452222645283,0,0,True
DDO170,compact_plummer,6,2,56.152253384381716,0.5947905516157573,7.787532998409579,0,0,True
DDO170,core,6,2,54.16752326367465,0.6284894600509541,7.639394991158813,0,0,False
DDO170,envelope_a0.5,6,2,50.31550842687318,0.5329112116049576,7.365222137030907,0,0,False
DDO170,envelope_a1,6,2,24.375868056547763,0.36018429055459816,5.073392275252973,0,0,False
DDO170,envelope_a2,6,2,40.24602590238275,0.5785308143884951,6.554961755524479,0,0,False
DDO170,extended,6,2,24.375867096135156,0.36018429055460444,5.073392172324621,0,0,True
DDO170,inverse_extended,6,2,0.0,0.36018429055460444,0.0,0,0,False
DDO170,nfw,6,2,1.3135354676205908,1.8426514897471613,1.2013567250095025,0,0,True
