baseline,fit_mode,galaxy,n_rows,n_train,n_outer,n_parameters,fit_status,fit_success,train_admissible,outer_admissible,invalid_training_rows,invalid_outer_rows,chi2_data,prior_penalty,objective,ml_disk,ml_bulge,distance_ratio,inclination_deg,inclination_factor,parameters_json,parameter_names_json,disk_pull,bulge_pull,distance_pull,inclination_pull,maximum_abs_pull,nuisance_bound_hit,n_bound_parameters,kkt_relative,n_starts,near_best_starts,seconds
profiled,full,F568-V1,15,15,3,3,converged,True,True,True,0,0,6.580606332197143,48.68105588825013,55.26166222044727,1.8793838428707086,0.7,1.230780235349218,72.0739352977314,1.4802004114335543,"[3.758767685741417, 2.3078023534921805, 3.20739352977314]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",5.750454845543566,0.0,2.3078023534921805,3.20739352977314,5.750454845543566,False,0,1.6226593920557428e-08,10,10,0.01300191879272461
fixed,full,F571-8,13,13,3,0,fixed_inputs,True,True,True,0,0,2150.8652042646213,0.0,2150.8652042646213,0.5,0.7,1.0,85.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,F571-8,13,13,3,3,converged,True,True,True,0,0,1562.9175277708634,12.827727401817432,1575.7452551726808,0.6702573336553632,0.7,1.6694235705831217,86.48601720144222,1.0019325258066039,"[1.3405146673107264, 3.3346052628112517, 0.2972034402884446]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",1.2727157020048303,0.0,3.3346052628112517,0.2972034402884446,3.3346052628112517,False,0,7.117325577758299e-09,10,10,0.01500248908996582
fixed,full,F571-V1,7,7,0,0,fixed_inputs,True,True,True,0,0,279.02710961673114,0.0,279.02710961673114,0.5,0.7,1.0,30.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,F571-V1,7,7,0,3,converged,True,True,True,0,0,7.619582390403541,18.063873030762124,25.683455421165664,0.7222679059861075,0.7,1.181106927952686,64.96338462107957,1.8120750480383123,"[1.444535811972215, 1.8133331161262676, 3.496338462107957]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",1.597283130539633,0.0,1.8133331161262676,3.496338462107957,3.496338462107957,False,0,1.0106816461579749e-08,10,10,0.012012243270874023
fixed,full,F574-1,14,14,3,0,fixed_inputs,True,True,True,0,0,1580.480826541699,0.0,1580.480826541699,0.5,0.7,1.0,65.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,F574-1,14,14,3,3,converged,True,True,True,0,0,34.814145049698865,48.29782482052554,83.11196987022441,1.9905358527674861,0.7,1.302833853779201,82.68329867713967,1.094393511988462,"[3.9810717055349722, 3.0283385377920093, 1.7683298677139678]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",5.999999999999999,0.0,3.0283385377920093,1.7683298677139678,5.999999999999999,True,1,3.793478104154173e-10,10,10,0.010012388229370117
fixed,full,F583-1,25,25,5,0,fixed_inputs,True,True,True,0,0,1264.951525439907,0.0,1264.951525439907,0.5,0.7,1.0,63.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,F583-1,25,25,5,3,converged,True,True,True,0,0,58.42024819994568,68.53119961130837,126.95144781125404,1.8763643200253084,0.7,2.363656986276311,75.03200666630579,1.0842459973976908,"[3.752728640050617, 5.454627945105243, 2.4064013332611567]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",5.743471616980817,0.0,5.454627945105243,2.4064013332611567,5.743471616980817,False,0,4.421037075116644e-09,10,10,0.012011528015136719
fixed,full,F583-4,12,12,3,0,fixed_inputs,True,True,True,0,0,458.72334893944765,0.0,458.72334893944765,0.5,0.7,1.0,55.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
profiled,full,F583-4,12,12,3,3,converged,True,True,True,0,0,8.255554202276237,21.439620209314505,29.69517441159074,1.115327151379357,0.7,1.4863322574670539,73.52097574175693,1.1706296213388538,"[2.230654302758714, 2.4225709647657916, 1.8520975741756922]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",3.4843227040159124,0.0,2.4225709647657916,1.8520975741756922,3.4843227040159124,False,0,3.118112271687712e-08,10,10,0.011011123657226562
fixed,full,IC2574,34,34,7,0,fixed_inputs,True,True,True,0,0,13829.857075531063,0.0,13829.857075531063,0.5,0.7,1.0,75.0,1.0,"[1.0, 0.0, 0.0]","[""disk_scale"", ""distance_pull"", ""inclination_pull""]",0.0,0.0,0.0,0.0,0.0,False,0,,0,0,0.0
