galaxy,model,n_outer,loss,rms,pipeline_failure,invalid_outer_rows
NGC5055,fixed_catalogue_baryons,6,6385.092318750303,83.08772135135115,False,0
NGC5371,fixed_catalogue_baryons,4,205.79159317981882,64.07160689581812,False,0
NGC5585,fixed_catalogue_baryons,5,931.6017096652528,48.878804779256484,False,0
NGC5907,fixed_catalogue_baryons,4,797.1879433252028,103.79106340326781,False,0
NGC5985,fixed_catalogue_baryons,7,1109.1525821007158,143.70020218824402,False,0
NGC6015,fixed_catalogue_baryons,9,336.32338584486,86.03627440506384,False,0
NGC6195,fixed_catalogue_baryons,5,108.93692632842367,58.85728279591758,False,0
NGC6503,fixed_catalogue_baryons,7,810.7767637426998,70.33566156159279,False,0
NGC6674,fixed_catalogue_baryons,3,2430.8264672471805,145.01854486243954,False,0
NGC6946,fixed_catalogue_baryons,12,22.822161689856387,57.998723710407525,False,0
NGC7331,fixed_catalogue_baryons,8,399.3932146416275,94.02929281419533,False,0
NGC7793,fixed_catalogue_baryons,10,31.163778768650484,41.63027317242417,False,0
NGC7814,fixed_catalogue_baryons,4,460.5998732241474,102.77958992227754,False,0
UGC00128,fixed_catalogue_baryons,5,1018.8520783065729,86.01648218345395,False,0
UGC00191,fixed_catalogue_baryons,2,2762.9214332376255,41.09860767666547,False,0
UGC00731,fixed_catalogue_baryons,3,141.6429426273066,37.149680247258594,False,0
UGC01281,fixed_catalogue_baryons,5,65.9120771140077,32.47450128676533,False,0
UGC02259,fixed_catalogue_baryons,2,417.69456481284533,53.23089496726313,False,0
UGC02487,fixed_catalogue_baryons,4,2588.5140658035416,194.44339394736883,False,0
UGC02885,fixed_catalogue_baryons,4,222.0472975524962,149.01251543158924,False,0
UGC02916,fixed_catalogue_baryons,9,28.577608115437215,61.122276194168535,False,0
UGC02953,fixed_catalogue_baryons,23,2300.439956850433,142.99915706865843,False,0
UGC03205,fixed_catalogue_baryons,10,2116.388717025052,98.92688950458363,False,0
UGC03546,fixed_catalogue_baryons,6,664.5350849079147,80.10546854461467,False,0
UGC03580,fixed_catalogue_baryons,10,1532.7650048455992,63.55847790004235,False,0
UGC04278,fixed_catalogue_baryons,5,41.67831074256854,47.614776164499716,False,0
UGC04325,fixed_catalogue_baryons,2,251.39171993664564,48.358778672653074,False,0
UGC04483,fixed_catalogue_baryons,2,51.22343996155756,10.98546716679204,False,0
UGC04499,fixed_catalogue_baryons,2,165.2353059052902,34.25740355168561,False,0
UGC05005,fixed_catalogue_baryons,3,32.19588557158664,56.741418356952124,False,0
UGC05253,fixed_catalogue_baryons,15,1234.8910154644832,99.86589230505312,False,0
UGC05716,fixed_catalogue_baryons,3,1690.1089754753004,42.71264382392104,False,0
UGC05721,fixed_catalogue_baryons,5,122.00040371803667,50.47738336731436,False,0
UGC05750,fixed_catalogue_baryons,3,11.58481345009274,38.54677950642937,False,0
UGC05764,fixed_catalogue_baryons,2,110.60747692031114,28.491229862291735,False,0
UGC05829,fixed_catalogue_baryons,3,32.494885102299456,28.844168218293873,False,0
UGC05918,fixed_catalogue_baryons,2,38.97149762066586,24.533872168930493,False,0
UGC05986,fixed_catalogue_baryons,3,197.13350496734776,65.11723247974149,False,0
UGC06399,fixed_catalogue_baryons,2,95.39590396761679,47.85870510432224,False,0
UGC06446,fixed_catalogue_baryons,4,52.41110867074167,46.379579522174694,False,0
