galaxy,point_index,radius_kpc,radius_fraction_of_last,comparator,z_envelope,z_comparator,delta_squared,delta_absolute,delta_absolute_kms,comparison_valid,comparator_fit_failed
UGC08490,24,8.46,0.8334975369458129,scalar_core,-0.9042910916154779,-0.8627502687771786,0.07340435210001883,0.041540822838299296,0.1532856362733244,True,False
UGC08490,25,8.8,0.8669950738916257,scalar_core,-0.8547363577858191,-0.8422911174706529,0.021119914751006608,0.01244524031516625,0.04592293676296346,True,False
UGC08490,26,9.13,0.8995073891625617,scalar_core,-0.9486565580595784,-0.965135683432777,-0.031537622285807365,-0.016479125373198622,-0.06080797262710291,True,False
UGC08490,27,9.47,0.9330049261083744,scalar_core,-1.3464195154413052,-1.393148055679683,-0.12801599348288173,-0.04672854023837769,-0.17242831347961368,True,False
UGC08490,28,9.77,0.9625615763546798,scalar_core,-1.2725564038729391,-1.345843320616564,-0.19189444261019295,-0.07328691674362497,-0.27042872278397617,True,False
UGC08490,29,10.15,1.0,scalar_core,-1.7559548323673828,-1.8622398323279277,-0.3845598197943847,-0.10628499996054486,-0.3921916498544105,True,False
UGC08550,8,4.39,0.8190298507462686,scalar_core,-1.70020134512699,-1.4371071423339978,0.8254076754242363,0.2630942027929921,0.5893310142563024,True,False
UGC08550,9,4.88,0.9104477611940298,scalar_core,-1.277859603489194,-1.0626337549582274,0.5037346690529378,0.2152258485309666,0.4304516970619332,True,False
UGC08550,10,5.36,1.0,scalar_core,-1.6378734172522371,-1.515739948013433,0.3851617409377561,0.12213346923880408,0.24426693847760816,True,False
UGC08699,32,10.21,0.3972762645914397,scalar_core,-0.03293758312895603,-0.032937583470054016,-2.246988662843452e-11,-3.410979831919292e-10,-3.363226114272422e-09,True,False
UGC08699,33,11.46,0.44591439688715956,scalar_core,-1.4782771701091921,-1.478277171492118,-4.088695604309578e-09,-1.3829257738962042e-09,-3.4711436924794724e-09,True,False
UGC08699,34,13.39,0.521011673151751,scalar_core,-2.484692957557776,-2.484692958518265,-4.773040629402203e-09,-9.60489021650801e-10,-3.4769702583759e-09,True,False
UGC08699,35,15.21,0.5918287937743191,scalar_core,-2.2908112484249563,-2.2908112489282284,-2.3058026599187542e-09,-5.032720906683608e-10,-3.376955728384701e-09,True,False
UGC08699,36,17.13,0.6665369649805447,scalar_core,-4.1775669245147675,-4.177566925043152,-4.414722809542582e-09,-5.283844473069621e-10,-3.2389966619916777e-09,True,False
UGC08699,37,19.06,0.7416342412451361,scalar_core,-9.081607170671564,-9.081607171454213,-1.4215402188710868e-08,-7.826486125850352e-10,-3.091462019710889e-09,True,False
UGC08699,38,20.99,0.8167315175097276,scalar_core,-9.685132058215771,-9.685132058877157,-1.2811213423447043e-08,-6.613856129433771e-10,-2.9497798337274615e-09,True,False
UGC08699,39,22.92,0.8918287937743191,scalar_core,-7.044419661226736,-7.0444196616251045,-5.612548648059601e-09,-3.9836844933915927e-10,-2.824432305814639e-09,True,False
UGC08699,40,25.7,1.0,scalar_core,-7.847069654543641,-7.847069654901474,-5.615881093490316e-09,-3.5783287444246525e-10,-2.680168229574065e-09,True,False
UGC08837,6,3.68,0.8761904761904762,scalar_core,-0.3629266975239729,-0.3629266975193374,3.364669654004615e-12,4.635458683566185e-12,1.4601694853233482e-11,True,False
