galaxy,extended,scalar_core,compact_plummer,nfw,baryon_only,profiled_baryons,adaptive_primary
NGC6503,9.09279606719617,18.343645737726764,19.288262474367134,0.9875198157051159,682.0864123310038,210.99484549922983,9.092796074296615
NGC6674,1.6027386569537818,1.4374328971502361,1.4925434584853232,2.874207097710897,895.0169643682274,343.7960497363229,1.4374328758678143
NGC6946,0.05110689230984813,0.051023713145501415,0.05102371307260356,0.5143566838011634,17.005192724814197,5.268554216006854,0.05102371307260356
NGC7331,8.569657127527208,8.728524146626455,9.336280919391799,1.481717705446414,492.7259255343156,178.76275031264234,0.36044025836609916
NGC7793,22.877247849919172,22.877247849919172,19.828205048025943,10.045169565516305,13.448693559671465,7.690656884306323,22.877247849919172
NGC7814,5.61718875386541,17.404803410090803,18.28021485497828,1.1798553132981138,446.06546707606503,107.24924594028029,5.61718899718514
UGC00128,7.647324287690326,7.220291818200653,8.06549087664952,5.1441929372762845,292.42336803024875,150.60848047753908,7.220291812550488
UGC00191,280.6566923310439,304.5589278904796,309.2533354192716,45.3814510478428,2259.6245465803877,25.769939708982943,304.5589267117417
UGC00731,0.3400204501301775,4.169937791913169,5.098304906309822,1.0817038607632268,71.84473625262724,1.22962170680292,1.019423934691228
UGC01281,4.1642906222149785,28.01650125940722,16.93017522507991,0.8144600315220792,28.08467237022071,inf,0.5194473195892979
UGC02259,7.160078856770191,23.023419004435546,26.774772805160367,1.9312337699302202,245.92871529964276,14.136734764137259,1.1487063699695343
UGC02487,18.96252574294264,25.39386135927993,25.4760937131523,4.9689480967053425,1197.0653518526435,143.0903863655135,25.393861561549635
UGC02885,2.6564317280784695,2.871910582373856,3.4603168368522144,0.06247904081987257,150.52368925203518,52.39912262805289,0.052510776719586434
UGC02916,0.3125059006639297,0.3117220111203967,0.3224147739919042,0.3083773744350243,0.2852986793614812,0.3203111264299034,0.31172201045791426
UGC02953,43.02807257062449,43.06320268317816,43.06320268340717,8.187147156363675,1417.1840523955166,646.8004592351391,43.06320228644455
UGC03205,138.60009288228488,180.8016637962574,112.1352088377992,45.95716247831217,736.876084145644,404.79245702214956,180.8016637961794
UGC03546,2.6774761407753527,3.5863262295764478,3.643179173435738,2.5856797581065707,679.7452831922889,61.87665711661799,3.5863262300511956
UGC03580,172.8216685329425,181.97791357637635,183.58839805521794,25.274960642199787,1830.7000545036121,647.0947619385481,181.97791730368994
UGC04278,2.730011446015004,3.2411323422480507,2.6467138539721082,0.38531242911412,23.058680253096707,2.039549200028432,3.2411321843494356
UGC04325,5.974509263696687,10.473932676376332,10.1212445396768,3.647997191652249,226.99851009820526,0.2814536514880054,2.0957582203536855
UGC04483,2.3278373012473343,2.327837298511382,2.3278373012473343,1.493559552571122,51.37094876820055,17.172926532068033,2.3278373012473343
UGC04499,0.06253437952702096,2.460229605018358,2.9886682666611457,3.621633570987111,158.45414279469486,3.466637529023883,0.06253436689695023
UGC05005,0.5207809477489774,0.44593697266905563,0.5990085389781622,1.1810667846097793,30.881187426158505,9.65711475260989,0.4459369754795148
UGC05253,10.186148986453706,86.1251335634527,87.25231693456574,140.09855126029433,1056.7015015622642,297.120365364481,86.12513316421925
UGC05716,3.287680949876577,3.1745469530577637,3.4823241639298477,9.124653948944689,528.9817113675126,52.54184641021703,3.174546947671016
UGC05721,4.654503585438858,6.202289062237642,6.557518594453202,1.2688697727939675,95.5234100675149,24.457552659938198,4.654503633194399
UGC05750,0.16298668536561614,0.16298668553372567,0.16298668455303536,1.368848391723341,11.81794890436566,1.2638661244076468,0.16298668536561614
UGC05764,0.7103725619476834,0.2127125547005229,0.13500035850301303,7.5806762719362535,76.10833941927666,0.11919130699698334,0.2127125671201836
UGC05829,0.4973927681763408,3.0234404416445937,3.482049232092173,0.030039420968617336,24.863523175506007,0.9357195913426208,0.4973927845672552
UGC05918,1.0506840317805033,2.0764885766437082,2.2716816225916503,0.21015283425882325,38.452395004420026,0.49193857862830803,0.018691480159871685
