comparator,galaxy,delta_galaxy_loss,mean_contribution,variance_share,mean_without,reverses_direction
compact_plummer,DDO154,0.20097304534991345,0.0015341453843504844,0.0011237836516347862,-5.056735842769809,False
compact_plummer,DDO161,-0.29826039917403335,-0.0022767969402597964,0.0009190180421439436,-5.05289558550424,False
compact_plummer,DDO168,9.773857101436079e-08,7.460959619416854e-10,0.001038878128407097,-5.055189897018953,False
compact_plummer,DDO170,-31.77638628824656,-0.24256783426142411,0.029560432516344163,-4.810756155588297,False
compact_plummer,ESO079-G014,3.918968261018563e-09,2.99157882520501e-11,0.001038878089549258,-5.055189896297264,False
compact_plummer,ESO116-G012,-0.17388552160364834,-0.0013273703939209796,0.0009681070240612819,-5.053852315331705,False
compact_plummer,ESO563-G021,-21.169388986163764,-0.16159838920735697,0.01077061564185229,-4.892348442527396,False
compact_plummer,F568-3,0.0,0.0,0.001038878087926115,-5.055189896267118,False
compact_plummer,F568-V1,-1.6323777391373424,-0.012460898772040782,0.0004727847389097822,-5.042633144427599,False
compact_plummer,F571-8,8.376465743253902e-09,6.394248658972445e-11,0.001038878091395447,-5.055189896331552,False
compact_plummer,F574-1,-2.4226526773217536,-0.018493531887952316,0.00027775894243276845,-5.036554106441566,False
compact_plummer,F583-1,1.0653869342291955e-08,8.132724688772485e-11,0.0010388780923386934,-5.05518989634907,False
compact_plummer,F583-4,-3.7927204872437823,-0.028952064788120475,6.183342780830335e-05,-5.026015123288319,False
compact_plummer,IC2574,0.2673222485098681,0.002040627851220367,0.0011525465358066234,-5.057246221255656,False
compact_plummer,IC4202,-9.929336863266016,-0.07579646460508409,0.0009963052377467984,-4.978810381934302,False
compact_plummer,KK98-251,0.0,0.0,0.001038878087926115,-5.055189896267118,False
compact_plummer,NGC0024,-80.97175653335114,-0.6181050117049706,0.23815518591144452,-4.432330230625955,False
compact_plummer,NGC0055,0.0,0.0,0.001038878087926115,-5.055189896267118,False
compact_plummer,NGC0100,-0.02371602065953171,-0.00018103832564528023,0.0010290786968410112,-5.055007465338967,False
compact_plummer,NGC0247,-0.38364811932588494,-0.0029286115979075184,0.0008860561147905486,-5.052238756887688,False
compact_plummer,NGC0289,0.04333780832534029,0.0003308229643155747,0.0010569051047628769,-5.055523264023466,False
compact_plummer,NGC0300,-2.0764102555494084,-0.015850459966026017,0.0003568588208551722,-5.039217509685969,False
compact_plummer,NGC0801,-18.231085089510717,-0.13916858846954747,0.007208517735452252,-4.914950780193958,False
compact_plummer,NGC0891,0.0,0.0,0.001038878087926115,-5.055189896267118,False
