,squared_standardized__scalar_core,squared_standardized__compact_plummer,squared_standardized__nfw,squared_standardized__baryon_only,absolute_standardized__scalar_core,absolute_standardized__compact_plummer,absolute_standardized__nfw,absolute_standardized__baryon_only,absolute_kms__scalar_core,absolute_kms__compact_plummer,absolute_kms__nfw,absolute_kms__baryon_only,correlated_quadratic__scalar_core__rho0.25,correlated_quadratic__compact_plummer__rho0.25,correlated_quadratic__nfw__rho0.25,correlated_quadratic__baryon_only__rho0.25,correlated_quadratic__scalar_core__rho0.5,correlated_quadratic__compact_plummer__rho0.5,correlated_quadratic__nfw__rho0.5,correlated_quadratic__baryon_only__rho0.5,correlated_quadratic__scalar_core__rho0.75,correlated_quadratic__compact_plummer__rho0.75,correlated_quadratic__nfw__rho0.75,correlated_quadratic__baryon_only__rho0.75
NGC4157,0.012256839989790297,0.012256839986476031,0.029058362787227163,-43.6412638182717,0.017896063806161405,0.017896063801171473,0.09289039132160049,-6.218230555607623,0.21111885158018145,0.2111188515219593,0.8000638729085593,-72.7039763348236,0.007018813206649849,0.007018813204762456,-0.004342703764205896,-25.403832517757163,0.004934035742132414,0.004934035740820325,-0.03236636813461413,-18.43503723267267,0.003843565565049993,0.0038435655640616725,-0.09257368817971087,-15.686231264154337
NGC4183,-6.372376204400361,-7.678176039652314,0.31244710981072527,-64.171705441574,-1.8457092294866055,-2.0742819585743955,0.24764219787693423,-6.976596308543033,-12.397443863948249,-13.838950378539746,1.7104431979249939,-44.81466011324587,-3.3209016786723016,-4.025917982109402,0.15417818697100497,-36.16891723362915,-2.39355255441103,-2.9330519377839295,0.10005830073485981,-29.55669750620897,-2.1993051452246375,-2.760278840187685,0.068907621748072,-34.416716668183184
NGC4217,8.03568322993442e-12,0.0,-5.5010730269593004,-148.57884022488423,8.32606206202513e-12,0.0,-1.861197489921753,-11.455529348137343,6.846797018233986e-11,0.0,-15.040343696521255,-94.2250349949973,3.6955993820697586e-12,0.0,-3.1265589396433096,-88.46439420100019,1.3322676295501878e-12,0.0,-2.1649153516835096,-66.91215564219299,-1.8705037518884637e-12,0.0,-1.6106827949869924,-62.979534420516586
NGC4559,-0.01750684257168389,0.02598702485846993,-1.734099087516815,-51.460028348219936,-0.012543875807310352,0.018720251406323662,-0.7443575396992517,-6.508315180951092,-0.07494407505900215,0.11203191820603887,-4.477053805137079,-38.855852483011304,-0.007001802687314984,0.010809126619544696,-0.8340569420697441,-20.67702831665496,-0.004374958752873692,0.007273599982411422,-0.6968072226223626,-13.039413919618083,-0.003179239980203058,0.006419845467635882,-0.8897251811699493,-9.736892788904928
NGC5005,-0.055778038085471826,-0.010778140433677641,0.31999334809399893,-6.761793279220872,-0.043987135361540614,-0.008072831554137905,0.3083653784430933,-2.1326019954218998,-0.9678104193564954,-0.1775453418543412,6.7747329846402025,-46.96829296742915,-0.03828223287602228,-0.007968538003192083,0.25644823410201845,-3.872403776343754,-0.03577025857126942,-0.008111417459761183,0.28254661313903956,-2.7226133069451848,-0.04822180403494669,-0.01208595387103173,0.45511166226301514,-2.1218502288145045
NGC5033,-6.423260921292275,-7.36826922170264,-9.02642370424754,-675.3783477408165,-1.3074212173363728,-1.4207535281012098,-1.6026930030542963,-24.30628947877269,-5.451895052314081,-5.884738229786097,-4.404753256135632,-84.49208584092713,-3.7632990061111906,-4.123983394043438,-4.149494576661552,-346.4402584776702,-3.244424064694198,-3.335787306951784,-2.2813733504914113,-242.62828512812948,-4.088323684915807,-3.8213868297901925,-0.6198781864819054,-208.22446766788306
NGC5055,-1.2746313047416606,-1.5904052940706492,425.165898979307,-6392.787189466068,-0.026807146926411136,-0.03175544945886988,13.605565982165196,-39.96099070452207,-0.05816151732303487,-0.06571735306404164,23.19538225223107,-60.96443530673477,-1.0080011187946525,-1.3012488391154875,380.79138768484233,-6074.399889241316,-1.2156414121087096,-1.6007483073966569,491.43144826116344,-8061.8928209847845,-2.150520466875264,-2.868851924110004,907.3049281649689,-15129.326366612233
NGC5371,-16.66074321374211,-15.634746927534934,35.474559648689464,-31.060430093599564,-1.042041169367113,-0.9808818448834269,2.9081805213794647,-1.8577531003349113,-4.588731963849669,-4.322433550333423,12.927343472682779,-8.136072728589205,-9.597023469330928,-9.015267874498093,20.839149539784046,-17.765173526549212,-6.82515471460124,-6.424264994418046,15.382566314594923,-12.458520330873704,-5.497591979084639,-5.203844185558594,13.667731711410154,-9.636320705954972
NGC5585,6.019181261751605e-08,0.0,-61.68269733144563,-789.7682722982236,8.52843938893566e-08,0.0,-6.804607620789258,-25.377086476908556,1.8087488910668862e-07,0.0,-12.625589811324451,-44.58302184555767,4.057721067485254e-08,0.0,-40.78210058467484,-505.7342705447309,4.102654627136104e-08,0.0,-40.442402948385926,-484.95635955731285,6.221382287119326e-08,0.0,-60.15405796814554,-696.2676728548421
NGC5907,-1.2945712946077492e-08,-0.5548964931439531,-7.923209085367067,-354.70386046656586,-4.2887633999733055e-09,-0.17459306399629165,-1.6878976676131208,-17.029417473723626,-1.6207983899452216e-08,-0.6717316955481252,-6.610787396779422,-64.48551418705392,-7.551594238819348e-09,-0.3213747607559776,-4.572371555193255,-213.43229187206532,-5.501776478844533e-09,-0.23096980307239023,-3.2634129976121846,-164.44472455808437,-4.729814206960725e-09,-0.19153247284769848,-2.65513209580223,-161.20852715461572
