galaxy,model,configuration,holdout,n,n_train,n_test,n_parameters,chi2_data,chi2_data_per_row,prior_penalty,objective,length_catalogue_kpc,amplitude_catalogue_kms,physical_length_kpc,physical_amplitude_kms,ml_disk,ml_bulge,distance_ratio,distance_Mpc,inclination_deg,disk_pull,bulge_pull,distance_pull,inclination_pull,halo_bound_hit,nuisance_bound_hit,maximum_abs_pull,success,optimality,n_starts,near_best_starts,restart_objective_spread,holdout_admissible,holdout_chi2,holdout_chi2_per_row,distance_method,parameters_json,parameter_names_json
NGC4157,nfw,all_0.10,False,17,17,0,6,5.3732313297493475,0.31607243116172634,0.22161341057544523,5.594844740324793,149.85008780618736,577.2257812229773,144.70896201288255,577.3347269185408,0.5006641627626263,0.6384242285155023,0.9656915396676028,17.382447714016852,81.92343280288681,0.0057650163957781875,-0.39988679668260874,-0.24702091439326007,-0.02552239903773279,False,False,0.39988679668260874,True,1.5423282850483003e-05,8,8,2.9901414677624416e-11,True,,,4,"[5.0096353797230435, 6.358233491915693, 0.0057650163957781875, -0.39988679668260874, -0.24702091439326007, -0.02552239903773279]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""bulge_pull"", ""distance_pull"", ""inclination_pull""]"
NGC4183,core,all_0.10,False,23,23,0,5,6.427561014226984,0.279459174531608,20.940987682740857,27.368548696967842,19.525330224845064,150.72817930072603,24.766832861585357,150.60811410620107,1.2984635871526577,0.7,1.2684462990577607,22.832033383039693,82.3318436830948,4.144597708688838,0.0,1.9328133532158782,0.1659218415474009,False,False,4.144597708688838,True,1.3766174165658073e-05,8,8,6.390976636794221e-11,True,,,4,"[2.9717126085069308, 5.015478077539811, 4.144597708688838, 1.9328133532158782, 0.1659218415474009]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
NGC4183,nfw,all_0.10,False,23,23,0,5,3.531809275372266,0.15355692501618548,0.011593170759745289,3.5434024461320113,8.496510989788854,203.69358865915038,8.451764968746238,203.69625402807685,0.5117335275974433,0.7,0.9947336005218621,17.905204809393517,81.99466725755329,0.1007386753849059,0.0,-0.03791807624259319,-0.00266637122335463,False,False,0.1007386753849059,True,1.6111590140861635e-06,8,8,5.218048215738236e-13,True,,,4,"[2.139655607440119, 5.316616848310088, 0.1007386753849059, -0.03791807624259319, -0.00266637122335463]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
NGC4217,core,all_0.10,False,19,19,0,6,18.603844034258554,0.9791496860136081,16.800496152783236,35.40434018704179,3.918746840359951,193.9767614422024,2.2851442255214347,194.00729852019052,0.48752093769605354,0.36833991360300505,0.5831313730160573,10.496364714289031,85.87304154184741,-0.10976732136141064,-2.788492581174564,-3.001454114284387,-0.063479229076294,False,False,3.001454114284387,True,0.00011947250931249388,8,7,208.90262900061646,True,,,4,"[1.365771919111037, 5.267738365507967, -0.10976732136141064, -2.788492581174564, -3.001454114284387, -0.063479229076294]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""bulge_pull"", ""distance_pull"", ""inclination_pull""]"
NGC4217,nfw,all_0.10,False,19,19,0,6,47.18546373225488,2.483445459592362,26.83981895521169,74.02528268746657,24.077706527788887,404.2797431556079,18.74790672404006,404.3242438856637,0.8326994173555342,0.253950887690176,0.7786417158296399,14.015550884933518,85.91081142194831,2.2151825644409366,-4.403483047623346,-1.5937796460265927,-0.04459428902584607,False,False,4.403483047623346,True,0.0006923925836185796,8,8,2.5299328854089254e-08,True,,,4,"[3.181286372042048, 6.00210707189313, 2.2151825644409366, -4.403483047623346, -1.5937796460265927, -0.04459428902584607]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""bulge_pull"", ""distance_pull"", ""inclination_pull""]"
NGC4559,core,all_0.10,False,32,32,0,5,2.8349149268193226,0.08859109146310383,0.40839045475085556,3.243305381570178,6.281980709804008,111.5091271309798,7.11937367506676,111.48861995367038,0.5556901877455477,0.7,1.1333007858422535,10.199707072580281,67.02484093356964,0.45862723841141984,0.0,0.44433595280751137,0.024840933569639304,False,False,0.45862723841141984,True,5.202250045328915e-06,8,6,160.2048316464835,True,,,1,"[1.8376853304024132, 4.714106445226966, 0.45862723841141984, 0.44433595280751137, 0.024840933569639304]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
NGC4559,nfw,all_0.10,False,32,32,0,5,6.51651593271121,0.2036411228972253,1.3394764576263563,7.8559923903375655,13.708622895986807,242.23754196611566,9.424319158141698,242.3011933331911,0.44532176295401305,0.7,0.6874738060597365,6.187264254537629,66.96456710270566,-0.5029608463734693,0.0,-1.041753979800878,-0.03543289729434757,False,False,1.041753979800878,True,0.00047079598748791564,8,8,8.016511898745193e-10,True,,,1,"[2.618025043305836, 5.489918823096032, -0.5029608463734693, -1.041753979800878, -0.03543289729434757]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]"
NGC5005,core,all_0.10,False,18,18,0,6,1.4024988727590624,0.07791660404217013,0.6754996576738745,2.0779985304329367,4.442962979423684,191.23398911907697,4.345167095807049,191.44442267647648,0.522894510276045,0.5882870773821637,0.9779885891308236,16.528007156310917,67.84464293387748,0.19444077980659044,-0.755087314589675,-0.24799522912605293,-0.07767853306125926,False,False,0.755087314589675,True,2.965225019586055e-05,8,6,11.370221135480357,True,,,5,"[1.4913214915813764, 5.253497752177745, 0.19444077980659044, -0.755087314589675, -0.24799522912605293, -0.07767853306125926]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""bulge_pull"", ""distance_pull"", ""inclination_pull""]"
NGC5005,nfw,all_0.10,False,18,18,0,6,1.2187052328105497,0.06770584626725276,1.0499682778141812,2.2686735106247307,1040.6792354668084,2404.528203813646,1004.779074230634,2408.64978858056,0.5064144252923808,0.5639256291481515,0.9655031444726857,16.317003141588387,67.7585949573689,0.05536063794237034,-0.938762072725361,-0.38866457227440826,-0.12070252131554805,False,False,0.938762072725361,True,1.7137394128737e-05,8,7,11.179546147439282,True,,,5,"[6.947628889977007, 7.785108990244953, 0.05536063794237034, -0.938762072725361, -0.38866457227440826, -0.12070252131554805]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""bulge_pull"", ""distance_pull"", ""inclination_pull""]"
NGC5033,core,all_0.10,False,22,22,0,6,67.33259512356933,3.060572505616788,8.31031610779183,75.64291123136117,8.94676333791687,204.3024601006938,8.566208991097927,204.31368010961592,0.8362371178637038,0.4606889686740684,0.9574645788152087,15.032193887398776,65.99293397600648,2.2335943623501677,-1.8169022693965124,-0.1420864069364303,-0.0070660239935232795,False,False,2.2335943623501677,True,0.0020628328496596388,8,7,1306.701086424576,True,,,1,"[2.191291828658314, 5.319601543359955, 2.2335943623501677, -1.8169022693965124, -0.1420864069364303, -0.0070660239935232795]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""bulge_pull"", ""distance_pull"", ""inclination_pull""]"
