galaxy,model,epsilon,analysis,holdout,n,n_outer,T,D,e_D,distance_method,inc,e_inc,L36,Rdisk,MHI,RHI,Vflat,Q,morphology,morphology_alt,Rmax_kpc,Rmin_kpc,coverage,median_speed,baryon_fraction_outer_nominal,quality2,raw_residual_kms_mean,raw_residual_kms_median,fractional_error_mean,fractional_error_median,fractional_residual_mean,standardized_residual_mean,outer_loss,predicted_outer_slope,observed_outer_slope,nuisance_bound_hit,scale_bound_hit,eta_bound_hit,eta_boundary,guard_active,maximum_abs_pull,ml_disk,ml_bulge,distance_ratio,fitted_inclination,eta,length_catalogue_kpc,amplitude_catalogue_kms,slope_residual,log10_coverage,log10_speed
UGC07577,fixed_core,0.01,outer_holdout,True,9,2,10,2.59,0.13,2,63.0,3.0,0.045,0.9,0.044,2.07,0.0,2,irregular_T10_11,late_T8_11,1.69,0.19,1.8777777777777778,10.7,0.6283380799810133,1,-4.012738158917421,-4.012738158917421,0.18873047841141966,0.18873047841141966,-0.23530596878736865,-1.2658479996584926,1.7167174715207596,-0.16869588782315134,1.0023128445965936,False,False,False,not applicable,False,0.1434827558041115,0.5167949722919478,0.7,1.0027991000953222,63.176985238674064,,0.1353799571923979,4.733134100263455,-1.171008732419745,0.2736441951743487,1.0293837776852097
UGC07603,fixed_core,0.01,outer_holdout,True,12,3,7,4.7,1.41,1,78.0,3.0,0.376,0.53,0.258,4.37,61.6,1,spiral_T1_9,spiral_T1_7,4.11,0.34,7.754716981132075,60.25,0.13732082370150345,0,-5.228784502254942,-5.303088322642758,0.046007045263905026,0.04587301587301588,-0.08264906198773274,-1.8092679938598415,3.8900468023562635,-0.28866941855925293,0.21721447661984408,False,False,False,not applicable,False,0.0127647108406716,0.5014717534619816,0.7,1.001992977552334,78.00148152926259,,0.9814264219568434,65.42647022852587,-0.505883895179097,0.8895659522752801,1.779957051246906
UGC08286,fixed_core,0.01,outer_holdout,True,17,4,6,6.5,0.21,2,90.0,3.0,1.255,1.05,0.642,8.07,82.4,1,spiral_T1_9,spiral_T1_7,8.04,0.47,7.657142857142856,79.3,0.15096830726675842,0,-12.080898292574624,-11.8751223200113,0.023955304790420594,0.02395240499357444,-0.1442138207522345,-6.027217531191292,37.53690309677445,-0.33952345899130837,0.06609657020885785,True,False,False,not applicable,False,0.4611017945828239,0.5560069033541631,0.7,1.0054282043868652,89.9999999999707,,1.4303051117698706,88.28367200005948,-0.4056200292001662,0.8840667496785131,1.8992731873176039
UGC08490,fixed_core,0.01,outer_holdout,True,30,6,9,4.65,0.53,2,50.0,3.0,1.017,0.67,0.72,7.8,78.6,1,spiral_T1_9,late_T8_11,10.15,0.34,15.149253731343283,78.5,0.12881128674338999,0,-4.471916091157432,-4.263756262471013,0.047544862704096746,0.04755154639175258,-0.057676829268244356,-1.2119013797174611,1.6008953636802208,-0.38016127286605833,-0.09711035129065844,False,False,False,not applicable,False,3.9094118297612384,1.2300172080836032,0.7,1.1906349965509078,53.98946122183845,,2.2607309786941028,78.94562440431106,-0.2830509215753999,1.1803912395484053,1.8948696567452525
UGC08550,fixed_core,0.01,outer_holdout,True,11,3,7,6.7,2.0,1,90.0,3.0,0.289,0.45,0.288,5.59,56.9,1,spiral_T1_9,spiral_T1_7,5.36,0.49,11.911111111111111,51.6,0.16223941297927502,0,-2.791955801590497,-3.031479896026866,0.03614698263892444,0.034904013961605584,-0.048501896847346564,-1.3384936151018882,1.8306450085759316,-0.007934382472761103,-0.02725535751500591,True,False,False,not applicable,False,2.4970298797866617,0.8885318343020295,0.7,1.5959726377324697,90.0,,1.4374147905060348,52.71665497612504,0.01932097504224481,1.0759522759174263,1.7126497016272113
UGC08699,fixed_core,0.01,outer_holdout,True,41,9,2,39.3,9.82,1,73.0,9.0,50.302,3.09,3.738,19.05,182.4,2,spiral_T1_9,spiral_T1_7,25.7,0.22,8.31715210355987,184.0,0.37627120585364277,1,-26.866353548898815,-25.60848525051452,0.031855544279108076,0.03463276836158192,-0.14877814340902154,-4.902501603812198,35.39307681357392,-0.43408689113459803,-0.003013161443096242,False,False,False,not applicable,False,1.881189873650408,0.7710614518232743,0.5545930292230126,1.1953640542711703,75.69634708894175,,3.7803117565478574,125.93316144588944,-0.43107372969150176,0.9199746439064599,2.2648178230095364
UGC08837,fixed_core,0.01,outer_holdout,True,8,2,10,7.21,0.36,2,80.0,5.0,0.501,1.72,0.32,4.75,0.0,2,irregular_T10_11,late_T8_11,4.2,0.52,2.4418604651162794,31.7,0.3679550297458085,1,0.7432660004530902,0.7432660004530902,0.06504828326180256,0.06504828326180256,0.015126958422916885,0.25682806614574116,0.4500350665583688,0.8154167558834045,0.22395454854037516,False,True,False,not applicable,False,0.2997502602492168,0.466653984425598,0.7,0.9972416855603212,79.8272287956346,,583.1607526368275,9999.999999987149,0.5914622073430293,0.38772084349035163,1.5010592622177514
UGC09037,fixed_core,0.01,outer_holdout,True,22,5,6,83.6,8.4,1,65.0,5.0,68.614,4.28,19.078,39.72,152.3,2,spiral_T1_9,spiral_T1_7,27.96,2.43,6.5327102803738315,147.0,0.4319028865034747,1,-2.306745254864461,-3.933009696431867,0.08940179801534784,0.08933333333333333,-0.014391382974031142,-0.26169467248644124,0.1606531989830894,-0.20527197405237788,-0.3006119024640184,False,False,False,not applicable,False,1.6208413606777512,0.3442594481717513,0.7,0.9177658457078316,61.45071884599294,,7.0773072080917006,149.3996889657136,0.09533992841164055,0.8150933980604718,2.167317334748176
UGC09133,fixed_core,0.01,outer_holdout,True,68,14,2,57.1,11.4,1,53.0,6.0,282.926,6.97,33.428,60.35,226.8,1,spiral_T1_9,spiral_T1_7,108.31,0.32,15.53945480631277,279.0,0.23580249890422966,0,15.986840872866383,18.646881932710983,0.012392814798643279,0.013127753303964757,0.07054977811683882,8.093665847194787,99.6782732856102,-0.05454487408427761,-0.12225861669749806,False,False,False,not applicable,False,5.247770025464547,0.5310363596704846,0.2090841143144454,1.6292395716880073,66.8311845567057,,33.20204351935783,235.39648101011525,0.06771374261322044,1.1914357777362312,2.4456042032735974
UGC11455,fixed_core,0.01,outer_holdout,True,36,8,6,78.6,11.8,1,90.0,1.0,374.322,5.93,13.335,43.44,269.4,1,spiral_T1_9,spiral_T1_7,41.93,0.62,7.070826306913997,262.5,0.4795965716731458,0,-37.01531218196424,-38.006066201377934,0.023936067527881473,0.022876800157822057,-0.13699278939513976,-5.783147204250736,41.059539545090594,-0.5149126379210742,0.004967860275470333,True,False,False,not applicable,False,1.4877652135154051,0.3549714977310564,0.7,0.8359422260991201,89.99999999992187,,6.209607519395016,271.37633925884165,-0.5198804981965446,0.8494701690393056,2.4191293077419758
