galaxy,model,holdout,n,n_train,n_test,chi2_data,chi2_data_per_row,prior_penalty,objective,eta,physical_length_kpc,physical_amplitude_kms,length_catalogue_kpc,amplitude_catalogue_kms,ml_disk,ml_bulge,distance_ratio,inclination_deg,maximum_abs_pull,nuisance_bound_hit,train_admissible,holdout_admissible,holdout_chi2,holdout_chi2_per_row,minimum_training_v2,minimum_test_v2,nuisance_parameters_json,n_parameters,success,optimality,eta_bound_hit,eta_boundary,scale_bound_hit,parameters_json,guard_epsilon,gradient_ratio,contact_ratio,potential_depth_ratio,guard_active,original_admissible,original_objective,objective_increase,original_gradient_ratio,original_contact_ratio,original_potential_depth_ratio,selected_candidate,constrained_starts,trial_records_json
F583-4,guarded_free_family,False,12,12,0,7.282765853158089,0.6068971544298408,1.6565136434438141,8.939279496601904,5.139186988749748e-30,3.153569063828221,64.32271045887424,2.777382917802236,69.37312885694675,0.6064222694322461,0.7,1.135446266200724,62.063738105066214,0.8380513702471315,False,True,True,,,35.368460443439496,,"{""disk_pull"": 0.8380513702471315, ""distance_pull"": 0.6746996250933266, ""inclination_pull"": 0.7063738105066213}",6,True,,True,lower,False,"[1.0215090878365756, 4.239499600271465, 5.139186988749748e-30, 0.8380513702471315, 0.6746996250933266, 0.7063738105066213]",0.001,4.6034906709424674e-08,2.3658199358938377e-37,6.1767919369391e-08,False,True,8.939279496601904,0.0,4.6034906709424674e-08,2.3658199358938377e-37,6.1767919369391e-08,admissible original,0,[]
IC2574,guarded_free_family,False,34,34,0,73.41550681773322,2.159279612286271,5.089019834562733,78.50452665229595,8.496642033543745e-11,9.180461857968933,100.97543518723755,8.886913461773561,102.69925631022443,0.8062325210193783,0.7,1.0330315353534216,79.23938083667973,2.0749030798064645,False,True,True,,,111.3206269929558,,"{""disk_pull"": 2.0749030798064645, ""distance_pull"": 0.6457665161593931, ""inclination_pull"": 0.6056258338113905}",6,True,,True,lower,False,"[2.1845797970892087, 4.631804875527811, 8.496642033182779e-11, 2.0749030798064645, 0.6457665161593931, 0.6056258338113905]",0.001,1.1344622821069403e-07,9.63911991161979e-18,1.5221791414654837e-07,False,True,78.50452665229595,0.0,1.1344622821069403e-07,9.63911991161979e-18,1.5221791414654837e-07,admissible original,0,[]
IC4202,guarded_free_family,False,32,32,0,286.8527429338319,8.964148216682247,61.292022302069675,348.14476523590156,766.7895111686067,0.06117349333408437,5.556052973086685,0.07707582479196803,5.556052973086685,1.4362808112412362,0.1758320502056706,0.7936793864897982,89.99999999999218,5.999999999999999,True,True,True,,,4016.2017938161553,,"{""disk_pull"": 4.582693539894065, ""bulge_pull"": -5.999999999999999, ""distance_pull"": -2.0714589596424267, ""inclination_pull"": -7.812500001858892e-12}",7,True,,False,none,False,"[-2.562965604106388, 1.7148879592394972, 6.64351562158332, 4.582693539894065, -5.999999999999999, -2.0714589596424267, -7.812500001858892e-12]",0.001,3.434720085077249e-10,2.6337073350373787e-07,5.267414337495153e-07,False,True,348.14476523590156,0.0,3.434720085077249e-10,2.6337073350373787e-07,5.267414337495153e-07,admissible original,0,[]
KK98-251,guarded_free_family,False,15,15,0,2.523798160668896,0.16825321071125973,0.0035881932432771453,2.5273863539121733,4.068334342493129,0.6076549908249257,14.057995003148617,0.6049376602259494,14.061865170378695,0.4933939665799282,0.7,1.0044919183870307,59.026261584767184,0.057761698776097416,False,True,True,,,18.837170304392853,,"{""disk_pull"": -0.057761698776097416, ""distance_pull"": 0.01497306129010257, ""inclination_pull"": 0.005252316953437159}",6,True,,False,none,False,"[-0.5026298672092228, 2.643466535505906, 1.623012231571977, -0.057761698776097416, 0.01497306129010257, 0.005252316953437159]",0.001,2.198899413145108e-09,8.945857998186232e-09,1.809330498963511e-08,False,True,2.5273863539121733,0.0,2.198899413145108e-09,8.945857998186232e-09,1.809330498963511e-08,admissible original,0,[]
NGC0024,guarded_free_family,False,29,29,0,9.752458425151872,0.33629166983282316,32.87161590837058,42.62407433352245,1.738921308348193e-13,7.115038277773732,127.7913513044639,6.739555094290224,131.0662467221192,1.7819166718173018,0.7,1.0557133487641668,67.19470658900728,5.519173868260738,False,True,True,,,689.0163776190036,,"{""disk_pull"": 5.519173868260738, ""distance_pull"": 1.1297429054956054, ""inclination_pull"": 1.0649021963357597}",6,True,,True,lower,False,"[1.9079939129962513, 4.875702895546762, 1.738921308348042e-13, 5.519173868260738, 1.1297429054956054, 1.0649021963357597]",0.001,1.817027579320687e-07,3.1596679755370786e-20,2.438019777467566e-07,False,True,42.62407433352245,0.0,1.817027579320687e-07,3.1596679755370786e-20,2.438019777467566e-07,admissible original,0,[]
NGC0055,guarded_free_family,False,21,21,0,2.2958417825321376,0.10932579916819703,0.0489228257772279,2.3447646083093656,0.08457122596427448,4.373531993131776,92.10248800059014,4.385446101178298,92.07542563380765,0.476004727268247,0.7,0.9972832620053589,76.9272788214589,0.21358738556030543,False,True,True,,,762.6327390433769,,"{""disk_pull"": -0.21358738556030543, ""distance_pull"": -0.052111974260843553, ""inclination_pull"": -0.024240392847033655}",6,True,,False,none,False,"[1.4782913540996607, 4.5226080850063815, 0.08118472544380302, -0.21358738556030543, -0.052111974260843553, -0.024240392847033655]",0.001,9.438463884927322e-08,7.982224619678324e-09,1.3333454179834102e-07,False,True,2.3447646083093656,0.0,9.438463884927322e-08,7.982224619678324e-09,1.3333454179834102e-07,admissible original,0,[]
NGC0100,guarded_free_family,False,21,21,0,2.6748516200877424,0.12737388667084487,0.33720696704100533,3.0120585871287475,2.6195051624261862e-24,3.946595182821157,100.24382365103817,3.483740139181665,100.2438547180341,0.5451667516425508,0.7,1.132861529605425,89.00101780328342,0.4428717653514163,False,True,True,,,71.49678766239761,,"{""disk_pull"": 0.375593570993969, ""distance_pull"": 0.4428717653514163, ""inclination_pull"": 0.0010178032834199464}",6,True,,True,lower,False,"[1.2481064692916555, 4.607605764737051, 2.6195051624261862e-24, 0.375593570993969, 0.4428717653514163, 0.0010178032834199464]",0.001,1.1180824787350723e-07,2.9288228250647886e-31,1.5002013326704074e-07,False,True,3.0120585871287475,0.0,1.1180824787350723e-07,2.9288228250647886e-31,1.5002013326704074e-07,admissible original,0,[]
NGC0247,guarded_free_family,False,26,26,0,43.56881794418288,1.675723767083957,41.982712220775895,85.55153016495878,999.9808726248559,35.96037213514164,211.98731249753618,32.34117250963161,215.1620070966575,1.9905358527674866,0.7,1.1119068773536946,77.33206526638675,6.0,True,True,True,,,1148.3338878515851,,"{""disk_pull"": 6.0, ""distance_pull"": 2.1792391905719475, ""inclination_pull"": 1.1106884221289142}",6,True,,True,upper,False,"[3.4763411092008174, 5.371391265752765, 6.908735670865778, 6.0, 2.1792391905719475, 1.1106884221289142]",0.001,5.000095879624125e-07,0.0005000000240914479,0.0009999999999999471,True,False,85.55138402676086,0.00014613819791975402,0.0010495499398326684,1.0489010043017197,2.097801907419847,constrained optimum,6,"[{""objective"": 85.55153016495878, ""feasible"": true, ""success"": true, ""iterations"": 13, ""message"": ""Optimization terminated successfully""}, {""objective"": 85.55153053528693, ""feasible"": true, ""success"": true, ""iterations"": 42, ""message"": ""Optimization terminated successfully""}, {""objective"": 85.55153057617773, ""feasible"": true, ""success"": true, ""iterations"": 32, ""message"": ""Optimization terminated successfully""}, {""objective"": 85.55153110822906, ""feasible"": true, ""success"": true, ""iterations"": 37, ""message"": ""Optimization terminated successfully""}, {""objective"": 85.55153019257072, ""feasible"": true, ""success"": true, ""iterations"": 13, ""message"": ""Optimization terminated successfully""}, {""objective"": 85.55153016495902, ""feasible"": true, ""success"": true, ""iterations"": 22, ""message"": ""Optimization terminated successfully""}]"
NGC0289,guarded_free_family,False,28,28,0,49.41581380890464,1.7648504931751656,3.2050649222367262,52.62087873114136,3.0978050514665855e-13,22.78569467702958,165.9499619875748,17.904242983752233,176.87199375892672,0.6538465971896561,0.7,1.2726421718978664,50.05697928206328,1.1650586354678152,False,True,True,,,23871.666935220564,,"{""disk_pull"": 1.1650586354678152, ""distance_pull"": 1.0905686875914657, ""inclination_pull"": 0.8113958564126558}",6,True,,True,lower,False,"[2.885037722956043, 5.175426271837099, 3.0978050514661054e-13, 1.1650586354678152, 1.0905686875914657, 0.8113958564126558]",0.001,3.0641703697756243e-07,9.492202450045164e-20,4.1113894186661776e-07,False,True,52.62087873114136,0.0,3.0641703697756243e-07,9.492202450045164e-20,4.1113894186661776e-07,admissible original,0,[]
NGC0300,guarded_free_family,False,25,25,0,13.887290517958888,0.5554916207183556,5.876323476174042,19.763613994132932,4.425539447300354e-17,4.368427563141438,82.6155821885604,4.307731006522227,102.78945522049749,0.779948833311834,0.7,1.0140901454912834,56.35903825472653,1.9309610843240614,False,True,True,,,1371.7924934769576,,"{""disk_pull"": 1.9309610843240614, ""distance_pull"": 0.29307502621869286, ""inclination_pull"": 1.435903825472653}",6,True,,True,lower,False,"[1.460411316890205, 4.632682772083726, 4.425539447300354e-17, 1.9309610843240614, 0.29307502621869286, 1.435903825472653]",0.001,7.594208725392436e-08,3.3608470285256765e-24,1.0189625780828002e-07,False,True,19.763613994132932,0.0,7.594208725392436e-08,3.3608470285256765e-24,1.0189625780828002e-07,admissible original,0,[]
