tau,z,D_to_reference,ergotropy_over_kBT,ergotropy_sorted_over_kBT,spectral_mismatch
1.1000000000000001e+00,4.2891130987979686e-01,1.3473523499781243e-01,4.7261764121652790e-02,4.7261764121652616e-02,8.7473470876159698e-02
1.1099999999999999e+00,4.3136249595072051e-01,1.3744379846031665e-01,5.1268755793214153e-02,5.1268755793214327e-02,8.6175042667102547e-02
1.1200000000000001e+00,4.3381704917058894e-01,1.4018062805817860e-01,5.5281251795082580e-02,5.5281251795082476e-02,8.4899376263095960e-02
1.1299999999999999e+00,4.3627485350655054e-01,1.4294566059688316e-01,5.9299062446566290e-02,5.9299062446566353e-02,8.3646598150316914e-02
1.1400000000000001e+00,4.3873579229265203e-01,1.4573882868237625e-01,6.3321997032032187e-02,6.3321997032031785e-02,8.2416831650344108e-02
1.1499999999999999e+00,4.4119974825135611e-01,1.4856006072037981e-01,6.7349863836081297e-02,6.7349863836080992e-02,8.1210196884298508e-02
1.1600000000000001e+00,4.4366660351531167e-01,1.5140928091707351e-01,7.1382470179137264e-02,7.1382470179137014e-02,8.0026810737936271e-02
1.1699999999999999e+00,4.4613623964936489e-01,1.5428640928114340e-01,7.5419622453427579e-02,7.5419622453427593e-02,7.8866786827715751e-02
1.1800000000000002e+00,4.4860853767280717e-01,1.5719136162721423e-01,7.9461126159353052e-02,7.9461126159352524e-02,7.7730235467861314e-02
1.1899999999999999e+00,4.5108337808184656e-01,1.6012404958065352e-01,8.3506785942221939e-02,8.3506785942222272e-02,7.6617263638431438e-02
1.2000000000000002e+00,4.5356064087229880e-01,1.6308438058376562e-01,8.7556405629343678e-02,8.7556405629343415e-02,7.5527974954422067e-02
1.2100000000000000e+00,4.5604020556248348e-01,1.6607225790336558e-01,9.1609788267457026e-02,9.1609788267456693e-02,7.4462469635908551e-02
1.2200000000000002e+00,4.5852195121632211e-01,1.6908758063974366e-01,9.5666736160489763e-02,9.5666736160489929e-02,7.3420844479253761e-02
1.2300000000000000e+00,4.6100575646662395e-01,1.7213024373701485e-01,9.9727050907623405e-02,9.9727050907623349e-02,7.2403192829391450e-02
1.2400000000000002e+00,4.6349149953855256e-01,1.7520013799485523e-01,1.0379053344165473e-01,1.0379053344165490e-01,7.1409604553200390e-02
1.2500000000000000e+00,4.6597905827326364e-01,1.7829715008162639e-01,1.0785698406763722e-01,1.0785698406763733e-01,7.0440166013989086e-02
1.2600000000000002e+00,4.6846831015170393e-01,1.8142116254888202e-01,1.1192620250178487e-01,1.1192620250178487e-01,6.9494960047097126e-02
