BKM_distance,sharp_bound,local_distance_squared,symmetric_cycle_direct,asymmetric_cycle_direct,symmetric_z0,symmetric_z1,asymmetric_z0,asymmetric_z1
6.4500000000000002e-01,4.1612808454709144e-01,4.1602500000000003e-01,4.1612808454709072e-01,4.4025559028387917e-01,3.4153066816531624e-01,6.5846933183468370e-01,7.6190069847797648e-01,9.6534735148810524e-01
6.5249999999999997e-01,4.2586681885879030e-01,4.2575624999999995e-01,4.2586681885878974e-01,4.5094152901340578e-01,3.3975345025170844e-01,6.6024654974829133e-01,7.5918015365329738e-01,9.6555281772167323e-01
6.5999999999999992e-01,4.3571850365329362e-01,4.3559999999999988e-01,4.3571850365329423e-01,4.6176452180967864e-01,3.3797848580256584e-01,6.6202151419743416e-01,7.5644907562085917e-01,9.6575769474001827e-01
6.6749999999999998e-01,4.4568316065787533e-01,4.4555624999999999e-01,4.4568316065787617e-01,4.7272484239011359e-01,3.3620579977829657e-01,6.6379420022170355e-01,7.5370757537300426e-01,9.6596198228384311e-01
6.7499999999999993e-01,4.5576081240099836e-01,4.5562499999999989e-01,4.5576081240099731e-01,4.8382276211660180e-01,3.3443541710726860e-01,6.6556458289273135e-01,7.5095576432563904e-01,9.6616568009459625e-01
6.8250000000000000e-01,4.6595148223355842e-01,4.6580624999999998e-01,4.6595148223355887e-01,4.9505854998596366e-01,3.3266736268545910e-01,6.6733263731454084e-01,7.4819375431370505e-01,9.6636878791447289e-01
6.8999999999999995e-01,4.7625519435051578e-01,4.7609999999999991e-01,4.7625519435051666e-01,5.0643247262169488e-01,3.3090166137610438e-01,6.6909833862389556e-01,7.4542165758663592e-01,9.6657130548641446e-01
6.9750000000000001e-01,4.8667197381292243e-01,4.8650625000000003e-01,4.8667197381292215e-01,5.1794479426704498e-01,3.2913833800934988e-01,6.7086166199065012e-01,7.4263958680379316e-01,9.6677323255410985e-01
7.0499999999999996e-01,4.9720184657035177e-01,4.9702499999999994e-01,4.9720184657035249e-01,5.2959577677935066e-01,3.2737741738190135e-01,6.7262258261809860e-01,7.3984765502988947e-01,9.6697456886199529e-01
7.1250000000000002e-01,5.0784483948373615e-01,5.0765625000000003e-01,5.0784483948373627e-01,5.4138567962560114e-01,3.2561892425667621e-01,6.7438107574332384e-01,7.3704597573039288e-01,9.6717531415525426e-01
7.1999999999999997e-01,5.1860098034861868e-01,5.1839999999999997e-01,5.1860098034861934e-01,5.5331475987927980e-01,3.2386288336245500e-01,6.7613711663754494e-01,7.3423466276691518e-01,9.6737546817981823e-01
7.2749999999999992e-01,5.2947029791882949e-01,5.2925624999999987e-01,5.2947029791882994e-01,5.6538327221840667e-01,3.2210931939353382e-01,6.7789068060646618e-01,7.3141383039258556e-01,9.6757503068236816e-01
7.3499999999999999e-01,5.4045282193058664e-01,5.4022499999999996e-01,5.4045282193058730e-01,5.7759146892472302e-01,3.2035825700937715e-01,6.7964174299062285e-01,7.2858359324740696e-01,9.6777400141033199e-01
7.4249999999999994e-01,5.5154858312703647e-01,5.5130624999999989e-01,5.5154858312703592e-01,5.8993959988416567e-01,3.1860972083427103e-01,6.8139027916572903e-01,7.2574406635359556e-01,9.6797238011188802e-01
7.5000000000000000e-01,5.6275761328323559e-01,5.6250000000000000e-01,5.6275761328323615e-01,6.0242791258839112e-01,3.1686373545697621e-01,6.8313626454302379e-01,7.2289536511090857e-01,9.6817016653596266e-01
7.5749999999999995e-01,5.7407994523158401e-01,5.7380624999999996e-01,5.7407994523158301e-01,6.1505665213755112e-01,3.1512032543038365e-01,6.8487967456961629e-01,7.2003760529195271e-01,9.6836736043223282e-01
7.6500000000000001e-01,5.8551561288771647e-01,5.8522500000000000e-01,5.8551561288771747e-01,6.2782606124413487e-01,3.1337951527116792e-01,6.8662048472883197e-01,7.1717090303747988e-01,9.6856396155112501e-01
7.7249999999999996e-01,5.9706465127686015e-01,5.9675624999999999e-01,5.9706465127686004e-01,6.4073638023798640e-01,3.1164132945944339e-01,6.8835867054055655e-01,7.1429537485166694e-01,9.6875996964381605e-01
7.8000000000000003e-01,6.0872709656066692e-01,6.0840000000000005e-01,6.0872709656066837e-01,6.5378784707241167e-01,3.0990579243841920e-01,6.9009420756158080e-01,7.1141113759738039e-01,9.6895538446223284e-01
7.8749999999999998e-01,6.2050298606452703e-01,6.2015624999999996e-01,6.2050298606452703e-01,6.6698069733142784e-01,3.0817292861405621e-01,6.9182707138594357e-01,7.0851830849142838e-01,9.6915020575905397e-01
7.9499999999999993e-01,6.3239235830537499e-01,6.3202499999999984e-01,6.3239235830537632e-01,6.8031516423805716e-01,3.0644276235472351e-01,6.9355723764527655e-01,7.0561700509979564e-01,9.6934443328770825e-01
8.0249999999999999e-01,6.4439525301999567e-01,6.4400625000000000e-01,6.4439525301999634e-01,6.9379147866379309e-01,3.0471531799085527e-01,6.9528468200914451e-01,7.0270734533286516e-01,9.6953806680237709e-01
8.0999999999999994e-01,6.5651171119383545e-01,6.5609999999999991e-01,6.5651171119383633e-01,7.0740986913906134e-01,3.0299061981460967e-01,6.9700938018539016e-01,6.9978944744062888e-01,9.6973110605799273e-01
8.1750000000000000e-01,6.6874177509033383e-01,6.6830624999999999e-01,6.6874177509033528e-01,7.2117056186483630e-01,3.0126869207952639e-01,6.9873130792047355e-01,6.9686343000787887e-01,9.6992355081023995e-01
8.2499999999999996e-01,6.8108548828078208e-01,6.8062499999999992e-01,6.8108548828078241e-01,7.3507378072528695e-01,2.9954955900018571e-01,7.0045044099981424e-01,6.9392941194938962e-01,9.7011540081555603e-01
8.3250000000000002e-01,6.9354289567471505e-01,6.9305625000000004e-01,6.9354289567471561e-01,7.4911974730150277e-01,2.9783324475186829e-01,7.0216675524813166e-01,6.9098751250508494e-01,9.7030665583113052e-01
8.3999999999999997e-01,7.0611404355085072e-01,7.0559999999999989e-01,7.0611404355085083e-01,7.6330868088631565e-01,2.9611977347021490e-01,7.0388022652978510e-01,6.8803785123519212e-01,9.7049731561490649e-01
8.4749999999999992e-01,7.1879897958858685e-01,7.1825624999999982e-01,7.1879897958858674e-01,7.7764079850012013e-01,2.9440916925088723e-01,7.0559083074911266e-01,6.8508054801538232e-01,9.7068737992558018e-01
8.5499999999999998e-01,7.3159775290006024e-01,7.3102499999999992e-01,7.3159775290006035e-01,7.9211631490783141e-01,2.9270145614922893e-01,7.0729854385077096e-01,6.8211572303190016e-01,9.7087684852260159e-01
