galaxy,model,holdout,n,n_train,n_test,chi2_data,chi2_data_per_row,prior_penalty,objective,eta,physical_length_kpc,physical_amplitude_kms,length_catalogue_kpc,amplitude_catalogue_kms,ml_disk,ml_bulge,distance_ratio,inclination_deg,maximum_abs_pull,nuisance_bound_hit,train_admissible,holdout_admissible,holdout_chi2,holdout_chi2_per_row,minimum_training_v2,minimum_test_v2,nuisance_parameters_json,n_parameters,success,optimality,eta_bound_hit,eta_boundary,scale_bound_hit,parameters_json,guard_epsilon,gradient_ratio,contact_ratio,potential_depth_ratio,guard_active,original_admissible,original_objective,objective_increase,original_gradient_ratio,original_contact_ratio,original_potential_depth_ratio,selected_candidate,constrained_starts,trial_records_json
F583-4,guarded_free_family,False,12,12,0,7.282742772361143,0.6068952310300952,1.6565367253327636,8.939279497693907,2.583650160598129e-29,3.153581475136974,64.32269276032744,2.777391775422106,69.37313277810074,0.6064232959622535,0.7,1.1354471137431432,62.06377394175082,0.8380587218231359,False,True,True,,,35.36847564791216,,"{""disk_pull"": 0.8380587218231359, ""distance_pull"": 0.6747038469635078, ""inclination_pull"": 0.7063773941750817}",6,True,,True,lower,False,"[1.0215122770279863, 4.239499656794126, 2.583650160598129e-29, 0.8380587218231359, 0.6747038469635078, 0.7063773941750817]",0.001,4.603488137619997e-08,1.1893802866073487e-36,6.176788537821577e-08,False,True,8.939279497693907,0.0,4.603488137619997e-08,1.1893802866073487e-36,6.176788537821577e-08,admissible original,0,[]
IC2574,guarded_free_family,False,34,34,0,73.41550629354118,2.1592795968688585,5.089020358766772,78.50452665230796,8.408115993382933e-11,9.180462726584986,100.97544121970388,8.886914104441338,102.69926215431353,0.8062325250703093,0.7,1.0330315583895364,79.23937998136799,2.0749031016276756,False,True,True,,,111.32062773042134,,"{""disk_pull"": 2.0749031016276756, ""distance_pull"": 0.6457669665154367, ""inclination_pull"": 0.6056257116239988}",6,True,,True,lower,False,"[2.184579869405402, 4.631804932432692, 8.40811599302945e-11, 2.0749031016276756, 0.6457669665154367, 0.6056257116239988]",0.001,1.1344624176568533e-07,9.538691597792457e-18,1.5221793233404807e-07,False,True,78.50452665230796,0.0,1.1344624176568533e-07,9.538691597792457e-18,1.5221793233404807e-07,admissible original,0,[]
IC4202,guarded_free_family,False,32,32,0,286.8520635777599,8.964126986804997,61.29268374517161,348.1447473229315,7225.085434329471,0.0199284930103488,1.8100159279588057,0.02510918753981817,1.8100159279588057,1.436295619227007,0.17583205020571155,0.7936733507902707,89.99999999999609,5.999999999998988,True,True,True,,,4016.1911921073697,,"{""disk_pull"": 4.582738315214507, ""bulge_pull"": -5.999999999998988, ""distance_pull"": -2.071519558065683, ""inclination_pull"": -3.906249999796919e-12}",7,True,,False,none,False,"[-3.6845214623768054, 0.5933356452162555, 8.885452734821953, 4.582738315214507, -5.999999999998988, -2.071519558065683, -3.906249999796919e-12]",0.001,3.645217003443753e-11,2.633700427655158e-07,5.267400842146913e-07,False,True,348.1447473229315,0.0,3.645217003443753e-11,2.633700427655158e-07,5.267400842146913e-07,admissible original,0,[]
KK98-251,guarded_free_family,False,15,15,0,2.523798132354025,0.16825320882360165,0.003588224502698568,2.527386356856723,4.068154105180018,0.6076692119083851,14.058316179845512,0.6049516545588854,14.062186603020669,0.4933939647834024,0.7,1.00449218929979,59.02626272194127,0.057761714589449356,False,True,True,,,18.837166430210956,,"{""disk_pull"": -0.057761714589449356, ""distance_pull"": 0.014973964332633614, ""inclination_pull"": 0.005252544388253933}",6,True,,False,none,False,"[-0.5026067339642795, 2.643489393708883, 1.6229766694906782, -0.057761714589449356, 0.014973964332633614, 0.005252544388253933]",0.001,2.1989998888271213e-09,8.945870425022458e-09,1.809335035057479e-08,False,True,2.527386356856723,0.0,2.1989998888271213e-09,8.945870425022458e-09,1.809335035057479e-08,admissible original,0,[]
NGC0024,guarded_free_family,False,29,29,0,9.752458483896461,0.3362916718584987,32.8716158496263,42.62407433352276,1.8863931212149775e-13,7.115038194823269,127.79135182206358,6.739554995830168,131.06624581654307,1.7819167037379342,0.7,1.0557133518793773,67.19470509557924,5.519173946058733,False,True,True,,,689.0163769382593,,"{""disk_pull"": 5.519173946058733, ""distance_pull"": 1.1297429686651492, ""inclination_pull"": 1.0649016985264104}",6,True,,True,lower,False,"[1.90799389838697, 4.875702888637461, 1.8863931212147995e-13, 5.519173946058733, 1.1297429686651492, 1.0649016985264104]",0.001,1.8170275940398815e-07,3.427628354454633e-20,2.4380197972172536e-07,False,True,42.62407433352276,0.0,1.8170275940398815e-07,3.427628354454633e-20,2.4380197972172536e-07,admissible original,0,[]
NGC0055,guarded_free_family,False,21,21,0,2.2958412824533085,0.10932577535491945,0.048923618687272595,2.3447649011405813,0.08456645992067229,4.373537811962121,92.10263873999837,4.385452020268622,92.07557585907429,0.4760045388919389,0.7,0.9972832428102198,76.92727756234513,0.2135891042576763,False,True,True,,,762.6326967987934,,"{""disk_pull"": -0.2135891042576763, ""distance_pull"": -0.052112342458509396, ""inclination_pull"": -0.02424081255162706}",6,True,,False,none,False,"[1.4782927038109999, 4.522609716550771, 0.08118033103063761, -0.2135891042576763, -0.052112342458509396, -0.02424081255162706]",0.001,9.438494779850046e-08,7.981800905116636e-09,1.3333459840065698e-07,False,True,2.3447649011405813,0.0,9.438494779850046e-08,7.981800905116636e-09,1.3333459840065698e-07,admissible original,0,[]
NGC0100,guarded_free_family,False,21,21,0,2.674851355922754,0.1273738740915597,0.3372072312080356,3.0120585871307894,2.5865797755679623e-24,3.946595543115715,100.24382340384875,3.48374027281291,100.24385447899216,0.5451667661094968,0.7,1.1328615895722551,89.00101807034608,0.44287196524085065,False,True,True,,,71.49679102970515,,"{""disk_pull"": 0.37559368624154593, ""distance_pull"": 0.44287196524085065, ""inclination_pull"": 0.0010180703460765282}",6,True,,True,lower,False,"[1.2481065076502118, 4.6076057623524465, 2.5865797755679623e-24, 0.37559368624154593, 0.44287196524085065, 0.0010180703460765282]",0.001,1.1180824732209538e-07,2.892009512650327e-31,1.5002013252717691e-07,False,True,3.0120585871307894,0.0,1.1180824732209538e-07,2.892009512650327e-31,1.5002013252717691e-07,admissible original,0,[]
NGC0247,guarded_free_family,False,26,26,0,43.5688153288384,1.6757236664937845,41.98271483612211,85.55153016496051,99999.97111885042,3.5960039356769973,21.198531061484367,3.2340871627124543,21.51599729052965,1.9905358527674455,0.7,1.1119069322364832,77.33206250746804,5.99999999999991,True,True,True,,,1148.3339140064138,,"{""disk_pull"": 5.99999999999991, ""distance_pull"": 2.1792402593420417, ""inclination_pull"": 1.1106875024893437}",6,True,,True,upper,False,"[1.1737467127745413, 3.0687967184828255, 11.51293517611158, 5.99999999999991, 2.1792402593420417, 1.1106875024893437]",0.001,5.000001444178701e-09,0.0005000000000120805,0.0010000000000001607,True,False,85.55138395165719,0.00014621330332431626,0.0010800577057610461,107.92018583169971,215.8403716581835,constrained optimum,6,"[{""objective"": 85.55153016496051, ""feasible"": true, ""success"": true, ""iterations"": 12, ""message"": ""Optimization terminated successfully""}, {""objective"": 85.5515308497164, ""feasible"": true, ""success"": true, ""iterations"": 29, ""message"": ""Optimization terminated successfully""}, {""objective"": 85.55153028035673, ""feasible"": true, ""success"": true, ""iterations"": 29, ""message"": ""Optimization terminated successfully""}, {""objective"": 85.55153048526728, ""feasible"": true, ""success"": true, ""iterations"": 25, ""message"": ""Optimization terminated successfully""}, {""objective"": 85.55153019258005, ""feasible"": true, ""success"": true, ""iterations"": 9, ""message"": ""Optimization terminated successfully""}, {""objective"": 85.55153016496082, ""feasible"": true, ""success"": true, ""iterations"": 10, ""message"": ""Optimization terminated successfully""}]"
NGC0289,guarded_free_family,False,28,28,0,49.415814257269545,1.764850509188198,3.2050644738718694,52.62087873114142,2.148954119774423e-14,22.785687451480044,165.9499560205676,17.904242150318897,176.87199867979245,0.6538466708104573,0.7,1.2726418275723668,50.05698364580723,1.1650591244679278,False,True,True,,,23871.666540598,,"{""disk_pull"": 1.1650591244679278, ""distance_pull"": 1.090567310289467, ""inclination_pull"": 0.8113967291614457}",6,True,,True,lower,False,"[2.8850376764065544, 5.175426299658721, 2.1489541197743996e-14, 1.1650591244679278, 1.090567310289467, 0.8113967291614457]",0.001,3.064170149420934e-07,6.584761066287926e-21,4.111389123001764e-07,False,True,52.62087873114142,0.0,3.064170149420934e-07,6.584761066287926e-21,4.111389123001764e-07,admissible original,0,[]
NGC0300,guarded_free_family,False,25,25,0,13.887290758042873,0.5554916303217149,5.876323236080591,19.763613994123464,4.4186555291039446e-17,4.368427305468732,82.61558109274881,4.307730925247231,102.78945529000704,0.7799488291828391,0.7,1.0140901048080242,56.35903945502736,1.930961061332814,False,True,True,,,1371.7924781559082,,"{""disk_pull"": 1.930961061332814, ""distance_pull"": 0.29307418000690244, ""inclination_pull"": 1.435903945502736}",6,True,,True,lower,False,"[1.4604112980229649, 4.632682772759958, 4.4186555291039446e-17, 1.930961061332814, 0.29307418000690244, 1.435903945502736]",0.001,7.594208523933544e-08,3.3556191483447265e-24,1.0189625510517981e-07,False,True,19.763613994123464,0.0,7.594208523933544e-08,3.3556191483447265e-24,1.0189625510517981e-07,admissible original,0,[]
