galaxy,model,configuration,holdout,n,n_train,n_test,n_parameters,chi2_data,chi2_data_per_row,prior_penalty,objective,length_catalogue_kpc,amplitude_catalogue_kms,physical_length_kpc,physical_amplitude_kms,ml_disk,ml_bulge,distance_ratio,distance_Mpc,inclination_deg,disk_pull,bulge_pull,distance_pull,inclination_pull,halo_bound_hit,nuisance_bound_hit,maximum_abs_pull,success,optimality,n_starts,near_best_starts,restart_objective_spread,holdout_admissible,holdout_chi2,holdout_chi2_per_row,distance_method,parameters_json,parameter_names_json
NGC0024,nfw,fixed,False,29,29,0,2,25.142473783159456,0.8669818545917054,0.0,25.142473783159456,4.259937835880644,215.8997231453839,4.259937835880644,215.8997231453839,0.5,0.7,1.0,7.3,64.0,0.0,0.0,0.0,0.0,False,False,0.0,True,5.071104393640374e-06,8,8,1.2221335055073723e-12,True,,,2,"[1.4492545676585264, 5.374814055191935]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0055,core,fixed,False,21,21,0,2,2.4243526247935994,0.1154453630854095,0.0,2.4243526247935994,4.129672357831542,85.16866176647346,4.129672357831542,85.16866176647346,0.5,0.7,1.0,2.11,77.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.8016801897221204e-06,8,8,2.708944180085382e-14,True,,,2,"[1.418198071581794, 4.444633546530703]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0055,nfw,fixed,False,21,21,0,2,56.40452051742995,2.685929548449045,0.0,56.40452051742995,209.97004691886085,468.90639751059194,209.97004691886085,468.90639751059194,0.5,0.7,1.0,2.11,77.0,0.0,0.0,0.0,0.0,False,False,0.0,True,0.000540012042805436,8,8,4.508748929765716e-09,True,,,2,"[5.346964886824602, 6.150403169659093]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0100,core,fixed,False,21,21,0,2,4.089543746534703,0.19474017840641444,0.0,4.089543746534703,2.95111534649146,91.62541047656043,2.95111534649146,91.62541047656043,0.5,0.7,1.0,13.5,89.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.4877554157736243e-06,8,8,2.8101965199311962e-12,True,,,1,"[1.082183182452578, 4.517708640159241]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0100,nfw,fixed,False,21,21,0,2,14.345028774485261,0.6830966083088219,0.0,14.345028774485261,4999.999999019615,2825.697994545186,4999.999999019615,2825.697994545186,0.5,0.7,1.0,13.5,89.0,0.0,0.0,0.0,0.0,True,False,0.0,True,7.302411908506835e-08,8,8,1.4798828829043487e-11,True,,,1,"[8.51719319122016, 7.94651069077698]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0247,core,fixed,False,26,26,0,2,356.8916097668,13.726600375646154,0.0,356.8916097668,2.467243268722506,91.39056356428271,2.467243268722506,91.39056356428271,0.5,0.7,1.0,3.7,74.0,0.0,0.0,0.0,0.0,False,False,0.0,True,0.0014195652226737102,8,8,2.4787823349470273e-08,True,,,2,"[0.9031014418151709, 4.515142229850968]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0247,nfw,fixed,False,26,26,0,2,44.39268776366136,1.7074110678331291,0.0,44.39268776366136,22.31248105205135,229.5968005963199,22.31248105205135,229.5968005963199,0.5,0.7,1.0,3.7,74.0,0.0,0.0,0.0,0.0,False,False,0.0,True,7.026387450482462e-05,8,8,9.201528428093297e-12,True,,,2,"[3.1051462103317147, 5.436324729663305]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0289,core,fixed,False,28,28,0,2,171.07597963633538,6.1098564155834065,0.0,171.07597963633538,11.28899674657957,188.66288867014705,11.28899674657957,188.66288867014705,0.5,0.7,1.0,20.8,46.0,0.0,0.0,0.0,0.0,False,False,0.0,True,0.0005118541857692966,8,8,1.1155179890920408e-08,True,,,1,"[2.4238285120855134, 5.239961764618041]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0289,nfw,fixed,False,28,28,0,2,50.767436793847395,1.813122742637407,0.0,50.767436793847395,19.461021307281086,321.3938170213175,19.461021307281086,321.3938170213175,0.5,0.7,1.0,20.8,46.0,0.0,0.0,0.0,0.0,False,False,0.0,True,5.472911944352137e-06,8,8,8.142819751810748e-12,True,,,1,"[2.9684135577692516, 5.772667215474675]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0300,core,fixed,False,25,25,0,2,44.43290621842382,1.7773162487369527,0.0,44.43290621842382,2.8488462090087494,104.08389420745193,2.8488462090087494,104.08389420745193,0.5,0.7,1.0,2.08,42.0,0.0,0.0,0.0,0.0,False,False,0.0,True,1.0639301370799282e-05,8,8,1.3601919590655598e-10,True,,,2,"[1.0469140733668516, 4.645197249025559]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0300,nfw,fixed,False,25,25,0,2,14.88756609909615,0.595502643963846,0.0,14.88756609909615,20.195599036368698,232.28616111325712,20.195599036368698,232.28616111325712,0.5,0.7,1.0,2.08,42.0,0.0,0.0,0.0,0.0,False,False,0.0,True,2.3057053676583784e-05,8,8,9.72022462519817e-12,True,,,2,"[3.0054647111834565, 5.4479700646624005]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0801,core,fixed,False,13,13,0,2,178.35109115732922,13.71931470440994,0.0,178.35109115732922,16.27300017700786,194.5111295955537,16.27300017700786,194.5111295955537,0.5,0.7,1.0,80.7,80.0,0.0,0.0,0.0,0.0,False,False,0.0,True,0.00011418234963570277,8,8,3.389232006156817e-09,True,,,1,"[2.789507303555873, 5.27048938299238]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
NGC0801,nfw,fixed,False,13,13,0,2,83.97238614024002,6.459414318480001,0.0,83.97238614024002,28.065549853750404,348.9054112608146,28.065549853750404,348.9054112608146,0.5,0.7,1.0,80.7,80.0,0.0,0.0,0.0,0.0,False,False,0.0,True,4.657310491054657e-05,8,8,4.04331501613342e-09,True,,,1,"[3.3345428403544, 5.854800857561751]","[""log_L_catalogue"", ""log_excess_A_catalogue""]"
