galaxy,point_index,radius_kpc,observed_kms,sigma_kms,is_outer,is_training,training_edge_kpc,extended,valid_extended,fit_failed_extended,scalar_core,valid_scalar_core,fit_failed_scalar_core,compact_plummer,valid_compact_plummer,fit_failed_compact_plummer,nfw,valid_nfw,fit_failed_nfw,baryon_only,valid_baryon_only,fit_failed_baryon_only,adaptive_primary,valid_adaptive_primary,fit_failed_adaptive_primary,profiled_baryons,valid_profiled_baryons,fit_failed_profiled_baryons
IC2574,28,8.81,60.5,6.2,True,False,8.25,59.4318903884056,True,False,60.00482472872677,True,False,59.68180403936909,True,False,54.55586493739937,True,False,32.60576527960785,True,False,60.00482476711281,True,False,47.67067936066617,True,False
IC2574,29,9.1,61.0,5.7,True,False,8.25,60.33102137412477,True,False,60.9468310334978,True,False,60.60511252006742,True,False,55.32568484805655,True,False,32.8476333262541,True,False,60.94683107275171,True,False,47.86580226263063,True,False
IC2574,30,9.38,66.0,1.3,True,False,8.25,61.35589725199031,True,False,62.00881752107057,True,False,61.651258088071785,True,False,56.29955797132249,True,False,33.43859164086378,True,False,62.00881756099028,True,False,48.49157396451916,True,False
IC2574,31,9.670000000000002,65.2,3.4,True,False,8.25,62.645932638173406,True,False,63.331849820806006,True,False,62.96060532411824,True,False,57.658156475198055,True,False,34.53926529040839,True,False,63.33184986119621,True,False,49.653262301004766,True,False
IC2574,32,9.96,67.1,4.7,True,False,8.25,63.394534539235366,True,False,64.11631766773807,True,False,63.72957601668835,True,False,58.54957642907343,True,False,34.725415747184506,True,False,64.11631770886703,True,False,49.1956049699749,True,False
IC2574,33,10.23,67.5,9.3,True,False,8.25,64.30308780603649,True,False,65.05325429328406,True,False,64.65450097467641,True,False,59.71510109591299,True,False,35.34791028823367,True,False,65.05325433490073,True,False,49.1869566178291,True,False
IC4202,25,19.62,234.0,20.9,True,False,18.65,223.15265762545863,True,False,217.2560170869297,True,False,217.2560176766494,True,False,258.71959725552534,True,False,175.41117445445494,True,False,217.25601767664944,True,False,239.5203369571943,True,False
IC4202,26,20.78,249.0,10.0,True,False,18.65,218.7504510874889,True,False,212.41511644391835,True,False,212.415117013439,True,False,258.8604890024512,True,False,172.06237322043597,True,False,212.415117013439,True,False,234.70110531847675,True,False
IC4202,27,22.13,236.0,16.1,True,False,18.65,214.1546731307723,True,False,207.34393222241945,True,False,207.34393277029093,True,False,259.0134959842882,True,False,168.5908156221778,True,False,207.34393277029093,True,False,229.6094991769721,True,False
IC4202,28,23.0,245.0,22.1,True,False,18.65,211.143304708924,True,False,204.03394020607297,True,False,204.03394074177604,True,False,258.9376585382989,True,False,166.16914506968524,True,False,204.03394074177604,True,False,226.1315615700631,True,False
IC4202,29,23.58,243.0,4.2,True,False,18.65,209.20120310612043,True,False,201.89838544756776,True,False,201.8983859756224,True,False,258.84956892375016,True,False,164.5905616930538,True,False,201.8983859756224,True,False,223.87533608789,True,False
IC4202,30,25.03,238.0,7.76,True,False,18.65,203.8146998258293,True,False,196.0169319235163,True,False,196.0169324359084,True,False,258.1751070121813,True,False,159.81793171737823,True,False,196.0169324359084,True,False,217.31258746176096,True,False
IC4202,31,25.9,247.0,6.14,True,False,18.65,200.6741575651036,True,False,192.5866039947249,True,False,192.58660449872576,True,False,257.6824189397996,True,False,156.97580276727444,True,False,192.58660449872576,True,False,213.4484124084836,True,False
KK98-251,12,2.46,33.3,2.0,True,False,2.06,36.49533186868753,True,False,36.495331868700525,True,False,36.49533186868753,True,False,30.520823521171504,True,False,19.568954695493687,True,False,36.49533186870053,True,False,30.399614350230177,True,False
KK98-251,13,2.79,34.6,2.0,True,False,2.06,40.15068483350141,True,False,40.15068483351661,True,False,40.15068483350141,True,False,31.316654976117924,True,False,19.78480502937812,True,False,40.15068483351661,True,False,30.80245292595197,True,False
KK98-251,14,3.13,34.2,2.0,True,False,2.06,43.5823965142091,True,False,43.58239651422673,True,False,43.5823965142091,True,False,31.06321054148282,True,False,19.0567749258398,True,False,43.58239651422673,True,False,29.66734227435927,True,False
NGC0024,23,2.65,106.0,11.2,True,False,2.54,102.66349140673827,True,False,100.22680006504687,True,False,99.17878652193772,True,False,111.7155063120728,True,False,52.53007703207141,True,False,104.126979065329,True,False,101.92946824818478,True,False
NGC0024,24,2.76,107.0,11.2,True,False,2.54,102.37862370124644,True,False,99.58686114266548,True,False,98.5704217593822,True,False,113.42337838037456,True,False,52.66222979609427,True,False,104.56019124955364,True,False,101.87157035956984,True,False
NGC0024,25,7.07,104.0,3.11,True,False,2.54,84.74043938451209,True,False,71.53718564912805,True,False,71.59019420844459,True,False,158.46662362139452,True,False,45.4228148149712,True,False,103.31969759187808,True,False,80.05686531117354,True,False
NGC0024,26,8.49,106.0,2.55,True,False,2.54,80.7231303540754,True,False,65.39264370422475,True,False,65.50132669261329,True,False,168.74007823256989,True,False,41.625814215878215,True,False,100.9005232904803,True,False,72.72148577699328,True,False
NGC0024,27,9.91,109.0,4.95,True,False,2.54,77.33069447259068,True,False,60.19762160657356,True,False,60.33330661933908,True,False,177.85350626501895,True,False,38.0094682304869,True,False,98.3805607641842,True,False,66.42295391748256,True,False
NGC0024,28,11.27,110.0,2.83,True,False,2.54,74.65538199168378,True,False,56.067850630223326,True,False,56.216611112779134,True,False,185.7516879484858,True,False,35.036030355481344,True,False,96.0674392987716,True,False,61.533014831001125,True,False
