galaxy,point_index,radius_kpc,observed_kms,sigma_kms,is_outer,is_training,training_edge_kpc,model,predicted_kms,valid_prediction,fit_failed,failure_reason,conditioning,inclination_factor,distance_ratio,residual_kms,standardized_residual,squared_standardized_error
NGC2841,14,8.21,321.0,8.48,False,True,43.08,nfw,320.82374164811085,True,False,,inner_only_retrospective_prediction,0.9940603771945812,0.9863412549781828,-0.17625835188914607,-0.020785183005795526,0.00043202383258441116
NGC2841,14,8.21,321.0,8.48,False,True,43.08,profiled_baryons,394.3556119890853,True,False,,independently_profiled_baryons_inner_only_matched_priors,1.030581788302988,1.5957446808510638,73.35561198908528,8.650425942109113,74.82986897991434
NGC2841,14,8.21,321.0,8.48,False,True,43.08,scalar_core,324.67469187010687,True,False,,inner_only_retrospective_prediction,1.0231572754378635,1.1448896992038589,3.6746918701068694,0.4333363054371308,0.18778035360990233
NGC2841,15,8.57,323.0,8.66,False,True,43.08,adaptive_primary,326.2513387777733,True,False,,conditional_inner_validation_retrospective_prediction,1.0231572754378635,1.1448896992038589,3.2513387777732987,0.3754432768791338,0.14095765415374192
NGC2841,15,8.57,323.0,8.66,False,True,43.08,baryon_only,311.54076550230894,True,False,,conditional_ablation_of_inner_fitted_core_calibration,1.0231572754378635,1.1448896992038589,-11.459234497691057,-1.3232372399181358,1.750956793106166
NGC2841,15,8.57,323.0,8.66,False,True,43.08,compact_plummer,326.2925217491779,True,False,,inner_only_retrospective_prediction,1.0231572754378635,1.1448896992038589,3.292521749177922,0.38019881630230046,0.1445511399176704
NGC2841,15,8.57,323.0,8.66,False,True,43.08,extended,326.2625920447713,True,False,,inner_only_retrospective_prediction,1.0231572754378635,1.1448896992038589,3.2625920447712815,0.37674273034310407,0.14193508486637682
NGC2841,15,8.57,323.0,8.66,False,True,43.08,nfw,321.7229993692922,True,False,,inner_only_retrospective_prediction,0.9940603771945812,0.9863412549781828,-1.2770006307077892,-0.14745965712561077,0.02174435047960269
NGC2841,15,8.57,323.0,8.66,False,True,43.08,profiled_baryons,396.8975315557187,True,False,,independently_profiled_baryons_inner_only_matched_priors,1.030581788302988,1.5957446808510638,73.89753155571867,8.533202258166128,72.8155407787715
NGC2841,15,8.57,323.0,8.66,False,True,43.08,scalar_core,325.824492823081,True,False,,inner_only_retrospective_prediction,1.0231572754378635,1.1448896992038589,2.824492823081016,0.3261539056675538,0.10637637018219959
NGC2841,16,8.9,321.0,12.7,False,True,43.08,adaptive_primary,326.6456632806168,True,False,,conditional_inner_validation_retrospective_prediction,1.0231572754378635,1.1448896992038589,5.645663280616816,0.4445404157965997,0.19761618127661373
NGC2841,16,8.9,321.0,12.7,False,True,43.08,baryon_only,310.9201457297373,True,False,,conditional_ablation_of_inner_fitted_core_calibration,1.0231572754378635,1.1448896992038589,-10.079854270262672,-0.793689312619108,0.6299427249657922
NGC2841,16,8.9,321.0,12.7,False,True,43.08,compact_plummer,326.6758656229217,True,False,,inner_only_retrospective_prediction,1.0231572754378635,1.1448896992038589,5.6758656229217195,0.44691855298596217,0.19973619300306628
