galaxy,model,n_outer,valid,loss,rmse_kms
NGC0891,baryon_only,4,True,592.0415477916838,91.65363573981874
NGC0891,compact_plummer,4,True,2.024183703902788,6.008774592340712
NGC0891,extended,4,True,2.024183703902788,6.008774592340712
NGC0891,nfw,4,True,4.824140716684242,8.995335207112735
NGC0891,profiled_baryons,4,True,81.48031869815279,35.01684947839233
NGC0891,scalar_core,4,True,2.024183701741245,6.008774589418773
NGC1003,adaptive_primary,8,True,12.637488568235455,7.34195981990043
NGC1003,baryon_only,8,True,821.0354919783024,60.89936687172888
NGC1003,compact_plummer,8,True,12.637488564921654,7.341959818916822
NGC1003,extended,8,True,16.054568624414188,8.295768876978181
NGC1003,nfw,8,True,3.665998374462597,4.273343364290972
NGC1003,profiled_baryons,8,True,353.11124628546827,40.84035284366936
NGC1003,scalar_core,8,True,12.637490540462679,7.341960405302582
NGC1090,adaptive_primary,5,True,0.4089732062388286,1.4261075896667372
NGC1090,baryon_only,5,True,568.5506161223615,53.17278776700439
NGC1090,compact_plummer,5,True,0.6518640064028117,1.800459529520323
NGC1090,extended,5,True,1.2299596034347124,2.473149027438598
NGC1090,nfw,5,True,1.2075614409932258,2.4505269412751236
NGC1090,profiled_baryons,5,True,73.05027780005624,19.05968851980272
NGC1090,scalar_core,5,True,0.40897353495058564,1.4261081627828118
NGC2403,adaptive_primary,15,True,152.9993066235683,24.01203024688844
NGC2403,baryon_only,15,True,2116.5957411628287,68.2345845810499
NGC2403,compact_plummer,15,True,154.1176059387919,24.070760290154976
NGC2403,extended,15,True,152.999306623376,24.012030246878496
NGC2403,nfw,15,True,18.994552812426498,8.406788646514295
NGC2403,profiled_baryons,15,True,933.2367942009424,48.146941666118536
NGC2403,scalar_core,15,True,152.99930721671686,24.012030277591283
NGC2683,adaptive_primary,3,True,5.183807916541086,24.211464796183154
NGC2683,baryon_only,3,True,44.97940353403745,70.72700477340314
NGC2683,compact_plummer,3,True,5.4438664528379235,24.80359824954725
NGC2683,extended,3,True,3.001826924829444,18.37765371625653
NGC2683,nfw,3,True,0.041318041900506204,2.0468376551732295
NGC2683,profiled_baryons,3,True,22.772389308412034,50.42169190842904
NGC2683,scalar_core,3,True,5.183807969049678,24.211464917236018
NGC2841,adaptive_primary,10,True,53.692112498949385,39.80076643463266
NGC2841,baryon_only,10,True,741.1303937334717,133.5569891277046
NGC2841,compact_plummer,10,True,53.81337780843701,39.847259330734126
NGC2841,extended,10,True,53.20786414017431,39.622677871597205
NGC2841,nfw,10,True,23.49549871057827,26.334447009976486
NGC2841,profiled_baryons,10,True,341.74569097549835,92.37355972766083
NGC2841,scalar_core,10,True,53.57628791920092,39.76974916440316
