galaxy,point_index,radius_kpc,observed_kms,sigma_kms,is_outer,is_training,training_edge_kpc,model,predicted_kms,valid_prediction,fit_failed,failure_reason,conditioning,inclination_factor,distance_ratio,residual_kms,standardized_residual,squared_standardized_error
NGC4183,18,16.95,110.0,4.9,True,False,16.03,scalar_core,97.02903201967511,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-12.970967980324886,-2.6471363225152826,7.007330709979734
NGC4183,19,17.88,109.0,4.9,True,False,16.03,adaptive_primary,103.93715699036514,True,False,,conditional_inner_validation_retrospective_prediction,1.0003161403976093,1.1163313105555883,-5.062843009634861,-1.0332332672724205,1.0675709845984411
NGC4183,19,17.88,109.0,4.9,True,False,16.03,baryon_only,61.98732899473526,True,False,,conditional_ablation_of_inner_fitted_core_calibration,1.0003161403976093,1.1163313105555883,-47.01267100526474,-9.594422654135661,92.05294606619158
NGC4183,19,17.88,109.0,4.9,True,False,16.03,compact_plummer,93.73618192843496,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-15.26381807156504,-3.1150649125642937,9.70362940948919
NGC4183,19,17.88,109.0,4.9,True,False,16.03,extended,106.2134286437816,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-2.7865713562184027,-0.5686880318813067,0.3234060776050341
NGC4183,19,17.88,109.0,4.9,True,False,16.03,nfw,107.62009156229767,True,False,,inner_only_retrospective_prediction,1.000030736838863,1.012198387582516,-1.3799084377023263,-0.28161396687802576,0.0793064263407778
NGC4183,19,17.88,109.0,4.9,True,False,16.03,profiled_baryons,89.05217536638283,True,False,,independently_profiled_baryons_inner_only_matched_priors,1.0014795065002549,1.4592569055998523,-19.947824633617174,-4.070984619105546,16.572915768993926
NGC4183,19,17.88,109.0,4.9,True,False,16.03,scalar_core,95.2223230483893,True,False,,inner_only_retrospective_prediction,1.0003161403976093,1.1163313105555883,-13.777676951610701,-2.8117708064511633,7.9060550680110255
NGC4183,20,18.93,110.0,5.3,True,False,16.03,adaptive_primary,102.8225129296311,True,False,,conditional_inner_validation_retrospective_prediction,1.0003161403976093,1.1163313105555883,-7.1774870703688975,-1.3542428434658298,1.833973679078416
NGC4183,20,18.93,110.0,5.3,True,False,16.03,baryon_only,60.43846534981642,True,False,,conditional_ablation_of_inner_fitted_core_calibration,1.0003161403976093,1.1163313105555883,-49.56153465018358,-9.351232952864827,87.44555773874502
