galaxy,model,n_outer,n_valid,fit_failed,failure_reason
NGC7793,extended,10,10,False,
NGC7793,nfw,10,10,False,
NGC7793,profiled_baryons,10,10,False,
NGC7793,scalar_core,10,10,False,
NGC7814,adaptive_primary,4,4,False,
NGC7814,baryon_only,4,4,False,
NGC7814,compact_plummer,4,4,False,
NGC7814,extended,4,4,False,
NGC7814,nfw,4,4,False,
NGC7814,profiled_baryons,4,4,False,
NGC7814,scalar_core,4,4,False,
UGC00128,adaptive_primary,5,5,False,
UGC00128,baryon_only,5,5,False,
UGC00128,compact_plummer,5,5,False,
UGC00128,extended,5,5,False,
UGC00128,nfw,5,5,False,
UGC00128,profiled_baryons,5,5,False,
UGC00128,scalar_core,5,5,False,
UGC00191,adaptive_primary,2,2,False,
UGC00191,baryon_only,2,2,False,
UGC00191,compact_plummer,2,2,False,
UGC00191,extended,2,2,False,
UGC00191,nfw,2,2,False,
UGC00191,profiled_baryons,2,2,False,
UGC00191,scalar_core,2,2,False,
UGC00731,adaptive_primary,3,3,False,
UGC00731,baryon_only,3,3,False,
UGC00731,compact_plummer,3,3,False,
UGC00731,extended,3,3,False,
UGC00731,nfw,3,3,False,
UGC00731,profiled_baryons,3,3,False,
UGC00731,scalar_core,3,3,False,
UGC01281,adaptive_primary,5,5,False,
UGC01281,baryon_only,5,5,False,
UGC01281,compact_plummer,5,5,False,
UGC01281,extended,5,5,False,
UGC01281,nfw,5,5,False,
UGC01281,profiled_baryons,5,0,True,training_infeasible_within_prior_bounds
UGC01281,scalar_core,5,5,False,
UGC02259,adaptive_primary,2,2,False,
UGC02259,baryon_only,2,2,False,
UGC02259,compact_plummer,2,2,False,
UGC02259,extended,2,2,False,
UGC02259,nfw,2,2,False,
UGC02259,profiled_baryons,2,2,False,
UGC02259,scalar_core,2,2,False,
UGC02487,adaptive_primary,4,4,False,
UGC02487,baryon_only,4,4,False,
UGC02487,compact_plummer,4,4,False,
UGC02487,extended,4,4,False,
UGC02487,nfw,4,4,False,
UGC02487,profiled_baryons,4,4,False,
UGC02487,scalar_core,4,4,False,
UGC02885,adaptive_primary,4,4,False,
UGC02885,baryon_only,4,4,False,
UGC02885,compact_plummer,4,4,False,
UGC02885,extended,4,4,False,
UGC02885,nfw,4,4,False,
UGC02885,profiled_baryons,4,4,False,
UGC02885,scalar_core,4,4,False,
UGC02916,adaptive_primary,9,9,False,
UGC02916,baryon_only,9,9,False,
UGC02916,compact_plummer,9,9,False,
UGC02916,extended,9,9,False,
UGC02916,nfw,9,9,False,
UGC02916,profiled_baryons,9,9,False,
UGC02916,scalar_core,9,9,False,
UGC02953,adaptive_primary,23,23,False,
UGC02953,baryon_only,23,23,False,
UGC02953,compact_plummer,23,23,False,
UGC02953,extended,23,23,False,
