galaxy,model,T,group,Rmax_over_Rdisk,mass_fraction_first_test,mass_fraction_last,median_halo_slope_outer,mean_fractional_residual,median_fractional_residual,median_standardized_residual,last_fractional_residual,last_required_additional_enclosed_over_fitted,last_remaining_mass_over_enclosed,last_shortfall_exceeds_all_remaining_mass,last_halo_required_positive,last_spherical_same_mass_max_speed,last_observed_speed,last_quoted_error,last_capacity_margin_over_observed_squared,outer_baryon_fraction,eta,guard_active
NGC0300,variable_core,7,spiral_T1_9,6.742857142857143,0.8950898685048954,0.9559593879241554,-0.313930404351459,-0.11413170078943483,-0.10682516010187222,-1.078933947992266,-0.13962674621076382,0.49629763942920435,0.04606954294520582,True,True,81.74459261099955,93.5,12.1,0.23564546642588796,0.24309050960911066,2.291152541424015e-22,False
NGC0801,variable_core,5,spiral_T1_9,6.860091743119265,0.8506844124359175,0.959136760039605,-0.28755095386773233,-0.10353732431991265,-0.11183342230519837,-3.5161967475125713,-0.1432524600838455,0.9351680679118144,0.042604184995169714,True,True,186.5787411370567,216.0,8.8,0.2538660269999825,0.48002221715873794,8.181164981129479e-12,False
NGC0891,variable_core,3,spiral_T1_9,6.709803921568628,0.9233883894404484,0.9743925412403914,-0.3504514427917632,-0.029462292969411816,-0.030436285954157122,-1.4584475136584691,-0.042344777175084565,0.1367150058231525,0.026280433886542776,True,True,200.915353608771,208.0,4.35,0.06696146182189591,0.3259299775077582,0.5059194048269318,False
NGC1003,variable_core,6,spiral_T1_9,18.782608695652172,0.7249450659646341,0.8666950894860663,-0.08743763400723137,-0.06500136670111424,-0.06198413856920963,-3.802278086833626,-0.06952502044426123,0.21629246505446303,0.15380831405538586,True,True,112.74848958267006,115.0,1.6,0.03877339106438864,0.1994648207896505,2.1087288856697043e-25,False
NGC1090,variable_core,4,spiral_T1_9,8.524079320113314,0.67510282181838,0.8094811348803154,-0.00492551259306806,-0.008419688963499542,-0.009211176853248576,-0.6691527579489996,-0.0104000171075036,0.037906851016143675,0.23535924051874724,False,True,168.40192459068558,160.0,2.23,-0.10778157054089661,0.44472437800799464,2.6771693779354283e-16,False
NGC2403,variable_core,6,spiral_T1_9,15.014388489208635,0.9107289808930978,0.9936718403125145,-0.41367768929212456,-0.16462422181599656,-0.17702985636451252,-5.505765915353964,-0.23010307045818637,1.046758439180955,0.006368460321362512,True,True,103.38158941990001,134.0,3.12,0.40478096285448983,0.23264503164847447,6.475726328432468e-14,False
NGC2683,variable_core,3,spiral_T1_9,15.880733944954127,0.9980760788664839,0.9997644437537305,-0.49605924659523737,-0.153626825014183,-0.15340090434188722,-2.223197471518779,-0.16852972873073815,0.7521270255305201,0.00023561174608799362,True,True,125.56079040904535,151.0,12.0,0.3085604978665754,0.29210830786513586,1.3415782252254468e-16,False
NGC2841,variable_core,3,spiral_T1_9,17.483516483516482,0.9178071003700952,0.9919619113273657,-0.4030159359140473,-0.12694338666920457,-0.12800388940372953,-8.06270183381081,-0.2084253259983977,0.9608272175469201,0.008103223098433698,True,True,233.30704270580588,294.0,7.07,0.37026035244425093,0.27693355663549213,0.2627338752056267,False
NGC2903,variable_core,4,spiral_T1_9,10.71244635193133,0.946574474596663,0.9909327147106494,-0.42120963307634707,-0.09453431200535069,-0.0799075991891262,-4.741184218554821,-0.13903946814185292,0.506463603733002,0.009150253246001938,True,True,155.46080187701,180.0,8.0,0.2540721938196619,0.26405804203259436,9.326864721474892e-15,False
NGC2915,variable_core,11,irregular_T10_11,18.25454545454545,0.9876760744049777,0.9974846772555798,-0.4748092066932108,-0.15784405327563947,-0.1681476099740707,-2.543985205712242,-0.20898107617422954,0.6688682864992191,0.0025216655471247407,True,True,68.50024653901995,86.5,6.45,0.37287797441858866,0.06828873300407245,1.6947199051577896e-18,False
