r_over_L,u,u_prime,initial_vc_over_vs,gravity_acceleration_L_over_vs2,internal_stress_acceleration_L_over_vs2,initial_delta_vc2_over_t2,delta_vc2_t015,delta_vc2_t030,delta_vc2_over_t2_t015,delta_vc2_over_t2_t030,required_confinement_mass_over_core_mass,required_confinement_density
1.901470588235294024e+00,5.602508026464153579e-01,-3.285885330353481848e-01,7.910513852404030821e-01,-3.290938592279328834e-01,1.186559377390789503e-02,-3.540903305159026279e-03,-7.984572421583459225e-05,-3.213149832625891407e-04,-3.548698854037093085e-03,-3.570166480695434897e-03,1.616659255986312507e-02,3.779997512879629609e-03
1.911451814768460489e+00,5.569735188794977532e-01,-3.280979680534739096e-01,7.927275957128763206e-01,-3.287642597890124141e-01,1.177857286791116759e-02,-3.492167983882611248e-03,-7.875609829258052575e-05,-3.170441887049638683e-04,-3.500271035225801120e-03,-3.522713207832932087e-03,1.621694989415669447e-02,3.588121119330317868e-03
1.921433041301626954e+00,5.537012236186722447e-01,-3.275889903006704573e-01,7.943780337996185770e-01,-3.284196987451969973e-01,1.169120742183666489e-02,-3.443543640132037953e-03,-7.766858649416677896e-05,-3.127774047647490386e-04,-3.451937177518523726e-03,-3.475304497386100429e-03,1.626520973741360510e-02,3.399775162071518378e-03
1.931414267834793419e+00,5.504340995943036718e-01,-3.270618107395573126e-01,7.960028232141757032e-01,-3.280603778884043642e-01,1.160351993192503157e-02,-3.395047491596290580e-03,-7.658358235370209418e-05,-3.085162641053312989e-04,-3.403714771275648775e-03,-3.427958490059236727e-03,1.631136913275833475e-02,3.214938942499209404e-03
1.941395494367959884e+00,5.471723274255908542e-01,-3.265166413926425815e-01,7.976020891951338676e-01,-3.276864989817818152e-01,1.151553264872280657e-02,-3.346696298567454313e-03,-7.550146936449047847e-05,-3.042623622349085945e-04,-3.355620860644021458e-03,-3.380692913721206581e-03,1.635542592992108440e-02,3.033590986224809355e-03
1.951376720901126349e+00,5.439160856100452301e-01,-3.259536952852075675e-01,7.991759584721060961e-01,-3.272982637124380867e-01,1.142726757271404769e-02,-3.298506362258014912e-03,-7.442262084568908136e-05,-3.000172566860982368e-04,-3.307672037586181345e-03,-3.333525074289980360e-03,1.639737877787359951e-02,2.855709065621096776e-03
1.961357947434292814e+00,5.406655505143971308e-01,-3.253731863880567343e-01,8.007245592318067429e-01,-3.268958736449358304e-01,1.133874645014272889e-02,-3.250493523604387845e-03,-7.334740004500680611e-05,-2.957824673226787317e-04,-3.259884446444747275e-03,-3.286471859140874772e-03,1.643722711707906042e-02,2.681270222445381046e-03
1.971339173967459280e+00,5.374208963654961702e-01,-3.247753295608250546e-01,8.022480210841641535e-01,-3.264795301755015755e-01,1.124999076901894886e-02,-3.202673162525378637e-03,-7.227615994761736314e-05,-2.915594754828950189e-04,-3.212273775449660512e-03,-3.239549727587722697e-03,1.647497117135880706e-02,2.510250790410060648e-03
1.981320400500625745e+00,5.341822952413500802e-01,-3.241603404957115186e-01,8.037464750284056825e-01,-3.260494344869001582e-01,1.116102175530572956e-02,-3.155060197625060743e-03,-7.120924331196255310e-05,-2.873497240376014154e-04,-3.164855258309447021e-03,-3.192774711528904592e-03,1.651061193938355848e-02,2.342626417703533651e-03
1.991301627033792210e+00,5.309499170627138831e-01,-3.235284356614428480e-01,8.052200534191300552e-01,-3.256057875039860550e-01,1.107186036928668044e-02,-3.107669086333390493e-03,-7.014698269420015849e-05,-2.831546172612861719e-04,-3.117643675297784942e-03,-3.146162414014290823e-03,1.654415118580221736e-02,2.178372089482311785e-03
2.001282853566958675e+00,5.277239295862857782e-01,-3.228798322471986282e-01,8.066688899326110995e-01,-3.251487898501297380e-01,1.098252730212593599e-02,-3.060513825487921457e-03,-6.908970038298178332e-05,-2.789755202823686656e-04,-3.070653350354746094e-03,-3.099728003137429931e-03,1.657559143203846466e-02,2.017462150389818035e-03
2.011264080100125362e+00,5.245044983978843778e-01,-3.222147481071125363e-01,8.080931195331194639e-01,-3.246786418043421940e-01,1.089304297260586946e-02,-3.013607952320760622e-03,-6.803770852626723781e-05,-2.748137594999607524e-04,-3.023898156722988444e-03,-3.053486216666230751e-03,1.660493594674758433e-02,1.859870326969475379e-03
2.021245306633291605e+00,5.212917869057955844e-01,-3.215334017052258186e-01,8.094928784392271259e-01,-3.241955432590699626e-01,1.080342752404042303e-02,-2.966964545840362812e-03,-6.699130901420340903e-05,-2.706706220272035441e-04,-2.977391511742373976e-03,-3.007451355857817133e-03,1.663218873594368014e-02,1.705569749978340377e-03
2.031226533166457848e+00,5.180859563344420993e-01,-3.208360120608060861e-01,8.108683040900859229e-01,-3.236996936786517010e-01,1.071370082136240999e-02,-2.920596228597339104e-03,-6.595079354683092468e-05,-2.665473558891708430e-04,-2.931146379859152305e-03,-2.961637287657453883e-03,1.665735453280835568e-02,1.554532976602620784e-03
2.041207759699624535e+00,5.148871657197877649e-01,-3.201227986937646430e-01,8.122195351120982121e-01,-3.231912920587720062e-01,1.062388244840324451e-02,-2.874515168842663171e-03,-6.491644370396456101e-05,-2.624451700850824508e-04,-2.885175275731758412e-03,-2.916057445389805009e-03,1.668043878722353171e-02,1.406732012648057029e-03
