galaxy,model,configuration,holdout,n,n_train,n_test,n_parameters,chi2_data,chi2_data_per_row,prior_penalty,objective,length_catalogue_kpc,amplitude_catalogue_kms,physical_length_kpc,physical_amplitude_kms,ml_disk,ml_bulge,distance_ratio,distance_Mpc,inclination_deg,disk_pull,bulge_pull,distance_pull,inclination_pull,halo_bound_hit,nuisance_bound_hit,maximum_abs_pull,success,optimality,n_starts,near_best_starts,restart_objective_spread,holdout_admissible,holdout_chi2,holdout_chi2_per_row,distance_method,parameters_json,parameter_names_json,guard_optimizer_success,guard_optimizer_message,guard_selected_start,guard_epsilon,guard_depth_factor,guard_depth_ratio,guard_admissible,guard_active,guard_refitted,original_depth_ratio,original_objective,objective_change
DDO154,nfw,all_0.10,False,12.0,12.0,0.0,5.0,95.49696585766043,7.958080488138369,8.59058451494554,104.08755037260596,15.775112053129696,137.75663707183156,16.46799635675709,134.96199445305393,0.27093603530318877,0.7,1.0439226232621233,4.217447397978978,66.5496505247899,-2.6610323299595326,0.0,0.8872369898948896,0.8498835082633008,False,False,2.6610323299595326,True,0.005432197774049031,8.0,8.0,1.908254887439398e-08,True,,,2.0,"[2.7584335116115386, 4.925488628881975, -2.6610323299595326, 0.8872369898948896, 0.8498835082633008]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,2.0266631422749203e-07,True,False,False,2.0266631422749203e-07,104.08755037260596,0.0
DDO161,core,all_0.10,False,31.0,31.0,0.0,5.0,6.383241054669347,0.20591100176352733,0.5096678208833986,6.892908875552746,4.956964883292893,67.66884408853045,5.452137952437733,67.07983695550573,0.5760709631018717,0.7,1.0998944073244872,8.249208054933654,71.43152606983824,0.6150598079774342,0.0,0.33298135774829074,0.14315260698382387,False,False,0.6150598079774342,True,1.4023896689204311e-05,8.0,7.0,934.5492875909933,True,,,1.0,"[1.6007936347472334, 4.214625868504189, 0.6150598079774342, 0.33298135774829074, 0.14315260698382387]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,8.087425284600932e-08,True,False,False,8.087425284600932e-08,6.892908875552746,0.0
DDO161,nfw,all_0.10,False,31.0,31.0,0.0,5.0,26.61069795894037,0.8584096115787216,2.746076795851833,29.356774754792205,62.8520313417228,211.67244371035378,66.40644306864134,210.61408993740645,0.34239743983010784,0.7,1.056552058080564,7.92414043560423,70.80667140180728,-1.6443949562007876,0.0,0.18850686026854682,0.08066714018072811,False,False,1.6443949562007876,True,0.0001360900207541288,8.0,8.0,3.914216506473167e-09,True,,,1.0,"[4.140783254986878, 5.355040002971913, -1.6443949562007876, 0.18850686026854682, 0.08066714018072811]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,4.935525928485513e-07,True,False,False,4.935525928485513e-07,29.356774754792205,0.0
DDO168,core,all_0.10,False,10.0,10.0,0.0,5.0,20.629323994179504,2.0629323994179503,2.328973955272371,22.958297949451875,1.6816689841045633,61.6493223042542,1.6424010923324535,67.3177061917458,0.4528710229311869,0.7,0.9766494523337963,4.150760172418634,54.68444606882532,-0.4299547120813446,0.0,-0.472570607530313,-1.3859256551957793,False,False,1.3859256551957793,True,0.0002082327670758452,8.0,7.0,334.8057505469692,True,,,2.0,"[0.5197867431967093, 4.12146223691821, -0.4299547120813446, -0.472570607530313, -1.3859256551957793]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,8.14488399739816e-08,True,False,False,8.14488399739816e-08,22.958297949451875,0.0
DDO168,nfw,all_0.10,False,10.0,10.0,0.0,5.0,71.27627016952111,7.127627016952111,6.295689748163673,77.57195991768478,4999.999999901416,2642.2452162484515,4837.376277665837,3126.870751724784,0.44118757602401293,0.7,0.9674752555522429,4.111769836097032,48.84323602021567,-0.5434673026003614,0.0,-0.6582388757284181,-2.3594606632973876,True,False,2.3594606632973876,True,0.0001468524633139516,8.0,8.0,2.7831958959723124e-10,True,,,2.0,"[8.51719319139652, 7.879384295403742, -0.5434673026003614, -0.6582388757284181, -2.3594606632973876]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,0.0001087873642267491,True,False,False,0.0001087873642267491,77.57195991768478,0.0
DDO170,core,all_0.10,False,8.0,8.0,0.0,5.0,38.28873527048213,4.786091908810266,1.3445397857420223,39.63327505622415,3.4271577756837006,62.31930426658919,3.5949960305735607,62.115401440065966,0.6510405429933176,0.7,1.0489730166730877,16.154184456765552,66.4259993482603,1.146380303919538,0.0,0.1632433889102921,0.060857049751472186,False,False,1.146380303919538,True,0.002055593582138416,8.0,8.0,5.1623132435452135e-09,True,,,1.0,"[1.2317312808416676, 4.13227123761361, 1.146380303919538, 0.1632433889102921, 0.060857049751472186]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,6.93465528305174e-08,True,False,False,6.93465528305174e-08,39.63327505622415,0.0
DDO170,nfw,all_0.10,False,8.0,8.0,0.0,5.0,12.958459348841098,1.6198074186051372,0.005225408218682919,12.96368475705978,13.307714436721637,126.85576430512363,13.425511956157308,126.7816968010242,0.4925600245035539,0.7,1.0088518220011258,15.536318058817338,66.0752925765474,-0.06510842147595158,0.0,0.02950607333708577,0.01075608236391308,False,False,0.06510842147595158,True,3.907218865766965e-06,8.0,8.0,4.956035581926699e-12,True,,,1.0,"[2.588343899909896, 4.843050726913695, -0.06510842147595158, 0.02950607333708577, 0.01075608236391308]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,1.7884290431948278e-07,True,False,False,1.7884290431948278e-07,12.96368475705978,0.0
ESO079-G014,core,all_0.10,False,15.0,15.0,0.0,5.0,13.015235677685894,0.8676823785123929,0.2191743730236545,13.234410050709549,5.318538592493101,177.30557944563134,4.82439582370694,177.44795944937005,0.4687279152630906,0.7,0.9070904986035783,26.033497309922694,78.76594929380397,-0.2804918547826681,0.0,-0.37189716737479833,-0.0468101412392052,False,False,0.37189716737479833,True,3.8511554036577654e-05,8.0,6.0,112.62729637877891,True,,,1.0,"[1.6711985649572243, 5.1778746815395165, -0.2804918547826681, -0.37189716737479833, -0.0468101412392052]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,5.659372810198017e-07,True,False,False,5.659372810198017e-07,13.234410050709549,0.0
ESO079-G014,nfw,all_0.10,False,15.0,15.0,0.0,5.0,46.671462425126236,3.111430828341749,0.9681562494154891,47.63961867454172,109.69873416080301,565.5360210813407,124.99751140505577,564.7553194167865,0.6019630052651925,0.7,1.1394617482260725,32.70255217408828,79.41521306256347,0.8059979738214191,0.0,0.5582360075436936,0.08304261251269254,False,False,0.8059979738214191,True,0.00013934720787469733,8.0,7.0,78.22208773064091,True,,,1.0,"[4.697737828115274, 6.33777399128413, 0.8059979738214191, 0.5582360075436936, 0.08304261251269254]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,3.5487814518947467e-06,True,False,False,3.5487814518947467e-06,47.63961867454172,0.0
ESO116-G012,core,all_0.10,False,15.0,15.0,0.0,5.0,8.257551520373049,0.5505034346915366,2.087389940383052,10.3449414607561,2.980091208848642,108.2251075668947,3.9055773598259997,108.01322600828387,0.6293384422658257,0.7,1.310556317279604,17.03723212463485,74.39675440371822,0.9991425649776275,0.0,1.0351877242653467,0.13225146790607545,False,False,1.0351877242653467,True,0.00017460863154543347,8.0,6.0,426.1141666136992,True,,,1.0,"[1.0919539070451172, 4.684213387246651, 0.9991425649776275, 1.0351877242653467, 0.13225146790607545]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,2.0969117792068315e-07,True,False,False,2.0969117792068315e-07,10.3449414607561,0.0
ESO116-G012,nfw,all_0.10,False,15.0,15.0,0.0,5.0,30.20013447251724,2.013342298167816,0.08816962110792737,30.288304093625168,22.68035698449212,290.70887362994563,23.088360851175135,290.68225074366626,0.4676218743379936,0.7,1.0179893053253963,13.233860969230152,74.01831069825197,-0.2907518601625483,0.0,0.05996435108465477,0.006103566083987547,False,False,0.2907518601625483,True,0.0014658725199694976,8.0,7.0,406.1708043393866,True,,,1.0,"[3.12149921879265, 5.672322332141763, -0.2907518601625483, 0.05996435108465477, 0.006103566083987547]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,9.401466928531232e-07,True,False,False,9.401466928531232e-07,30.288304093625168,0.0
ESO444-G084,core,all_0.10,False,7.0,7.0,0.0,5.0,11.457272205385836,1.6367531721979767,4.65620512727379,16.113477332659627,1.2864433363036032,67.53428112537603,1.3674010212396677,53.91386003581135,0.6751131702763297,0.7,1.0629314037015294,5.133958679878387,41.589898823195455,1.3040657606065706,0.0,0.6332472497466394,1.5983164705325765,False,False,1.5983164705325765,True,0.0005352195123175738,8.0,8.0,6.068887614674168e-10,True,,,2.0,"[0.2518813069220906, 4.212635337481003, 1.3040657606065706, 0.6332472497466394, 1.5983164705325765]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,5.224288338712119e-08,True,False,False,5.224288338712119e-08,16.113477332659627,0.0
ESO444-G084,nfw,all_0.10,False,7.0,7.0,0.0,5.0,2.986311933955658,0.42661599056509397,0.17806652332130596,3.164378457276964,13.931978022222673,199.28997206507825,14.109108352226166,186.95916577291518,0.49416649081922015,0.7,1.0127139398096203,4.891408329280466,34.39325374191455,-0.050967115615515465,0.0,0.1279340193343036,0.3988756236524246,False,False,0.3988756236524246,True,1.4836197334661554e-05,8.0,8.0,3.7403413699621524e-11,True,,,2.0,"[2.6341867749991135, 5.2947609101730295, -0.050967115615515465, 0.1279340193343036, 0.3988756236524246]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,3.8891269272719137e-07,True,False,False,3.8891269272719137e-07,3.164378457276964,0.0
ESO563-G021,core,all_0.10,False,30.0,30.0,0.0,5.0,280.2353960255568,9.341179867518559,13.532430659092574,293.7678266846494,6.3889795597397105,392.3239377983961,5.917340579292676,392.42552359582373,0.21599753666429955,0.7,0.9261792941991743,56.3117010873098,82.88022298667045,-3.6452120605176415,0.0,-0.493219660735187,-0.03992567110985077,False,False,3.6452120605176415,True,0.0034025763189405897,8.0,3.0,729.2949984680745,True,,,1.0,"[1.8545745623256396, 5.97208787046785, -3.6452120605176415, -0.493219660735187, -0.03992567110985077]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,2.7678387016779593e-06,True,False,False,2.7678387016779593e-06,293.7678266846494,0.0
ESO563-G021,nfw,all_0.10,False,30.0,30.0,0.0,5.0,475.0745357910252,15.83581785970084,5.722820515929473,480.79735630695467,4999.999999999995,3862.496330094382,5831.553419678121,3859.920161685366,0.8138702654206683,0.7,1.1663106839356252,70.911689583286,83.31865890083309,2.1158517757733244,0.0,1.1111746794819801,0.1062196336110294,True,False,2.1158517757733244,True,1.581212449965041e-05,8.0,7.0,542.2654687446316,True,,,1.0,"[8.517193191416236, 8.259068971068173, 2.1158517757733244, 1.1111746794819801, 0.1062196336110294]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,0.0001657735499841615,True,False,False,0.0001657735499841615,480.79735630695467,0.0
F565-V2,core,all_0.10,False,7.0,7.0,0.0,5.0,0.28640634389325187,0.040915191984750264,1.0862709580361617e-05,0.2864172066028322,3.201009826987656,88.2461359859674,3.202330456513837,88.22781149123192,0.4998220793309889,0.7,1.0004125665329255,51.82137094640554,60.02061793355758,-0.0015456743190831658,0.0,0.002054898692841094,0.0020617933557581306,False,False,0.0020617933557581306,True,9.168053647349683e-07,8.0,8.0,1.528221993396528e-13,True,,,1.0,"[1.1634663309572892, 4.480129909993262, -0.0015456743190831658, 0.002054898692841094, 0.0020617933557581306]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,1.3990630861035192e-07,True,False,False,1.3990630861035192e-07,0.2864172066028322,0.0
F565-V2,nfw,all_0.10,False,7.0,7.0,0.0,5.0,1.8694712515961398,0.2670673216565914,0.00014989589353210775,1.869621147489672,4999.999999998183,2674.983885876924,5008.435648080576,2672.718926461616,0.4996669244665425,0.7,1.0016871296164793,51.887393314133625,60.08420612121623,-0.002894021359515795,0.0,0.008403203282079214,0.00842061212162318,True,False,0.00842061212162318,True,9.350145981524455e-08,8.0,8.0,1.6505463662497277e-11,True,,,1.0,"[8.517193191415874, 7.8916986353407195, -0.002894021359515795, 0.008403203282079214, 0.00842061212162318]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,7.948133850984955e-05,True,False,False,7.948133850984955e-05,1.869621147489672,0.0
F568-3,core,all_0.10,False,18.0,18.0,0.0,5.0,14.424795072851655,0.8013775040473141,0.14899954028159054,14.573794613133245,3.9345416666985726,116.32614440858275,3.9069248347278887,124.99735986954478,0.47809512712162106,0.7,0.9929809278157024,81.82162845201388,36.740852459290785,-0.19455687067704183,0.0,-0.07019072184297631,-0.3259147540709216,False,False,0.3259147540709216,True,0.0001057941472267179,8.0,7.0,57.24748868247754,True,,,1.0,"[1.3697943990241495, 4.75639783571011, -0.19455687067704183, -0.07019072184297631, -0.3259147540709216]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,2.8081995480885287e-07,True,False,False,2.8081995480885287e-07,14.573794613133245,0.0
F568-3,nfw,all_0.10,False,18.0,18.0,0.0,5.0,49.19421520030298,2.7330119555723877,0.8964179839511865,50.090633184254166,4999.999999992757,2429.6740483032795,5129.168641155833,2093.192475582084,0.5463483842302939,0.7,1.0258337282326526,84.52869920637058,48.25504367362019,0.38499658696871936,0.0,0.2583372823265269,0.8255043673620196,True,False,0.8255043673620196,True,1.8202490271990285e-05,8.0,7.0,21.730651268949607,True,,,1.0,"[8.517193191414789, 7.795512390836781, 0.38499658696871936, 0.2583372823265269, 0.8255043673620196]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,4.875025861872085e-05,True,False,False,4.875025861872085e-05,50.090633184254166,0.0
F568-V1,core,all_0.10,False,15.0,15.0,0.0,5.0,5.63785017910816,0.37585667860721067,0.3113223205855167,5.949172499693677,2.45783518277788,128.24895748498614,2.4948861164176193,116.00179577680737,0.5110265623889538,0.7,1.0150746209100414,81.81501444534933,45.28794134770298,0.09473470356686767,0.0,0.15074620910041434,0.5287941347702985,False,False,0.5287941347702985,True,0.00022944464020623975,8.0,8.0,1.2880985167385006e-10,True,,,1.0,"[0.8992809555099361, 4.853973355245802, 0.09473470356686767, 0.15074620910041434, 0.5287941347702985]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,2.4185535608458965e-07,True,False,False,2.4185535608458965e-07,5.949172499693677,0.0
F568-V1,nfw,all_0.10,False,15.0,15.0,0.0,5.0,2.816589080100168,0.1877726053400112,0.003630993193567469,2.8202200732937355,8.027512760447365,244.8407715067593,8.018795251742867,247.2071365690629,0.5043406574774818,0.7,0.9989140461105899,80.51247211651354,39.541324724999015,0.03753975931732488,0.0,-0.01085953889410076,-0.0458675275000986,False,False,0.0458675275000986,True,1.3015307935726106e-05,8.0,8.0,8.675726803630823e-12,True,,,1.0,"[2.0828747365719678, 5.500608087042924, 0.03753975931732488, -0.01085953889410076, -0.0458675275000986]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.0,6.799556744314522e-07,True,False,False,6.799556744314522e-07,2.8202200732937355,0.0
F571-8,core,all_0.10,False,13.0,13.0,0.0,5.0,6.991817862502954,0.5378321432694579,6.266309479688954,13.258127342191909,4.462979210241803,164.01614780268207,2.5988376213735043,164.14989089385773,0.3632089019240502,0.7,0.5823100442434505,31.037125358175906,84.49213756208533,-1.3881352018874404,0.0,-2.080642489890102,-0.10157248758293393,False,False,2.080642489890102,True,2.8809613846993213e-05,8.0,7.0,1562.4871279303538,True,,,1.0,"[1.495816527388872, 5.099964885188589, -1.3881352018874404, -2.080642489890102, -0.10157248758293393]","[""log_L_catalogue"", ""log_excess_A_catalogue"", ""disk_pull"", ""distance_pull"", ""inclination_pull""]",,Original admissible row retained unchanged,,0.01,1.6153539227342026,4.842922080768437e-07,True,False,False,4.842922080768437e-07,13.258127342191909,0.0
