analysis,split,left_model,right_model,galaxy,n_points,left_loss,right_loss,delta_left_minus_right,outcome
guard_0.001,holdout,variable_core,nfw,ESO563-G021,6,40.70776071537816,1.6929467447847963,39.01481397059336,right_win
guard_0.001,holdout,variable_core,nfw,F568-3,4,5.766055585054522,0.0384877217042694,5.727567863350252,right_win
guard_0.001,holdout,variable_core,nfw,F568-V1,3,2.175784915411656,1.1245161148610092,1.0512688005506468,right_win
guard_0.001,holdout,variable_core,nfw,F571-8,3,31.87577143028081,22.251974009325355,9.623797420955455,right_win
guard_0.001,holdout,variable_core,nfw,F574-1,3,3.143457166485692,3.245582652629228,-0.10212548614353611,left_win
guard_0.001,holdout,variable_core,nfw,F583-1,5,4.874551383898729,8.652719918624097,-3.778168534725368,left_win
guard_0.001,holdout,variable_core,nfw,F583-4,3,4.287360547008795,0.1147073823539208,4.172653164654874,right_win
guard_0.001,holdout,variable_core,nfw,IC2574,7,1.5219860769096445,9.600929347606405,-8.07894327069676,left_win
guard_0.001,holdout,variable_core,nfw,IC4202,7,27.96033111300572,4.119906856155294,23.840424256850426,right_win
guard_0.001,holdout,variable_core,nfw,KK98-251,3,10.754311432158332,2.361968712782438,8.392342719375893,right_win
guard_0.001,holdout,variable_core,nfw,NGC0024,6,132.5794819750253,303.7729356088992,-171.19345363387393,left_win
guard_0.001,holdout,variable_core,nfw,NGC0055,5,1.5396733170525183,4.8953239981173,-3.355650681064782,left_win
guard_0.001,holdout,variable_core,nfw,NGC0100,5,0.9835486453067328,0.2761944353592143,0.7073542099475185,right_win
guard_0.001,holdout,variable_core,nfw,NGC0247,6,0.9474197590844592,0.1436045829347682,0.803815176149691,right_win
guard_0.001,holdout,variable_core,nfw,NGC0289,6,0.7378305904342359,4.192816884348642,-3.454986293914406,left_win
guard_0.001,holdout,variable_core,nfw,NGC0300,5,13.916067789826888,0.2183332916622077,13.69773449816468,right_win
guard_0.001,holdout,variable_core,nfw,NGC0801,3,35.02467057471901,7.740340007818689,27.284330566900323,right_win
guard_0.001,holdout,variable_core,nfw,NGC0891,4,2.4226618621913216,4.824140716684242,-2.40147885449292,left_win
guard_0.001,holdout,variable_core,nfw,NGC1003,8,12.795034183963931,3.6659983744626,9.129035809501332,right_win
guard_0.001,holdout,variable_core,nfw,NGC1090,5,0.4666058731644337,1.2075614409932212,-0.7409555678287875,left_win
