x,f,f_prime,phi,phi_prime,radial_mass_integral
22.29375,1.58072447483469e-10,-1.804724662273298e-10,-0.09250294175909342,0.004149276894147398,2.062237457838985
22.295,1.578470174843475e-10,-1.802154107911017e-10,-0.09249775545376554,0.004148811637297833,2.062237457838985
22.29625,1.576219085982668e-10,-1.799587210231403e-10,-0.09249256972996057,0.004148346458697664,2.062237457838985
22.2975,1.573971203707248e-10,-1.797023964066355e-10,-0.09248738458758082,0.004147881358329361,2.062237457838985
22.29875,1.571726523472196e-10,-1.794464364247772e-10,-0.0924822000265285,0.004147416336175393,2.062237457838985
22.3,1.569485040732512e-10,-1.791908405607575e-10,-0.09247701604670594,0.004146951392218234,2.062237457838985
22.30125,1.567246750943177e-10,-1.789356082977663e-10,-0.09247183264801538,0.004146486526440354,2.062237457838985
22.3025,1.565011649559171e-10,-1.786807391189935e-10,-0.09246664983035913,0.004146021738824222,2.062237457838985
22.30375,1.562779732035495e-10,-1.784262325076311e-10,-0.09246146759363943,0.004145557029352313,2.062237457838985
22.305,1.560550993827129e-10,-1.781720879468691e-10,-0.09245628593775858,0.004145092398007095,2.062237457838985
22.30625,1.558325430389054e-10,-1.779183049198974e-10,-0.09245110486261884,0.004144627844771038,2.062237457838985
22.3075,1.55610303717627e-10,-1.77664882909908e-10,-0.09244592436812252,0.004144163369626618,2.062237457838985
22.30875,1.553883809643758e-10,-1.774118214000908e-10,-0.09244074445417186,0.004143698972556301,2.062237457838985
22.31,1.551667743246504e-10,-1.771591198736366e-10,-0.09243556512066914,0.004143234653542561,2.062237457838985
22.31125,1.54945483343949e-10,-1.76906777813735e-10,-0.09243038636751663,0.004142770412567866,2.062237457838985
22.3125,1.547245075677716e-10,-1.766547947035783e-10,-0.09242520819461664,0.004142306249614689,2.062237457838985
22.31375,1.545038465416161e-10,-1.764031700263564e-10,-0.09242003060187143,0.004141842164665504,2.062237457838985
22.315,1.542834998109808e-10,-1.761519032652591e-10,-0.09241485358918325,0.004141378157702776,2.062237457838985
22.31625,1.540634669213656e-10,-1.759009939034784e-10,-0.09240967715645441,0.00414091422870898,2.062237457838985
22.3175,1.538437474182685e-10,-1.756504414242045e-10,-0.09240450130358717,0.004140450377666586,2.062237457838985
22.31875,1.536243408471877e-10,-1.75400245310627e-10,-0.09239932603048379,0.004139986604558063,2.062237457838985
22.32,1.534052467536231e-10,-1.75150405045938e-10,-0.09239415133704659,0.004139522909365887,2.062237457838985
22.32125,1.531864646876649e-10,-1.749009201185426e-10,-0.09238897722317795,0.004139059292072553,2.062237457838985
