x,f,f_prime,phi,phi_prime,radial_mass_integral
10.85375,5.634637192029325e-05,-6.605661732617053e-05,-0.2444952307828073,0.02252633565046951,2.65368994595287
10.855,5.626386115051535e-05,-6.596063685460871e-05,-0.2444670761057461,0.02252114794401022,2.653689946419761
10.85625,5.618147027058616e-05,-6.5864794552219e-05,-0.2444389279122006,0.02251596202939173,2.653689946885392
10.8575,5.609919910779433e-05,-6.576909022220502e-05,-0.2444107861999312,0.02251077790578871,2.653689947349768
10.85875,5.601704748942816e-05,-6.567352366776992e-05,-0.2443826509666978,0.02250559557237583,2.653689947812891
10.86,5.593501524277642e-05,-6.557809469211746e-05,-0.2443545222102609,0.0225004150283278,2.653689948274765
10.86125,5.58531021954609e-05,-6.548280309882554e-05,-0.2443263999283818,0.0224952362728199,2.653689948735394
10.8625,5.577130817640837e-05,-6.538764869293832e-05,-0.2442982841188277,0.02249005930502999,2.65368994919478
10.86375,5.568963301486444e-05,-6.52926312798581e-05,-0.2442701747793672,0.02248488412413654,2.653689949652927
10.865,5.560807654007434e-05,-6.519775066498679e-05,-0.2442420719077684,0.02247971072931801,2.653689950109838
10.86625,5.552663858128371e-05,-6.510300665372677e-05,-0.2442139755018,0.02247453911975288,2.653689950565517
10.8675,5.544531896773812e-05,-6.500839905148028e-05,-0.2441858855592303,0.02246936929461962,2.653689951019967
10.86875,5.536411752868284e-05,-6.491392766364934e-05,-0.2441578020778278,0.02246420125309668,2.65368995147319
10.87,5.528303409336348e-05,-6.481959229563618e-05,-0.2441297250553609,0.02245903499436254,2.653689951925192
10.87125,5.520206849135539e-05,-6.472539275321378e-05,-0.2441016544895994,0.02245387051759631,2.653689952375973
10.8725,5.512122055352363e-05,-6.463132884360443e-05,-0.2440735903783186,0.0224487078219796,2.653689952825539
10.87375,5.504049011104903e-05,-6.453740037438517e-05,-0.2440455327192952,0.02244354690669465,2.653689953273892
10.875,5.495987699511191e-05,-6.44436071531325e-05,-0.2440174815103057,0.02243838777092369,2.653689953721035
10.87625,5.487938103689297e-05,-6.434994898742338e-05,-0.2439894367491267,0.02243323041384896,2.653689954166972
10.8775,5.479900206757289e-05,-6.42564256848347e-05,-0.243961398433535,0.02242807483465272,2.653689954611706
10.87875,5.4718739918332e-05,-6.416303705294302e-05,-0.2439333665613072,0.02242292103251718,2.65368995505524
10.88,5.463859442035101e-05,-6.40697828993252e-05,-0.2439053411302197,0.02241776900662459,2.653689955497577
10.88125,5.455856540513667e-05,-6.397666303192476e-05,-0.2438773221380509,0.02241261875615783,2.653689955938721
10.8825,5.447865270547102e-05,-6.38836772601186e-05,-0.2438493095825839,0.02240747028030224,2.653689956378675
10.88375,5.439885615444824e-05,-6.379082539363434e-05,-0.2438213034616036,0.02240232357824383,2.653689956817442
10.885,5.431917558516244e-05,-6.369810724219963e-05,-0.2437933037728947,0.02239717864916859,2.653689957255024
10.88625,5.423961083070744e-05,-6.360552261554177e-05,-0.2437653105142422,0.0223920354922625,2.653689957691426
10.8875,5.416016172417738e-05,-6.351307132338834e-05,-0.2437373236834308,0.02238689410671153,2.65368995812665
10.88875,5.40808280986664e-05,-6.342075317546703e-05,-0.2437093432782452,0.0223817544917017,2.6536899585607
10.89,5.400160978726831e-05,-6.33285679815051e-05,-0.2436813692964702,0.02237661664641897,2.653689958993579
10.89125,5.392250662339978e-05,-6.323651555159283e-05,-0.2436534017358921,0.02237148057004998,2.653689959425289
10.8925,5.384351844173845e-05,-6.314459569723812e-05,-0.2436254405943024,0.0223663462617838,2.653689959855834
10.89375,5.376464507727051e-05,-6.305280823029568e-05,-0.2435974858694938,0.02236121372081016,2.653689960285218
10.895,5.36858863649822e-05,-6.296115296262031e-05,-0.2435695375592596,0.02235608294631879,2.653689960713443
10.89625,5.360724213985936e-05,-6.286962970606637e-05,-0.2435415956613924,0.02235095393749937,2.653689961140512
10.8975,5.352871223688823e-05,-6.277823827248859e-05,-0.2435136601736851,0.02234582669354165,2.653689961566428
10.89875,5.345029649105499e-05,-6.268697847374177e-05,-0.2434857310939309,0.02234070121363534,2.653689961991195
10.9,5.337199473734554e-05,-6.259585012168027e-05,-0.2434578084199225,0.02233557749697013,2.653689962414815
10.90125,5.329380681106491e-05,-6.250485302851738e-05,-0.2434298921494541,0.02233045554273638,2.653689962837292
10.9025,5.321573254876542e-05,-6.241398700786894e-05,-0.2434019822803256,0.0223253353501269,2.653689963258629
10.90375,5.313777178730386e-05,-6.232325187369304e-05,-0.2433740788103377,0.02232021691833511,2.653689963678828
10.905,5.305992436353747e-05,-6.223264743994833e-05,-0.2433461817372917,0.02231510024655444,2.653689964097893
10.90625,5.298219011432303e-05,-6.214217352059296e-05,-0.2433182910589884,0.0223099853339783,2.653689964515828
10.9075,5.290456887651766e-05,-6.20518299295854e-05,-0.2432904067732288,0.02230487217980012,2.653689964932634
10.90875,5.282706048697852e-05,-6.196161648088418e-05,-0.243262528877814,0.02229976078321333,2.653689965348315
10.91,5.274966478256236e-05,-6.187153298844741e-05,-0.2432346573705448,0.02229465114341134,2.653689965762873
10.91125,5.267238160044159e-05,-6.178157926658821e-05,-0.2432067922492238,0.02228954325958819,2.653689966176313
10.9125,5.259521077902193e-05,-6.169175513100683e-05,-0.2431789335116585,0.02228443713094042,2.653689966588636
10.91375,5.251815215701016e-05,-6.160206039774199e-05,-0.2431510811556581,0.02227933275666509,2.653689966999846
10.915,5.24412055731134e-05,-6.151249488283285e-05,-0.2431232351790314,0.02227423013595934,2.653689967409947
10.91625,5.236437086603878e-05,-6.142305840231857e-05,-0.2430953955795878,0.02226912926802028,2.65368996781894
10.9175,5.228764787449306e-05,-6.133375077223791e-05,-0.2430675623551361,0.022264030152045,2.653689968226828
