r_dimensionless,u,u_prime,phi,phi_prime,enclosed_mass_integral
0.04679999999999999,0.9996372081229372,-0.0155008601275848,-1.614988962195693,0.01559320903231671,3.415287017875712e-05
0.04799999999999999,0.9996183688095491,-0.01589799143819415,-1.614970010663616,0.0159926732443571,3.684711915061075e-05
0.04919999999999999,0.999599052953409,-0.01629509794737187,-1.614950579790893,0.01639210999933465,3.967939717802494e-05
0.05039999999999999,0.9995792605846475,-0.01669217903592864,-1.614930669610879,0.01679151861217571,4.265314391329651e-05
0.05159999999999999,0.9995589917341382,-0.01708923408473785,-1.614910280157754,0.01719089839790682,4.577179846898615e-05
0.05279999999999999,0.9995382464335036,-0.01748626247473762,-1.614889411466524,0.01759024867165791,4.903879885197023e-05
0.05399999999999999,0.9995170247151076,-0.01788326358693178,-1.614868063573018,0.01798956874866387,5.245758250317899e-05
0.05519999999999999,0.9994953266120556,-0.01828023680239125,-1.614846236513882,0.01838885794426682,5.60315857054552e-05
0.05639999999999999,0.9994731521581923,-0.01867718150225556,-1.614823930326583,0.01878811557391839,5.976424414950247e-05
0.0576,0.9994505013881048,-0.01907409706773444,-1.614801145049406,0.01918734095318237,6.365899231556834e-05
0.0588,0.9994273743371273,-0.01947098288011003,-1.614777880721465,0.0195865333977382,6.771926406558577e-05
0.06,0.9994037710413379,-0.01986783832073795,-1.614754137382696,0.01998569222338266,7.194849199869944e-05
0.0612,0.9993796915375548,-0.02026466277104853,-1.614729915073851,0.02038481674603185,7.635010806958259e-05
0.0624,0.9993551358633351,-0.02066145561254833,-1.614705213836504,0.02078390628172357,8.092754291782554e-05
0.06359999999999999,0.9993301040569775,-0.02105821622682164,-1.614680033713046,0.02118296014661976,8.56842265124095e-05
0.0648,0.999304596157526,-0.02145494399553273,-1.614654374746691,0.02158197765701005,9.062358745497756e-05
0.06599999999999999,0.99927861220477,-0.02185163830042718,-1.61462823698148,0.02198095812931387,9.574905365044605e-05
0.0672,0.9992521522392377,-0.02224829852333293,-1.614601620462269,0.02237990088008214,0.0001010640515841789
0.06839999999999999,0.9992252163021977,-0.02264492404616172,-1.614574525234734,0.02277880522599955,0.0001065720070187166
0.0696,0.9991978044356572,-0.02304151425091063,-1.614546951345366,0.02317767048388703,0.0001122763442448752
0.07079999999999999,0.999169916682368,-0.02343806851966415,-1.614518898841479,0.023576495970705,0.0001181804868045718
0.07199999999999999,0.9991415530858274,-0.02383458623459598,-1.614490367771213,0.02397528100355626,0.0001242878567158717
0.07319999999999999,0.9991127136902725,-0.02423106677796979,-1.614461358183524,0.0243740248996872,0.0001306018752218883
0.07439999999999999,0.9990833985406791,-0.02462750953214068,-1.614431870128185,0.02477272697649013,0.0001371259619898004
0.07559999999999999,0.9990536076827619,-0.02502391387955671,-1.614401903655785,0.02517138655150562,0.0001438635358858059
0.07679999999999999,0.9990233411629771,-0.02542027920276072,-1.614371458817734,0.02557000294242556,0.0001508180141481323
0.078,0.9989925990285277,-0.0258166048843926,-1.614340535666265,0.02596857546709657,0.0001579928131880207
0.07919999999999999,0.998961381327356,-0.02621289030718989,-1.61430913425443,0.02636710344352116,0.0001653913477367552
0.0804,0.998929688108143,-0.02660913485398922,-1.614277254636095,0.02676558618985982,0.0001730170316726524
0.08159999999999999,0.9988975194203078,-0.02700533790772772,-1.614244896865944,0.02716402302443337,0.0001808732771421355
0.0828,0.998864875314009,-0.02740149885144479,-1.614212060999474,0.02756241326572572,0.0001889634954127049
0.08399999999999999,0.9988317558401512,-0.0277976170682845,-1.614178747093011,0.02796075623238773,0.0001972910959680823
0.0852,0.9987981610503796,-0.02819369194149642,-1.614144955203696,0.02835905124323851,0.0002058594873871379
0.08639999999999999,0.9987640909970771,-0.02858972285443678,-1.614110685389484,0.02875729761726719,0.0002146720764131316
0.0876,0.9987295457333638,-0.02898570919056995,-1.614075937709146,0.02915549467363532,0.0002237322688585698
0.08879999999999999,0.9986945253130987,-0.02938165033346998,-1.614040712222268,0.02955364173167936,0.0002330434686485718
0.09,0.9986590297908842,-0.02977754566682318,-1.614005008989258,0.02995173811091465,0.0002426090787516287
0.09119999999999999,0.998623059222065,-0.0301733945744292,-1.613968828071342,0.03034978313103726,0.0002524325001971246
0.0924,0.9985866136627225,-0.030569196440202,-1.613932169530559,0.03074777611192536,0.00026251713303197
0.09359999999999999,0.9985496931696755,-0.03096495064817121,-1.613895033429765,0.03114571637364153,0.0002728663753123055
0.0948,0.9985122978004792,-0.03136065658248375,-1.613857419832625,0.03154360323643524,0.0002834836240859815
0.09599999999999999,0.9984744276134311,-0.0317563136274061,-1.613819328803627,0.03194143602074642,0.0002943722743584761
0.09719999999999999,0.9984360826675713,-0.03215192116732609,-1.613780760408074,0.03233921404720836,0.0003055357201011906
0.09839999999999999,0.9983972630226767,-0.03254747858675339,-1.613741714712087,0.03273693663664849,0.0003169773531916122
0.09959999999999999,0.9983579687392606,-0.03294298527032104,-1.613702191782596,0.03313460311009066,0.0003287005644473958
0.1008,0.9983181998785722,-0.03333844060278687,-1.613662191687345,0.03353221278875758,0.0003407087425408028
0.102,0.9982779565025994,-0.0337338439690356,-1.613621714494891,0.03392976499407396,0.0003530052750585385
0.1032,0.9982372386740747,-0.03412919475408115,-1.613580760274615,0.03432725904767029,0.0003655935473904992
0.1044,0.9981960464564662,-0.03452449234306702,-1.613539329096707,0.03472469427138339,0.0003784769438153339
0.1056,0.9981543799139782,-0.03491973612126763,-1.61349742103217,0.03512206998725846,0.0003916588463635328
0.1068,0.9981122391115493,-0.03531492547408979,-1.613455036152816,0.03551938551755153,0.0004051426359286806
0.108,0.9980696241148564,-0.03571005978707449,-1.613412174531273,0.0359166401847322,0.0004189316911049204
0.1092,0.9980265349903183,-0.0361051384458997,-1.613368836240985,0.03631383331148799,0.0004330293893238654
0.1104,0.997982971805091,-0.0365001608363807,-1.613325021356209,0.03671096422072508,0.0004474391056664734
0.1116,0.9979389346270653,-0.03689512634447131,-1.613280729952014,0.03710803223556999,0.0004621642140255828
0.1128,0.9978944235248669,-0.03729003435626534,-1.613235962104277,0.03750503667937197,0.0004772080858922326
0.114,0.9978494385678558,-0.03768488425799816,-1.613190717889684,0.03790197687570555,0.0004925740915437879
0.1152,0.9978039798261339,-0.03807967543604954,-1.613144997385741,0.03829885214837493,0.0005082655988047426
0.1164,0.9977580473705406,-0.03847440727694459,-1.613098800670764,0.03869566182141543,0.0005242859742603983
0.1176,0.9977116412726498,-0.03886907916735449,-1.61305212782388,0.03909240521909473,0.0005406385819921869
0.1188,0.9976647616047684,-0.03926369049409798,-1.613004978925023,0.0394890816659151,0.000557326784816867
