r_kpc,true_v_kms,fit_v_kms,fit_se_kms
0.5586500000000001,9.382739671776546,9.406942533959018,0.2618958385109752
0.568625,9.539769803223876,9.564161431948714,0.2657955280774535
0.5786000000000001,9.696260448695281,9.720828730337875,0.2696563392283847
0.5885750000000001,9.852203705158644,9.876936382212659,0.2734777901680881
0.5985500000000001,10.00759174685495,10.03247642123651,0.2772594088021808
0.6085250000000001,10.1624168262799,10.18744096266604,0.2810007328564723
0.6185,10.31667127514812,10.34182220434826,0.2847013099567237
0.6284750000000001,10.47034750534064,10.49561242769963,0.2883606977443306
0.6384500000000001,10.62343800983561,10.6488039986667,0.2919784639721613
0.6484250000000001,10.77593536362003,10.801389368668,0.2955541865832039
0.6584000000000001,10.92783222458394,10.95336107551704,0.2990874537916448
0.6683750000000001,11.07912133439725,11.10471174432562,0.3025778642140281
0.6783500000000001,11.22979551936832,11.25543408838797,0.3060250269302394
0.6883250000000001,11.37984769128304,11.40552091004546,0.309428561544118
0.6983000000000001,11.52927084822598,11.55496510153167,0.3127880982763151
0.7082750000000001,11.67805807538352,11.70375964579743,0.3161032780329051
0.7182500000000001,11.82620254582724,11.85189761731537,0.3193737524998584
0.7282250000000001,11.97369752127775,11.99937218286449,0.3225991842004555
0.7382000000000001,12.12053635285014,12.14617660229427,0.3257792465442343
0.7481750000000001,12.26671248178052,12.2923042292684,0.3289136238796946
0.7581500000000001,12.4122194401316,12.43774851198765,0.3320020115831909
0.7681250000000001,12.5570508514791,12.58250299389142,0.3350441161171818
0.7781000000000001,12.701200431579,12.7265613143386,0.3380396550553035
0.7880750000000001,12.84466198901477,12.86991720926724,0.3409883571404881
0.7980500000000001,12.98742942582337,13.01256451183325,0.3438899623176243
0.8080250000000001,13.12949673810191,13.15449715302725,0.3467442218026396
0.8180000000000001,13.27085801659472,13.29570916226985,0.3495508981054314
0.8279750000000001,13.41150744725898,13.43619466798537,0.3523097650744405
0.8379500000000001,13.5514393118096,13.57594789815395,0.3550206079142244
0.8479250000000002,13.69064798824438,13.71496318084207,0.3576832231913303
0.8579000000000001,13.82912795134878,13.85323494471071,0.3602974189121124
0.8678750000000002,13.96687377317861,13.99075771950143,0.3628630145337232
0.8778500000000001,14.10388012352233,14.12752613650052,0.3653798409547626
0.8878250000000001,14.2401417703433,14.26353492898114,0.3678477405356569
0.8978000000000002,14.37565358020056,14.3987789326234,0.3702665671137443
0.9077750000000001,14.51041051864772,14.53325308591171,0.3726361860182512
0.9177500000000002,14.64440765061153,14.66695243050984,0.3749564740999703
0.9277250000000001,14.77764014075003,14.79987211161371,0.3772273196835554
0.9377000000000001,14.91010325378832,14.93200737828194,0.3794486225868313
0.9476750000000002,15.04179235483306,15.06335358374413,0.3816202941082026
0.9576500000000001,15.17270290966659,15.19390618568615,0.3837422570452649
0.9676250000000002,15.30283048502,15.32366074651304,0.3858144456584322
0.9776000000000001,15.43217074882356,15.45261293358964,0.3878368056826708
0.9875750000000001,15.56071947043652,15.58075851945874,0.3898092942482158
0.9975500000000002,15.68847252085638,15.70809338203702,0.3917318799244888
1.007525,15.81542587290634,15.83461350478786,0.3936045426606287
1.0175,15.94157560140068,15.96031497687198,0.3954272738044109
1.027475,16.06691788328973,16.08519399327569,0.3972000760146732
1.03745,16.19144899778426,16.20924685491697,0.398922963224572
