theta_radians,theta_over_pi_half,lambda_min_B_over_E,lambda_max_B_over_E,D_matrix,D_formula,E_s_over_E,E_a_over_E,virial_over_E,entropy_change
3.6521014597981349e-01,2.3250000000000004e-01,3.2975635460040759e-02,9.6702436453995944e-01,1.4644996332729865e+00,1.4644996332729865e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.4493827916111379e-01
3.6913713679680071e-01,2.3500000000000001e-01,3.3680488428452948e-02,9.6631951157154705e-01,1.4621260563717304e+00,1.4621260563717304e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.4731185606236985e-01
3.7306412761378799e-01,2.3750000000000004e-01,3.4392532620598222e-02,9.6560746737940173e-01,1.4597437626674183e+00,1.4597437626674183e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.4969414976668194e-01
3.7699111843077521e-01,2.4000000000000002e-01,3.5111757055874299e-02,9.6488824294412567e-01,1.4573529445293627e+00,1.4573529445293625e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.5208496790473758e-01
3.8091810924776243e-01,2.4249999999999999e-01,3.5838150642950643e-02,9.6416184935704929e-01,1.4549537926678922e+00,1.4549537926678922e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.5448411976620813e-01
3.8484510006474970e-01,2.4500000000000002e-01,3.6571702179939596e-02,9.6342829782006045e-01,1.4525464961667818e+00,1.4525464961667818e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.5689141626731851e-01
3.8877209088173692e-01,2.4750000000000003e-01,3.7312400354568960e-02,9.6268759964543116e-01,1.4501312425146193e+00,1.4501312425146193e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.5930666991948095e-01
3.9269908169872420e-01,2.5000000000000006e-01,3.8060233744356638e-02,9.6193976625564337e-01,1.4477082176351472e+00,1.4477082176351472e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.6172969479895305e-01
3.9662607251571141e-01,2.5250000000000000e-01,3.8815190816786596e-02,9.6118480918321336e-01,1.4452776059166288e+00,1.4452776059166288e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.6416030651747149e-01
4.0055306333269863e-01,2.5500000000000000e-01,3.9577259929486866e-02,9.6042274007051320e-01,1.4428395902402695e+00,1.4428395902402695e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.6659832219383075e-01
4.0448005414968591e-01,2.5750000000000001e-01,4.0346429330409050e-02,9.5965357066959101e-01,1.4403943520077369e+00,1.4403943520077369e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.6904356042636337e-01
4.0840704496667313e-01,2.6000000000000001e-01,4.1122687158009423e-02,9.5887731284199051e-01,1.4379420711678148e+00,1.4379420711678148e+00,0.0000000000000000e+00,1.0000000000000000e+00,3.0000000000000000e+00,1.7149584126628548e-01
