z,virial_over_E,sharp_lower_bound,local_quadratic
1.4000000000000001e-01,2.1400000000000001e+00,1.6262725383719515e-01,1.4083333333333337e-01
1.4200000000000002e-01,2.1419999999999999e+00,1.5982414967526359e-01,1.3867499999999999e-01
1.4400000000000002e-01,2.1440000000000001e+00,1.5705387746770466e-01,1.3653333333333334e-01
1.4599999999999999e-01,2.1459999999999999e+00,1.5431605683250141e-01,1.3440833333333335e-01
1.4799999999999999e-01,2.1480000000000001e+00,1.5161031815952794e-01,1.3230000000000003e-01
1.4999999999999999e-01,2.1499999999999999e+00,1.4893630217622447e-01,1.3020833333333334e-01
1.5200000000000000e-01,2.1520000000000001e+00,1.4629365953646239e-01,1.2813333333333338e-01
1.5400000000000000e-01,2.1539999999999999e+00,1.4368205043107468e-01,1.2607500000000005e-01
1.5600000000000000e-01,2.1560000000000001e+00,1.4110114421864284e-01,1.2403333333333337e-01
1.5800000000000000e-01,2.1579999999999999e+00,1.3855061907524341e-01,1.2200833333333337e-01
1.6000000000000000e-01,2.1600000000000001e+00,1.3603016166195397e-01,1.2000000000000004e-01
1.6200000000000001e-01,2.1619999999999999e+00,1.3353946680900808e-01,1.1800833333333335e-01
1.6400000000000001e-01,2.1640000000000001e+00,1.3107823721557166e-01,1.1603333333333336e-01
1.6600000000000001e-01,2.1659999999999999e+00,1.2864618316418977e-01,1.1407500000000002e-01
1.6800000000000001e-01,2.1680000000000001e+00,1.2624302224901829e-01,1.1213333333333335e-01
1.7000000000000001e-01,2.1699999999999999e+00,1.2386847911702023e-01,1.1020833333333335e-01
1.7200000000000001e-01,2.1720000000000002e+00,1.2152228522136677e-01,1.0830000000000001e-01
1.7400000000000002e-01,2.1739999999999999e+00,1.1920417858633020e-01,1.0640833333333335e-01
1.7599999999999999e-01,2.1760000000000002e+00,1.1691390358301010e-01,1.0453333333333337e-01
1.7799999999999999e-01,2.1779999999999999e+00,1.1465121071527798e-01,1.0267500000000004e-01
1.7999999999999999e-01,2.1800000000000002e+00,1.1241585641536625e-01,1.0083333333333337e-01
1.8200000000000000e-01,2.1819999999999999e+00,1.1020760284856351e-01,9.9008333333333365e-02
1.8400000000000000e-01,2.1840000000000002e+00,1.0802621772652060e-01,9.7200000000000022e-02
1.8600000000000000e-01,2.1859999999999999e+00,1.0587147412869560e-01,9.5408333333333359e-02
1.8800000000000000e-01,2.1880000000000002e+00,1.0374315033150155e-01,9.3633333333333360e-02
1.9000000000000000e-01,2.1899999999999999e+00,1.0164102964474972e-01,9.1875000000000026e-02
1.9200000000000000e-01,2.1920000000000002e+00,9.9564900255000449e-02,9.0133333333333357e-02
1.9400000000000001e-01,2.1940000000000000e+00,9.7514555075465692e-02,8.8408333333333353e-02
1.9600000000000001e-01,2.1960000000000002e+00,9.5489791602124230e-02,8.6700000000000027e-02
