tau,E_s_over_E0,E_a_over_E0,E_over_E0,z,virial_over_E0,virial_over_E,numerical_logZ_derivative,BKM_speed_squared,D_to_uniform,entropy_lower_bound,D_to_reference,cone_direct_over_E0,cone_closed_over_E0,cone_partition_part_over_E0,cone_radial_part_over_E0
-2.1299999999999999e+00,1.1297841928131169e-02,3.3565124027784955e-04,1.1633493168409018e-02,2.8852145732918569e-02,2.3602637577095888e-02,2.0288521457329187e+00,2.0288521457328588e+00,2.8019699419524997e-02,3.9179497262512408e-01,3.9179497262512392e-01,1.3241192872034721e-01,9.3809288879237673e-01,9.3809288879237673e-01,1.5404132681840210e-03,9.3655247552419274e-01
-2.1200000000000001e+00,1.1526073474489879e-02,3.4587334237143113e-04,1.1871946816861309e-02,2.9133666761394127e-02,2.4089766976094051e-02,2.0291336667613944e+00,2.0291336667610516e+00,2.8284896222430165e-02,3.9092061858951777e-01,3.9092061858951749e-01,1.3181369874480769e-01,9.3705774719381929e-01,9.3705774719381929e-01,1.5648852212321353e-03,9.3549286197258719e-01
-2.1099999999999999e+00,1.1758915603921427e-02,3.5640675382029837e-04,1.2115322357741725e-02,2.9417851485606859e-02,2.4587051469303751e-02,2.0294178514856069e+00,2.0294178514856189e+00,2.8552441499577638e-02,3.9004083343658202e-01,3.9004083343658219e-01,1.3121265028263884e-01,9.3600599904202741e-01,9.3600599904202730e-01,1.5896835555878003e-03,9.3441631548643955e-01
-2.1000000000000001e+00,1.1996461456382161e-02,3.6726095540578113e-04,1.2363722411787941e-02,2.9704723478393820e-02,2.5094705778981666e-02,2.0297047234783938e+00,2.0297047234785204e+00,2.8822352881465979e-02,3.8915559769862962e-01,3.8915559769862951e-01,1.3060878698708156e-01,9.3493739545235055e-01,9.3493739545235055e-01,1.6148107868486175e-03,9.3332258466550200e-01
-2.0899999999999999e+00,1.2238806053380414e-02,3.7844571664198798e-04,1.2617251770022401e-02,2.9994306489242391e-02,2.5612949256686789e-02,2.0299943064892423e+00,2.0299943064886841e+00,2.9094648067471782e-02,3.8826489207181047e-01,3.8826489207181036e-01,1.3000211284847790e-01,9.3385168428350218e-01,9.3385168428350218e-01,1.6402693884441097e-03,9.3221141489505810e-01
-2.0800000000000001e+00,1.2486046335986264e-02,3.8997110456902415e-04,1.2876017440555287e-02,3.0286624444973289e-02,2.6142005985679596e-02,2.0302866244449733e+00,2.0302866244446736e+00,2.9369344824702433e-02,3.8736869742108732e-01,3.8736869742108704e-01,1.2939263219991620e-01,9.3274861010923116e-01,9.3274861010923116e-01,1.6660617888854766e-03,9.3108254832034565e-01
-2.0699999999999998e+00,1.2738281203609359e-02,4.0184749281401241e-04,1.3140128696423371e-02,3.0581701450412110e-02,2.6682104885660758e-02,2.0305817014504122e+00,2.0305817014502439e+00,2.9646460986809973e-02,3.8646699478527485e-01,3.8646699478527496e-01,1.2878034972292929e-01,9.3162791419025892e-01,9.3162791419025881e-01,1.6921903689297007e-03,9.2993572382132916e-01
-2.0600000000000001e+00,1.2995611553559897e-02,4.1408557092805214e-04,1.3409697124487949e-02,3.0879561789048538e-02,2.7233479819903948e-02,2.0308795617890483e+00,2.0308795617890083e+00,2.9926014452764872e-02,3.8555976538215386e-01,3.8555976538215392e-01,1.2816527045325485e-01,9.3048933444650994e-01,9.3048933444650994e-01,1.7186574586562319e-03,9.2877067698785365e-01
-2.0499999999999998e+00,1.3258140321409002e-02,4.2669635400754199e-04,1.3684836675416544e-02,3.1180229923683325e-02,2.7796369704840632e-02,2.0311802299236832e+00,2.0311802299235460e+00,3.0208023185589569e-02,3.8464699061365148e-01,3.8464699061365137e-01,1.2754739978665069e-01,9.2933260542966012e-01,9.2933260542966012e-01,1.7454653344543738e-03,9.2758714009520582e-01
-2.0400000000000000e+00,1.3525972522164222e-02,4.3969119260850627e-04,1.3965663714772727e-02,3.1483730497062289e-02,2.8371018622153965e-02,2.0314837304970625e+00,2.0314837304964417e+00,3.0492505211050638e-02,3.8372865207109674e-01,3.8372865207109652e-01,1.2692674348477201e-01,9.2815745829603324e-01,9.2815745829603324e-01,1.7726162159195460e-03,9.2638484208011362e-01
-2.0299999999999998e+00,1.3799215292277022e-02,4.5308178296286439e-04,1.4252297075239888e-02,3.1790088332496982e-02,2.8957675933442638e-02,2.0317900883324969e+00,2.0317900883321340e+00,3.0779478616309024e-02,3.8280473154054551e-01,3.8280473154054584e-01,1.2630330768110451e-01,9.2696362077987149e-01,9.2696362077987160e-01,1.8001122626565295e-03,9.2516350851721496e-01
