run,case,t,r,rho,vf2,vb2,vtotal2,mass_field
J479_R24,coupled_rotated,0.075,0.8,1.6283398970387157,0.40273055908779326,0.16488466290275397,0.5676152219905473,4.048689170580229
J479_R24,coupled_rotated,0.075,0.8250000000000001,1.5920254235538178,0.4227257707441892,0.17311780097006935,0.5958435717142585,4.3825061803149925
J479_R24,coupled_rotated,0.075,0.85,1.5554570211342662,0.4427450918436375,0.18137745372801084,0.6241225455716484,4.729144075026293
J479_R24,coupled_rotated,0.075,0.875,1.5186923051608365,0.46275061145481317,0.18965086666353478,0.6524014781183479,5.08820872486719
J479_R24,coupled_rotated,0.075,0.9,1.4817876400670378,0.48270552246965237,0.19792572986076212,0.6806312523304145,5.459270843656378
J479_R24,coupled_rotated,0.075,0.925,1.4447986719665344,0.5025736735006789,0.20619019823615226,0.7087638717368312,5.841862514062263
J479_R24,coupled_rotated,0.075,0.9500000000000001,1.4077794246408881,0.5223202033710577,0.2144329084656191,0.7367531118366768,6.235485792181757
J479_R24,coupled_rotated,0.075,0.975,1.370783027651079,0.5419110833866786,0.22264299271494176,0.7645540761016203,6.639609126019254
J479_R24,coupled_rotated,0.075,1.0,1.3338606560078632,0.5613137328711615,0.2308100893020436,0.7921238221732051,7.053676398188418
J479_R24,coupled_rotated,0.075,1.0250000000000001,1.2970624353212683,0.5804965594639104,0.2389243504342079,0.8194209098981183,7.477103279248484
J479_R24,coupled_rotated,0.075,1.05,1.26043624814863,0.5994295460580521,0.24697644717514802,0.8464059932332001,7.9092865246106925
J479_R24,coupled_rotated,0.075,1.0750000000000002,1.224028795199302,0.6180837972664578,0.2549575718061579,0.8730413690726158,8.349600322219304
J479_R24,coupled_rotated,0.075,1.1,1.1878842928434135,0.6364320884627858,0.2628594377524691,0.8992915262152549,8.797405643943389
J479_R24,coupled_rotated,0.075,1.1250000000000002,1.1520456673552752,0.654448426732004,0.27067427725059395,0.925122703982598,9.25204666308598
J479_R24,coupled_rotated,0.075,1.1500000000000001,1.1165531689651649,0.6721085533186856,0.2783948369349941,0.9505033902536797,9.712859950195895
J479_R24,coupled_rotated,0.075,1.175,1.0814456746465102,0.689389527290233,0.2860143715230807,0.9754038988133136,10.17917104966466
J479_R24,coupled_rotated,0.075,1.2000000000000002,1.0467592443893825,0.706270173552847,0.29352663577648913,0.9997968093293361,10.65030330567942
J479_R24,coupled_rotated,0.075,1.225,1.012528507147176,0.7227306971103307,0.30092587491398504,1.0236565720243158,11.125574697971661
J479_R24,coupled_rotated,0.075,1.2500000000000002,0.9787851847099347,0.7387530698713332,0.30820681364743097,1.0469598835187641,11.60430608562344
J479_R24,coupled_rotated,0.075,1.2750000000000001,0.9455595351398471,0.7543206828096936,0.3153646440071487,1.0696853268168423,12.085818409385427
J479_R24,coupled_rotated,0.075,1.3000000000000003,0.9128788687510223,0.7694186660166381,0.3223950121169506,1.0918136781335888,12.569440149202192
J479_R24,coupled_rotated,0.075,1.3250000000000002,0.880769023673795,0.7840335852869144,0.32929400407223286,1.1133275893591472,13.054505004036695
J479_R24,coupled_rotated,0.075,1.35,0.8492528970514733,0.7981536912209389,0.3360581310670021,1.134211822287941,13.5403583729865
J479_R24,coupled_rotated,0.075,1.3750000000000002,0.8183519282539176,0.8117686658077174,0.34268431390767934,1.1544529797153968,14.026355623037523
J479_R24,coupled_rotated,0.075,1.4000000000000001,0.7880846665442192,0.8248697978077445,0.3491698670431487,1.174039664850893,14.511867422981085
J479_R24,coupled_rotated,0.075,1.4250000000000003,0.7584682388659348,0.8374497838160675,0.3555124822318963,1.1929622660479637,14.996278704945434
J479_R24,coupled_rotated,0.075,1.4500000000000002,0.7295169729912557,0.8495028286099046,0.3617102119583517,1.2112130405682562,15.47899270427483
J479_R24,coupled_rotated,0.075,1.475,0.7012438286698784,0.8610245039934296,0.3677614527017908,1.2287859566952204,15.959430712208668
J479_R24,coupled_rotated,0.075,1.5000000000000002,0.6736590927328913,0.87201177422896,0.3736649281524694,1.2456767023814295,16.437034702569015
J479_R24,coupled_rotated,0.075,1.5250000000000001,0.6467717546366157,0.8824629147307843,0.37941967246112795,1.2618825871919124,16.911267960900375
J479_R24,coupled_rotated,0.075,1.5500000000000003,0.6205882872569115,0.8923774640729253,0.3850250135996786,1.2774024776726038,17.38161620923567
J479_R24,coupled_rotated,0.075,1.5750000000000002,0.5951139504005123,0.901756203353935,0.39048055690283456,1.2922367602567695,17.8475891818502
J479_R24,coupled_rotated,0.075,1.6,0.5703516681781068,0.910601037549875,0.3957861688527031,1.306387206402578,18.308720191474755
J479_R24,coupled_rotated,0.075,1.6250000000000002,0.546303246794818,0.9189150351549715,0.4009419611609674,1.319856996315939,18.764568704154424
J479_R24,coupled_rotated,0.075,1.6500000000000001,0.5229683565295506,0.9267022427936311,0.40594827519627785,1.3326505179899089,19.214718322969333
J479_R24,coupled_rotated,0.075,1.6750000000000003,0.5003456529602655,0.9339677835892324,0.4108056667978478,1.34477345038708,19.65878039501028
J479_R24,coupled_rotated,0.075,1.7000000000000002,0.4784318687873709,0.9407176099386303,0.415514891510051,1.3562325014486813,20.0963904209031
J479_R24,coupled_rotated,0.075,1.725,0.4572228305061592,0.9469586580045155,0.4200768902670202,1.3670355482715357,20.527212706357624
J479_R24,coupled_rotated,0.075,1.7500000000000002,0.4367126626690133,0.9526985443720892,0.4244927755508838,1.377191319922973,20.95093523659532
J479_R24,coupled_rotated,0.075,1.7750000000000001,0.4168946948015691,0.957945773125102,0.42876381804231123,1.3867095911674132,21.367275364049227
J479_R24,coupled_rotated,0.075,1.8000000000000003,0.39776077826538,0.9627093827368047,0.432891433777499,1.3956008165143037,21.775973215304955
J479_R24,coupled_rotated,0.075,1.8250000000000002,0.3793020808508649,0.9669992013953869,0.4368771718215739,1.4038763732169608,22.176798386055893
J479_R24,coupled_rotated,0.075,1.85,0.3615085142279839,0.9708254509266899,0.4407227024646253,1.4115481533913152,22.569541973664727
J479_R24,coupled_rotated,0.075,1.8750000000000002,0.34436941607513105,0.9741990453942118,0.44442980594318493,1.4186288513373966,22.95402423108484
J479_R24,coupled_rotated,0.075,1.9000000000000001,0.32787308422489664,0.9771311591127919,0.4480003616869304,1.4251315207997224,23.33008534007444
J479_R24,coupled_rotated,0.075,1.9250000000000003,0.31200734835500477,0.9796335630679769,0.4514363380876802,1.4310699011556571,23.697593958071494
J479_R24,coupled_rotated,0.075,1.9500000000000002,0.2967592053695222,0.9817181641672007,0.45473978278536076,1.4364579469525616,24.056436865058025
J479_R24,coupled_rotated,0.075,1.975,0.28211528455152685,0.9833973737033543,0.457912813463528,1.4413101871668823,24.40652832180904
J479_R24,coupled_rotated,0.075,2.0,0.2680615774737998,0.9846836249169313,0.4609576091452139,1.4456412340621452,24.74779873719359
J479_R24,coupled_rotated,0.075,2.025,0.25458380207333386,0.9855897675638535,0.46387640197830776,1.4494661695421613,25.08020474317818
J479_R24,coupled_rotated,0.075,2.0500000000000003,0.24166721945426528,0.986128570646417,0.4666714694983606,1.4528000401447776,25.403717038909857
J479_R24,coupled_rotated,0.075,2.075,0.22929690358513932,0.9863131371258166,0.46934512735560335,1.45565826448142,25.718331077588612
