run,case,t,N,T,Qg,Ea,Es,Wf,Vb,Wb,E,I,mixed_orthogonal_number_fraction,Es_tail_bound
J959_R24_tight,coupled_mixed,0.2,33.34725351587583,12.485156202670835,3.923295388454918,2.48009485429018e-28,4.553015207753751e-25,-25.150935635638312,-34.5166492487512,-11.58616465837993,-43.25913329326376,101.14491531784195,1.0218895049574773e-29,9.009519816581404e-26
J959_R24_tight,coupled_mixed,0.2025,33.34725351587585,12.485156202670836,3.923295388454918,1.5790005240355709e-28,4.5044483831906e-25,-25.150935635638326,-34.51664924875121,-11.586164658379927,-43.25913329326378,101.14491531784188,1.0132488813257658e-29,9.009519816725353e-26
J959_R24_tight,coupled_mixed,0.20500000000000002,33.34725351587584,12.485156202670835,3.923295388454917,2.498470959000705e-28,4.635850681172968e-25,-25.150935635638312,-34.51664924875119,-11.586164658379936,-43.25913329326376,101.14491531784196,1.0336555319701156e-29,9.009519819765536e-26
J959_R24_tight,coupled_mixed,0.20750000000000002,33.34725351587584,12.485156202670835,3.9232953884549158,1.8023361552192077e-28,4.835391727751711e-25,-25.15093563563832,-34.516649248751214,-11.586164658379921,-43.25913329326379,101.14491531784195,1.0709828446748696e-29,9.009519818300118e-26
J959_R24_tight,coupled_mixed,0.21,33.34725351587585,12.485156202670835,3.9232953884549158,2.371032934259852e-28,4.951995887121231e-25,-25.15093563563831,-34.51664924875122,-11.586164658379928,-43.25913329326378,101.144915317842,1.0917977982358056e-29,9.009519827640379e-26
J959_R24_tight,coupled_mixed,0.2125,33.34725351587583,12.485156202670835,3.9232953884549158,2.026788092473022e-28,5.1320865347333955e-25,-25.15093563563832,-34.516649248751214,-11.586164658379928,-43.25913329326379,101.144915317842,1.1275331240062522e-29,9.009519796584713e-26
J959_R24_tight,coupled_mixed,0.215,33.347253515875856,12.485156202670838,3.923295388454917,2.1829754419903454e-28,5.038387131549596e-25,-25.15093563563831,-34.5166492487512,-11.58616465837993,-43.25913329326376,101.14491531784184,1.1247986655141279e-29,9.009519816263282e-26
J959_R24_tight,coupled_mixed,0.2175,33.34725351587586,12.485156202670835,3.9232953884549167,2.3050065642353738e-28,5.00498927899559e-25,-25.15093563563832,-34.516649248751214,-11.586164658379928,-43.25913329326379,101.144915317842,1.1226839693315926e-29,9.009519813640851e-26
J959_R24_tight,coupled_mixed,0.22,33.34725351587585,12.485156202670836,3.9232953884549158,1.794133991371872e-28,5.016895769025803e-25,-25.150935635638316,-34.516649248751186,-11.58616465837993,-43.259133293263744,101.14491531784202,1.1089492046257942e-29,9.009519827791353e-26
J959_R24_tight,coupled_mixed,0.2225,33.34725351587585,12.485156202670838,3.9232953884549144,2.396732649584491e-28,5.2836343428148565e-25,-25.150935635638312,-34.516649248751214,-11.586164658379921,-43.25913329326377,101.1449153178419,1.1479166291860457e-29,9.009519748886729e-26
J959_R24_tight,coupled_mixed,0.225,33.34725351587583,12.485156202670835,3.9232953884549144,1.8600972653860463e-28,5.3070721268295755e-25,-25.150935635638312,-34.516649248751236,-11.586164658379927,-43.2591332932638,101.1449153178419,1.147274009651546e-29,9.009519893123201e-26
J959_R24_tight,coupled_mixed,0.2275,33.34725351587584,12.485156202670835,3.923295388454917,2.5128165921470756e-28,5.437786946174333e-25,-25.150935635638298,-34.5166492487512,-11.586164658379928,-43.259133293263744,101.14491531784195,1.167990561381993e-29,9.009519769563479e-26
J959_R24_tight,coupled_mixed,0.23,33.34725351587584,12.485156202670836,3.9232953884549153,1.9184002316716474e-28,5.299878030972068e-25,-25.150935635638316,-34.5166492487512,-11.58616465837993,-43.259133293263766,101.14491531784195,1.1549509259326435e-29,9.009519787708284e-26
J959_R24_tight,coupled_mixed,0.2325,33.34725351587585,12.485156202670835,3.923295388454914,2.4117138623446878e-28,5.488880740755014e-25,-25.15093563563832,-34.516649248751214,-11.586164658379927,-43.25913329326379,101.14491531784196,1.1705547704577284e-29,9.009519823892693e-26
J959_R24_tight,coupled_mixed,0.23500000000000001,33.347253515875856,12.485156202670835,3.9232953884549167,1.958228261414599e-28,5.52364653593679e-25,-25.150935635638316,-34.516649248751214,-11.586164658379927,-43.25913329326378,101.144915317842,1.2054774604358688e-29,9.009519821559333e-26
J959_R24_tight,coupled_mixed,0.23750000000000002,33.34725351587586,12.485156202670835,3.9232953884549167,2.365181805366346e-28,5.603115622940821e-25,-25.15093563563832,-34.516649248751214,-11.586164658379923,-43.25913329326379,101.14491531784202,1.2278135297805988e-29,9.009519906194697e-26
J959_R24_tight,coupled_mixed,0.24,33.34725351587584,12.485156202670835,3.9232953884549153,1.928020632564058e-28,5.580479771186157e-25,-25.1509356356383,-34.51664924875118,-11.58616465837993,-43.25913329326373,101.14491531784195,1.2379914738304717e-29,9.009519655259162e-26
J959_R24_tight,coupled_mixed,0.2425,33.34725351587585,12.485156202670835,3.9232953884549144,2.554181066170353e-28,5.757858827766686e-25,-25.15093563563832,-34.5166492487512,-11.58616465837993,-43.25913329326377,101.14491531784206,1.2784146311318328e-29,9.009519789833721e-26
J959_R24_tight,coupled_mixed,0.245,33.34725351587584,12.485156202670838,3.9232953884549158,1.983777786691486e-28,5.916377554199251e-25,-25.15093563563832,-34.516649248751214,-11.586164658379927,-43.25913329326378,101.14491531784195,1.2964089794295882e-29,9.009519975584793e-26
J959_R24_tight,coupled_mixed,0.2475,33.34725351587583,12.485156202670835,3.9232953884549158,2.220670612565208e-28,5.851370284925205e-25,-25.150935635638312,-34.516649248751214,-11.586164658379923,-43.25913329326377,101.14491531784188,1.2893552653911765e-29,9.009519810736668e-26
J959_R24_tight,coupled_mixed,0.25,33.34725351587583,12.485156202670836,3.9232953884549127,2.053628660670983e-28,5.934196151808549e-25,-25.150935635638312,-34.516649248751186,-11.586164658379921,-43.259133293263744,101.14491531784189,1.318591406925419e-29,9.0095195356529e-26
J959_R24_tight,coupled_mixed,0.2525,33.347253515875835,12.485156202670835,3.923295388454917,2.0773790224740365e-28,5.966830354535188e-25,-25.15093563563832,-34.5166492487512,-11.586164658379927,-43.25913329326377,101.14491531784196,1.3317899764836503e-29,9.009520059770728e-26
J959_R24_tight,coupled_mixed,0.255,33.34725351587583,12.485156202670838,3.9232953884549153,2.239620337934314e-28,6.107203473629193e-25,-25.150935635638312,-34.5166492487512,-11.586164658379923,-43.25913329326376,101.14491531784196,1.3494498913666305e-29,9.009520049752486e-26
J959_R24_tight,coupled_mixed,0.2575,33.34725351587584,12.485156202670835,3.923295388454917,2.1340306576353747e-28,6.220937966288262e-25,-25.150935635638316,-34.516649248751214,-11.586164658379923,-43.25913329326378,101.14491531784189,1.368912180310634e-29,9.009519386292014e-26
J959_R24_tight,coupled_mixed,0.26,33.34725351587584,12.485156202670835,3.9232953884549158,2.2973262377074053e-28,6.260559209992745e-25,-25.150935635638316,-34.5166492487512,-11.586164658379927,-43.259133293263766,101.14491531784198,1.3869087532068005e-29,9.009520110584081e-26
J959_R24_tight,coupled_mixed,0.2625,33.34725351587585,12.485156202670835,3.9232953884549144,2.0067102753652792e-28,6.373724601537856e-25,-25.150935635638312,-34.516649248751186,-11.586164658379921,-43.259133293263744,101.14491531784198,1.4247131758292253e-29,9.009519022029869e-26
J959_R24_tight,coupled_mixed,0.265,33.34725351587584,12.485156202670835,3.923295388454918,2.3217571108417398e-28,6.571968190107701e-25,-25.15093563563831,-34.51664924875121,-11.58616465837993,-43.25913329326376,101.14491531784196,1.453277520690992e-29,9.009520958019083e-26
J959_R24_tight,coupled_mixed,0.2675,33.347253515875835,12.485156202670836,3.9232953884549153,2.063869702660417e-28,6.679940883823588e-25,-25.15093563563832,-34.51664924875121,-11.586164658379932,-43.25913329326377,101.144915317842,1.465696641446415e-29,9.009520830816311e-26
J959_R24_tight,coupled_mixed,0.27,33.34725351587585,12.485156202670835,3.923295388454917,2.175875361630392e-28,6.690500649913538e-25,-25.1509356356383,-34.51664924875121,-11.586164658379927,-43.25913329326376,101.14491531784188,1.4758132809624556e-29,9.009517841317024e-26
J959_R24_tight,coupled_mixed,0.2725,33.34725351587583,12.485156202670835,3.9232953884549153,2.150991885215614e-28,6.727349587546274e-25,-25.150935635638298,-34.516649248751214,-11.58616465837992,-43.25913329326376,101.1449153178419,1.5034032841548168e-29,9.009519534246529e-26
J959_R24_tight,coupled_mixed,0.275,33.34725351587584,12.485156202670835,3.9232953884549153,2.5361452745673446e-28,6.930792762189778e-25,-25.15093563563831,-34.516649248751214,-11.586164658379921,-43.25913329326377,101.14491531784202,1.5459784423443362e-29,9.00952130669961e-26
J959_R24_tight,coupled_mixed,0.2775,33.34725351587585,12.485156202670835,3.9232953884549158,2.2442585532712428e-28,6.819938269771479e-25,-25.150935635638316,-34.51664924875122,-11.586164658379928,-43.25913329326379,101.14491531784186,1.521325137428441e-29,9.00951874025931e-26
J959_R24_tight,coupled_mixed,0.28,33.34725351587583,12.485156202670833,3.9232953884549153,2.266630089402369e-28,6.854589238926414e-25,-25.15093563563832,-34.516649248751214,-11.586164658379941,-43.25913329326379,101.14491531784194,1.532106560782603e-29,9.009518286032839e-26
J959_R24_tight,coupled_mixed,0.28250000000000003,33.34725351587586,12.485156202670835,3.9232953884549167,2.327848870274299e-28,6.846036594212266e-25,-25.150935635638316,-34.5166492487512,-11.58616465837992,-43.259133293263766,101.1449153178419,1.556335648172154e-29,9.00952112399455e-26
J959_R24_tight,coupled_mixed,0.28500000000000003,33.34725351587584,12.485156202670835,3.9232953884549158,2.2386739561480083e-28,6.942621560101831e-25,-25.1509356356383,-34.51664924875119,-11.586164658379927,-43.259133293263744,101.14491531784188,1.5559862278884516e-29,9.009524721744585e-26
J959_R24_tight,coupled_mixed,0.28750000000000003,33.34725351587584,12.485156202670835,3.9232953884549167,2.281162170251992e-28,7.121839044259877e-25,-25.15093563563831,-34.51664924875119,-11.586164658379921,-43.25913329326375,101.14491531784196,1.5894213393211633e-29,9.009516898160843e-26
J959_R24_tight,coupled_mixed,0.29,33.34725351587585,12.485156202670831,3.9232953884549153,2.245145893421543e-28,7.238285993461872e-25,-25.150935635638294,-34.516649248751214,-11.586164658379932,-43.25913329326376,101.14491531784194,1.6074991607829602e-29,9.009520691119162e-26
J959_R24_tight,coupled_mixed,0.2925,33.34725351587586,12.485156202670835,3.923295388454913,2.3649707234408724e-28,7.333324101942689e-25,-25.15093563563831,-34.516649248751214,-11.586164658379928,-43.25913329326377,101.14491531784186,1.6433513592546078e-29,9.009519568679776e-26
J959_R24_tight,coupled_mixed,0.295,33.34725351587585,12.485156202670835,3.9232953884549184,2.186279922376212e-28,7.474110480561305e-25,-25.15093563563831,-34.51664924875119,-11.586164658379927,-43.259133293263744,101.14491531784194,1.6949755534081436e-29,9.009526137207106e-26
J959_R24_tight,coupled_mixed,0.2975,33.34725351587584,12.485156202670835,3.923295388454917,2.3672692542801557e-28,7.481538545903332e-25,-25.150935635638312,-34.516649248751186,-11.58616465837993,-43.259133293263744,101.14491531784189,1.693485266287128e-29,9.00950828779489e-26
J959_R24_tight,coupled_mixed,0.3,33.34725351587582,12.485156202670835,3.9232953884549167,2.5991877719162957e-28,7.70713899204226e-25,-25.15093563563831,-34.516649248751214,-11.58616465837993,-43.25913329326377,101.14491531784198,1.7643767242593034e-29,9.009515919883283e-26
J959_R24_tight,coupled_rotated,0.0,33.34725351587585,12.485156202670831,3.923295388454913,0.4214580392922749,3.354986247683471e-29,-25.150935635638294,-34.516649248751186,-11.586164658379923,-42.83767525397146,101.1449153178419,0.03946950299855739,9.009519815028827e-26
J959_R24_tight,coupled_rotated,0.0025,33.3472535158758,12.485155644471922,3.923294309179384,0.4214573273134928,5.962352200027116e-07,-25.150933988385518,-34.516648546550776,-11.586165450398154,-42.8376752539715,101.14492321859814,0.03946942057648073,9.009519815028799e-26
J959_R24_tight,coupled_rotated,0.005,33.34725351587583,12.485153969990474,3.9232910714093343,0.42145519127607944,2.3850508163275728e-06,-25.15092904667881,-34.516646439968554,-11.58616782641268,-42.837675253971476,101.14494692079602,0.03946917331498765,9.009519815028849e-26
J959_R24_tight,coupled_rotated,0.0075,33.34725351587583,12.485151179572203,3.923285675314393,0.42145163087691906,5.366776506043834e-06,-25.15092081067288,-34.516642929062094,-11.586171786303067,-42.837675253971454,101.14498642422471,0.039468761228288254,9.009519815028832e-26
J959_R24_tight,coupled_rotated,0.01,33.34725351587582,12.48514727379303,3.9232781211772334,0.4214466456111177,9.541961511442323e-06,-25.150909280625694,-34.516638013927185,-11.586177329868692,-42.8376752539715,101.14504172853188,0.03946818434006203,9.009519815028871e-26
J959_R24_tight,coupled_rotated,0.0125,33.34725351587578,12.485142253458633,3.9232684093935597,0.42144023477245435,1.491137410119418e-05,-25.150894456898268,-34.51663169469791,-11.586184456828537,-42.837675253971526,101.14511283322472,0.03946744268345292,9.009519815028839e-26
J959_R24_tight,coupled_rotated,0.015,33.34725351587581,12.485136119603823,3.9232565404720097,0.42143239745400524,2.1476000948767404e-05,-25.15087633995481,-34.516623971546544,-11.586193166821536,-42.83767525397151,101.14519973766973,0.03946653630106155,9.00951981502887e-26
J959_R24_tight,coupled_rotated,0.0175,33.34725351587583,12.485128873491771,3.923242515034133,0.42142313254895425,2.9237046308887817e-05,-25.150854930362446,-34.51661484468393,-11.586203459406327,-42.83767525397151,101.1453024410919,0.039465465244935466,9.009519815028803e-26
J959_R24_tight,coupled_rotated,0.02,33.34725351587582,12.485120516613053,3.9232263338142688,0.42141243875156875,3.8195931013058696e-05,-25.150830228791428,-34.51660431435891,-11.58621533406151,-42.83767525397144,101.14542094257646,0.03946422957655746,9.009519815028833e-26
J959_R24_tight,coupled_rotated,0.0225,33.34725351587584,12.485111050684512,3.923207997659444,0.4214003145583653,4.835429128537568e-05,-25.15080223601507,-34.51659238085875,-11.586228790185618,-42.8376752539715,101.14555524106714,0.039462829366831355,9.009519815028802e-26
J959_R24_tight,coupled_rotated,0.025,33.34725351587578,12.485100477647958,3.923187507529275,0.4213867582694373,5.9713977380082665e-05,-25.150770952909358,-34.516579044508816,-11.586243827097192,-42.837675253971504,101.14570533536724,0.03946126469606605,9.009519815028816e-26
J959_R24_tight,coupled_rotated,0.0275,33.34725351587582,12.485088799668716,3.9231648644957944,0.4213717679899615,7.227705204254429e-05,-25.150736380453214,-34.51656430567279,-11.58626044403489,-42.837675253971526,101.14587122413934,0.0394595356539568,9.00951981502881e-26
J959_R24_tight,coupled_rotated,0.03,33.34725351587581,12.485076019133972,3.92314006974335,0.42135534163187505,8.604578879550436e-05,-25.15069851972831,-34.516548164752365,-11.586278640157524,-42.837675253971476,101.14605290590482,0.03945764233956582,9.009519815028907e-26
J959_R24_tight,coupled_rotated,0.0325,33.34725351587579,12.485062138651,3.9231131245683826,0.4213374769157195,0.00010102267005272765,-25.15065737191895,-34.51653062218765,-11.586298414544238,-42.8376752539715,101.14625037904501,0.03945558486129875,9.009519815028841e-26
J959_R24_tight,coupled_rotated,0.035,33.34725351587581,12.485047161045173,3.923084030379273,0.42131817137265204,0.00011721038506230757,-25.150612938311934,-34.516511678456645,-11.586319766194581,-42.83767525397148,101.14646364180007,0.03945336333688069,9.009519815028909e-26
J959_R24_tight,coupled_rotated,0.0375,33.34725351587583,12.485031089357863,3.9230527886961495,0.421297422346621,0.0001346118276821338,-25.150565220296635,-34.51649133407554,-11.586342694028573,-42.83767525397154,101.14669269226985,0.0394509778933295,9.009519815028893e-26
J959_R24_tight,coupled_rotated,0.04,33.347253515875835,12.485013926844161,3.923019401150661,0.42127522699670045,0.00015323009399019892,-25.15051421936458,-34.51646958959848,-11.586367196886924,-42.83767525397154,101.14693752841345,0.03944842866692685,9.009519815028861e-26
J959_R24_tight,coupled_rotated,0.0425,33.34725351587581,12.484995676970449,3.9229838694857335,0.4212515822995865,0.00017306847973262883,-25.150459937109577,-34.516446445617674,-11.586393273531124,-42.83767525397148,101.14719814804937,0.039445715803188106,9.009519815028923e-26
J959_R24_tight,coupled_rotated,0.045,33.34725351587578,12.484976343411804,3.9229461955553586,0.42122648505224786,0.0001941304776124624,-25.150402375227483,-34.5164219027634,-11.586420922643551,-42.83767525397147,101.1474745488556,0.039442839456829,9.009519815028777e-26
J959_R24_tight,coupled_rotated,0.0475,33.34725351587579,12.484955930049281,3.922906381324298,0.4211999318747257,0.00021641977442245564,-25.15034153551609,-34.51639596170373,-11.586450142827722,-42.83767525397151,101.14776672836962,0.039439799791731185,9.009519815028635e-26
J959_R24_tight,coupled_rotated,0.05,33.34725351587579,12.484934440967042,3.9228644288678325,0.4211719192130863,0.00023994024802527502,-25.1502774198749,-34.51636862314458,-11.586480932608383,-42.83767525397152,101.14807468398841,0.03943659698090554,9.009519815028535e-26
J959_R24_tight,coupled_rotated,0.0525,33.3472535158758,12.484911880449319,3.922820340371456,0.42114244334251455,0.0002646959641846469,-25.150210030305093,-34.516339887829716,-11.58651329043171,-42.83767525397152,101.14839841296836,0.03943323120645348,9.00951981502806e-26
J959_R24_tight,coupled_rotated,0.055,33.3472535158758,12.484888252977289,3.922774118130583,0.42111150037055517,0.00029069117325122493,-25.150139368909187,-34.51630975654073,-11.586547214665494,-42.83767525397149,101.14873791242591,0.03942970265952662,9.00951981502932e-26
J959_R24_tight,coupled_rotated,0.0575,33.34725351587582,12.484863563225755,3.922725764550207,0.42107908624048485,0.00031793030670698805,-25.150065437891097,-34.51627823009683,-11.58658270359931,-42.83767525397148,101.14909317933675,0.039426011540283634,9.009519815028708e-26
J959_R24_tight,coupled_rotated,0.06,33.3472535158758,12.48483781605975,3.9226752821445894,0.4210451967348184,0.0003464179735722282,-25.149988239555668,-34.516245309354986,-11.586619755444792,-42.8376752539715,101.14946421053648,0.03942215805784683,9.009519815028675e-26
J959_R24_tight,coupled_rotated,0.0625,33.347253515875806,12.484811016530992,3.9226226735368868,0.42100982747895527,0.00037615895667925825,-25.149907776308726,-34.51621099520963,-11.586658368335726,-42.837675253971526,101.14985100272034,0.039418142430255,9.009519815029316e-26
J959_R24_tight,coupled_rotated,0.065,33.34725351587579,12.4847831698742,3.922567941458809,0.42097297394493394,0.0004071582088171001,-25.149824050656683,-34.51617528859276,-11.586698540328353,-42.8376752539715,101.1502535524435,0.03941396488441635,9.009519815028179e-26
