run,t,r_initial,v_initial,delta_radius,delta_radial_speed,delta_tangential_speed,radius_jet,radial_speed_jet,tangential_speed_jet,instantaneous_delta_vc2,instantaneous_vc2_jet,baseline_radial_drift
J959_R24_tight,0.0025,1.0116885382292078,0.8969812462478036,1.0153656486646066e-13,1.6245989776954576e-10,-8.992806499463768e-14,1.0155506473842e-13,1.6248810358147198e-10,-9.004054616580656e-14,-1.97231843603423e-07,-1.9726482239037062e-07,7.331674241458311e-21
J959_R24_tight,0.005,1.0116885382292078,0.8969812462478036,1.6245951094100953e-12,1.2996707882360325e-09,-1.4405143744511406e-12,1.62488103581472e-12,1.2999048286517759e-09,-1.440648738652905e-12,-7.88912309382594e-07,-7.890592895614825e-07,1.5643160431991647e-20
J959_R24_tight,0.0075,1.0116885382292078,0.8969812462478036,8.224401453630187e-12,4.386288956209997e-09,-7.291833803435566e-12,8.225960243812018e-12,4.387178796699743e-09,-7.29328423943033e-12,-1.774996202131899e-06,-1.7753834015133352e-06,3.119833748733181e-20
J959_R24_tight,0.01,1.0116885382292078,0.8969812462478036,2.5992618492903054e-11,1.0396792347276006e-08,-2.3045454433656687e-11,2.599809657303552e-11,1.0399238629214207e-08,-2.305037981844648e-11,-3.155408198156008e-06,-3.15623715824593e-06,4.7637030816754065e-20
J959_R24_tight,0.0125,1.0116885382292078,0.8969812462478036,6.345678206375679e-11,2.0305386335387377e-08,-5.626188404050936e-11,6.34719154615125e-11,2.0311012947684002e-08,-5.6275341353629105e-11,-4.9300428405524355e-06,-4.931620559759265e-06,6.458265750097974e-20
J959_R24_tight,0.015,1.0116885382292078,0.8969812462478036,1.3157950750436434e-10,3.508591403246994e-08,-1.1666068111537697e-10,1.316153639009923e-10,3.509743037359794e-08,-1.1669254783088529e-10,-7.098764544602898e-06,-7.101533606053341e-06,8.289382711627869e-20
J959_R24_tight,0.0175,1.0116885382292078,0.8969812462478036,2.4375747043706977e-10,5.571176547036668e-08,-2.161197887318167e-10,2.438337104369465e-10,5.57334195284449e-08,-2.161873513441016e-10,-9.6614075914834e-06,-9.665976297128161e-06,1.0738070861839657e-19
J959_R24_tight,0.02,1.0116885382292078,0.8969812462478036,4.158201609336959e-10,8.315578706833272e-08,-3.6867375818872006e-10,4.159695451685683e-10,8.319390903371366e-08,-3.688060770951437e-10,-1.2617776131184547e-05,-1.262494863298372e-05,1.3429916507735618e-19
J959_R24_tight,0.0225,1.0116885382292078,0.8969812462478036,6.66028411200122e-10,1.1839019101595391e-07,-5.905127498095908e-10,6.663027797487734e-10,1.1845382751089306e-07,-5.907560233938568e-10,-1.5967644180602108e-05,-1.5978450613620018e-05,1.582567336753588e-19
J959_R24_tight,0.025,1.0116885382292078,0.8969812462478036,1.0150726967547284e-09,1.6238646468556062e-07,-8.999816447641251e-10,1.0155506473842e-09,1.6248810358147202e-07,-9.004054616580657e-10,-1.971075562263846e-05,-1.972648223903706e-05,1.8744876464122332e-19
