z,variance,cubic,maximum_block_entropy
0.486,0.249804,0.0069945120000000065,1.5943113754500842
0.487,0.249831,0.006495606000000005,1.5939599234877446
0.488,0.249856,0.0059965440000000056,1.5936044688168987
0.489,0.249879,0.005497338000000004,1.5932450118380488
0.49,0.2499,0.004998000000000005,1.5928815529195872
0.491,0.249919,0.004498542000000004,1.5925140923978125
0.492,0.249936,0.003998976000000003,1.5921426305769455
0.493,0.249951,0.0034993140000000034,1.5917671677291456
0.494,0.249964,0.0029995680000000024,1.5913877040945223
0.495,0.249975,0.0024997500000000024,1.591004239881147
0.496,0.249984,0.001999872000000002,1.5906167752650633
0.497,0.249991,0.0014999460000000013,1.590225310390296
0.498,0.249996,0.0009999840000000009,1.5898298453688557
0.499,0.249999,0.0004999980000000004,1.5894303802807475
0.5,0.25,0.0,1.5890269151739727
0.501,0.249999,-0.0004999980000000004,1.5886194500645314
0.502,0.249996,-0.0009999840000000009,1.588207984936423
0.503,0.249991,-0.0014999460000000013,1.587792519741647
0.504,0.249984,-0.001999872000000002,1.587373054400198
0.505,0.249975,-0.0024997500000000024,1.5869495888000653
0.506,0.249964,-0.0029995680000000024,1.5865221227972244
0.507,0.249951,-0.0034993140000000034,1.5860906562156314
0.508,0.249936,-0.003998976000000003,1.5856551888472148
0.509,0.249919,-0.004498542000000004,1.5852157204518653
0.51,0.2499,-0.004998000000000005,1.584772250757424
0.511,0.249879,-0.005497338000000004,1.5843247794596693
0.512,0.249856,-0.0059965440000000056,1.5838733062223027
0.513,0.249831,-0.006495606000000005,1.5834178306769324
0.514,0.249804,-0.0069945120000000065,1.5829583524230553
0.515,0.249775,-0.007493250000000007,1.5824948710280387
0.516,0.249744,-0.007991808000000006,1.582027386027098
0.517,0.249711,-0.008490174000000007,1.5815558969232753
0.518,0.249676,-0.008988336000000008,1.581080403187416
0.519,0.249639,-0.009486282000000009,1.580600904258142
0.52,0.2496,-0.009984000000000008,1.5801173995418258
0.521,0.249559,-0.01048147800000001,1.5796298884125606
0.522,0.249516,-0.01097870400000001,1.5791383702121315
0.523,0.249471,-0.01147566600000001,1.5786428442499834
0.524,0.249424,-0.01197235200000001,1.5781433098031865
0.525,0.24937499999999999,-0.012468750000000011,1.5776397661164032
0.526,0.249324,-0.012964848000000011,1.5771322124018505
0.527,0.249271,-0.013460634000000011,1.576620647839262
0.528,0.249216,-0.013956096000000012,1.5761050715758476
0.529,0.249159,-0.014451222000000012,1.5755854827262545
0.53,0.2491,-0.014946000000000013,1.5750618803725218
0.531,0.249039,-0.015440418000000015,1.574534263564037
0.532,0.248976,-0.015934464000000013,1.5740026313174897
0.533,0.248911,-0.016428126000000015,1.573466982616825
0.534,0.248844,-0.016921392000000014,1.572927316413192
0.535,0.248775,-0.017414250000000017,1.5723836316248945
0.536,0.248704,-0.017906688000000018,1.571835927137338
0.537,0.248631,-0.018398694000000014,1.5712842018029756
0.538,0.248556,-0.018890256000000015,1.570728454441251
0.539,0.248479,-0.019381362000000017,1.5701686838385418
0.54,0.2484,-0.019872000000000018,1.5696048887481004
0.541,0.24831899999999998,-0.020362158000000016,1.569037067889993
0.542,0.24823599999999998,-0.02085182400000002,1.5684652199510367
0.543,0.248151,-0.02134098600000002,1.567889343584735
0.544,0.248064,-0.02182963200000002,1.5673094374112124
0.545,0.247975,-0.02231775000000002,1.5667255000171467
0.546,0.247884,-0.02280532800000002,1.5661375299556988
0.547,0.24779099999999998,-0.02329235400000002,1.5655455257464426
0.548,0.247696,-0.023778816000000022,1.5649494858752917
0.549,0.24759899999999999,-0.02426470200000002,1.5643494087944243
0.55,0.2475,-0.024750000000000022,1.5637452929222078
0.551,0.247399,-0.025234698000000024,1.5631371366431202
0.552,0.247296,-0.025718784000000022,1.56252493830767
0.553,0.247191,-0.026202246000000023,1.5619086962323154
0.554,0.247084,-0.026685072000000025,1.56128840869938
0.555,0.246975,-0.027167250000000025,1.5606640739569675
0.556,0.246864,-0.027648768000000025,1.560035690218876
0.557,0.246751,-0.028129614000000025,1.559403255664507
0.558,0.246636,-0.028609776000000024,1.558766768438777
0.559,0.246519,-0.029089242000000026,1.5581262266520233
0.56,0.24639999999999998,-0.029568000000000025,1.5574816283799104
0.561,0.246279,-0.030046038000000025,1.5568329716633338
0.562,0.24615599999999999,-0.030523344000000025,1.5561802545083205
0.5630000000000001,0.246031,-0.03099990600000003,1.5555234748859317
0.5640000000000001,0.24590399999999998,-0.031475712000000024,1.554862630732158
0.5650000000000001,0.245775,-0.03195075000000003,1.5541977199478172
0.5660000000000001,0.245644,-0.032425008000000026,1.5535287403984483
0.5670000000000001,0.24551099999999998,-0.032898474000000025,1.552855689914204
0.5680000000000001,0.24537599999999998,-0.03337113600000003,1.5521785662897398
0.5690000000000001,0.24523899999999998,-0.03384298200000003,1.5514973672841037
0.5700000000000001,0.24509999999999998,-0.034314000000000025,1.5508120906206218
0.5710000000000001,0.24495899999999998,-0.03478417800000003,1.5501227339867838
0.5720000000000001,0.24481599999999998,-0.035253504000000026,1.5494292950341233
0.5730000000000001,0.244671,-0.03572196600000003,1.5487317713781001
0.5740000000000001,0.244524,-0.03618955200000003,1.5480301605979774
0.5750000000000001,0.24437499999999998,-0.03665625000000003,1.5473244602366985
0.5760000000000001,0.244224,-0.03712204800000003,1.5466146678007604
0.5770000000000001,0.24407099999999998,-0.03758693400000003,1.5459007807600869
0.578,0.243916,-0.03805089599999998,1.5451827965478966
0.579,0.243759,-0.03851392199999998,1.5444607125605727
0.58,0.2436,-0.03897599999999998,1.543734526157528
0.581,0.24343900000000002,-0.039437117999999986,1.5430042346610673
0.582,0.24327600000000002,-0.03989726399999999,1.5422698353562503
0.583,0.243111,-0.04035642599999998,1.5415313254907494
0.584,0.242944,-0.04081459199999998,1.5407887022747087
0.585,0.24277500000000002,-0.04127174999999999,1.5400419628805948
0.586,0.24260400000000001,-0.041727887999999984,1.5392911044430528
0.587,0.242431,-0.04218299399999999,1.538536124058755
0.588,0.242256,-0.042637055999999986,1.5377770187862487
0.589,0.24207900000000002,-0.043090061999999985,1.5370137856458008
0.59,0.2419,-0.043541999999999983,1.5362464216192433
0.591,0.24171900000000002,-0.04399285799999999,1.5354749236498115
0.592,0.241536,-0.044442623999999986,1.5346992886419841
0.593,0.241351,-0.04489128599999999,1.533919513461318
0.594,0.24116400000000002,-0.04533883199999999,1.5331355949342826
0.595,0.240975,-0.045785249999999986,1.532347529848091
0.596,0.240784,-0.046230527999999986,1.5315553149505274
0.597,0.240591,-0.04667465399999999,1.530758946949776
0.598,0.240396,-0.04711761599999999,1.5299584225142402
0.599,0.240199,-0.04755940199999999,1.5291537382723677
0.6,0.24,-0.04799999999999999,1.5283448908124675
0.601,0.239799,-0.048439397999999995,1.5275318766825245
0.602,0.239596,-0.04887758399999999,1.5267146923900152
0.603,0.239391,-0.04931454599999999,1.5258933344017163
0.604,0.239184,-0.04975027199999999,1.525067799143513
0.605,0.238975,-0.05018474999999999,1.5242380830002051
0.606,0.238764,-0.05061796799999999,1.5234041823153088
0.607,0.238551,-0.051049913999999995,1.5225660933908558
0.608,0.238336,-0.05148057599999999,1.521723812487192
0.609,0.238119,-0.051909941999999994,1.5208773358227694
0.61,0.2379,-0.052337999999999996,1.5200266595739387
0.611,0.237679,-0.05276473799999999,1.519171779874738
0.612,0.237456,-0.053190143999999995,1.5183126928166764
0.613,0.237231,-0.053614206,1.5174493944485188
0.614,0.237004,-0.05403691199999999,1.5165818807760636
0.615,0.236775,-0.05445825,1.5157101477619204
0.616,0.236544,-0.054878208,1.5148341913252823
0.617,0.236311,-0.05529677399999999,1.5139540073416977
0.618,0.236076,-0.055713936,1.5130695916428365
0.619,0.235839,-0.05612968199999999,1.512180940016255
0.62,0.2356,-0.056544,1.5112880482051558
0.621,0.235359,-0.056956878,1.510390911908147
0.622,0.235116,-0.057368303999999995,1.5094895267789945
0.623,0.234871,-0.057778266,1.5085838884263767
0.624,0.234624,-0.058186752,1.507673992413629
0.625,0.234375,-0.05859375,1.506759834258489
0.626,0.234124,-0.058999248,1.5058414094328394
0.627,0.233871,-0.059403234,1.5049187133624433
0.628,0.233616,-0.059805696,1.5039917414266801
0.629,0.233359,-0.060206622,1.503060488958276
0.63,0.2331,-0.060606,1.5021249512430288
0.631,0.232839,-0.061003818,1.501185123519535
0.632,0.232576,-0.061400064000000004,1.5002410009789064
0.633,0.232311,-0.061794726,1.499292578764488
0.634,0.232044,-0.062187792000000006,1.4983398519715694
0.635,0.231775,-0.06257925,1.4973828156470939
0.636,0.231504,-0.062969088,1.4964214647893628
0.637,0.231231,-0.06335729400000001,1.4954557943477371
0.638,0.230956,-0.063743856,1.4944857992223328
0.639,0.230679,-0.064128762,1.493511474263715
0.64,0.2304,-0.064512,1.4925328142725862
0.641,0.230119,-0.064893558,1.4915498139994718
0.642,0.22983599999999998,-0.065273424,1.4905624681443994
0.643,0.229551,-0.06565158600000001,1.4895707713565765
0.644,0.229264,-0.066028032,1.4885747182340623
0.645,0.22897499999999998,-0.06640275000000001,1.4875743033234348
0.646,0.228684,-0.066775728,1.4865695211194554
0.647,0.22839099999999998,-0.06714695400000001,1.4855603660647279
0.648,0.228096,-0.06751641600000001,1.484546832549352
0.649,0.227799,-0.06788410200000002,1.4835289149105746
0.65,0.22749999999999998,-0.06825,1.4825066074324353
0.651,0.22719899999999998,-0.06861409800000001,1.4814799043454063
0.652,0.226896,-0.068976384,1.4804487998260285
0.653,0.226591,-0.06933684600000001,1.4794132879965458
0.654,0.22628399999999999,-0.06969547200000001,1.4783733629245268
0.655,0.22597499999999998,-0.07005225000000001,1.4773290186224899
0.656,0.225664,-0.07040716800000002,1.4762802490475195
0.657,0.225351,-0.07076021400000002,1.475227048100876
0.658,0.22503599999999999,-0.071111376,1.4741694096276048
0.659,0.224719,-0.07146064200000002,1.4731073274161348
0.66,0.2244,-0.07180800000000001,1.472040795197877
0.661,0.224079,-0.07215343800000001,1.4709698066468129
0.662,0.22375599999999998,-0.07249694400000001,1.4698943553790822
0.663,0.223431,-0.07283850600000001,1.4688144349525611
0.664,0.223104,-0.07317811200000002,1.4677300388664367
0.665,0.222775,-0.07351575000000002,1.4666411605607772
0.666,0.22244399999999998,-0.07385140800000001,1.465547793416092
0.667,0.22211099999999998,-0.074185074,1.4644499307528922
0.668,0.221776,-0.07451673600000001,1.4633475658312394
0.669,0.221439,-0.07484638200000002,1.4622406918502922
0.67,0.2211,-0.07517400000000002,1.4611293019478453
0.671,0.22075899999999998,-0.07549957800000001,1.4600133891998626
0.672,0.22041599999999997,-0.075823104,1.4588929466200045
0.673,0.220071,-0.07614456600000001,1.4577679671591484
0.674,0.21972399999999997,-0.07646395200000002,1.4566384437049023
0.675,0.219375,-0.07678125000000001,1.4555043690811136
0.676,0.219024,-0.07709644800000001,1.454365736047369
0.677,0.21867099999999998,-0.07740953400000002,1.4532225372984913
0.678,0.21831599999999998,-0.07772049600000001,1.4520747654640236
0.679,0.21795899999999999,-0.07802932200000001,1.4509224131077132
0.68,0.2176,-0.07833600000000002,1.4497654727269842
0.681,0.217239,-0.07864051800000002,1.4486039367524035
0.682,0.21687599999999999,-0.07894286400000002,1.447437797547141
0.683,0.21651099999999998,-0.07924302600000002,1.446267047406423
0.684,0.21614399999999998,-0.07954099200000002,1.4450916785569736
0.685,0.21577499999999997,-0.07983675000000001,1.4439116831564554
0.686,0.21540399999999998,-0.08013028800000002,1.4427270532928973
0.687,0.21503099999999997,-0.08042159400000001,1.441537780984116
0.6880000000000001,0.21465599999999999,-0.08071065600000002,1.4403438581771308
0.6890000000000001,0.21427899999999997,-0.080997462,1.4391452767475688
0.6900000000000001,0.21389999999999998,-0.08128200000000002,1.4379420284990632
0.6910000000000001,0.213519,-0.08156425800000001,1.4367341051626419
0.6920000000000001,0.21313599999999996,-0.08184422400000001,1.4355214983961087
0.6930000000000001,0.21275099999999997,-0.08212188600000002,1.434304199783416
0.6940000000000001,0.21236399999999997,-0.08239723200000001,1.4330822008340296
0.6950000000000001,0.21197499999999997,-0.08267025000000001,1.4318554929822813
0.6960000000000001,0.21158399999999997,-0.08294092800000001,1.4306240675867168
0.6970000000000001,0.21119099999999996,-0.08320925400000001,1.429387915929432
0.6980000000000001,0.21079599999999998,-0.08347521600000002,1.4281470292154013
0.6990000000000001,0.21039899999999997,-0.08373880200000001,1.4269013985717947
0.7000000000000001,0.20999999999999996,-0.08400000000000002,1.425651015047288
0.7010000000000001,0.20959899999999998,-0.08425879800000002,1.4243958696113603
0.7020000000000001,0.20919599999999997,-0.08451518400000002,1.4231359531535852
0.7030000000000001,0.20879099999999998,-0.08476914600000002,1.421871256482908
0.7040000000000001,0.20838399999999996,-0.085020672,1.4206017703269151
0.705,0.20797500000000002,-0.08526974999999999,1.4193274853310944
0.706,0.20756400000000003,-0.085516368,1.4180483920580813
0.707,0.20715100000000003,-0.085760514,1.4167644809868971
0.708,0.206736,-0.08600217599999999,1.4154757425121747
0.709,0.206319,-0.08624134199999998,1.4141821669433756
0.71,0.20590000000000003,-0.086478,1.412883744503993
0.711,0.20547900000000002,-0.086712138,1.4115804653307449
0.712,0.20505600000000002,-0.08694374399999999,1.4102723194727544
0.713,0.204631,-0.08717280599999999,1.4089592968907212
0.714,0.20420400000000002,-0.08739931199999999,1.4076413874560765
0.715,0.203775,-0.08762324999999999,1.4063185809501284
0.716,0.20334400000000002,-0.087844608,1.404990867063196
0.717,0.202911,-0.08806337399999999,1.403658235393729
0.718,0.20247600000000002,-0.08827953599999999,1.4023206754474118
0.719,0.20203900000000002,-0.088493082,1.4009781766362615
0.72,0.2016,-0.08870399999999999,1.3996307282777058
0.721,0.201159,-0.088912278,1.398278319593651
0.722,0.200716,-0.089117904,1.3969209397095343
0.723,0.200271,-0.089320866,1.3955585776533643
0.724,0.199824,-0.08952115199999999,1.3941912223547437
