galaxy,ml_disk,ml_bulge,n,Q,D_Mpc,inclination_deg,refs,baryon_invalid_rows,baryon_chi2_valid,baryon_chi2_per_valid_row,core_length_kpc,core_amplitude_kms,core_excess_amplitude_kms,core_admissible_min_amplitude_kms,core_chi2,core_reduced_chi2,core_dof,core_success,core_optimality,core_bound_hit,core_bound_distance_log,core_restart_chi2_spread,core_near_best_starts,nfw_length_kpc,nfw_amplitude_kms,nfw_excess_amplitude_kms,nfw_admissible_min_amplitude_kms,nfw_chi2,nfw_reduced_chi2,nfw_dof,nfw_success,nfw_optimality,nfw_bound_hit,nfw_bound_distance_log,nfw_restart_chi2_spread,nfw_near_best_starts
NGC3109,0.5,0.7,25,1,1.33,70.0,"Be91,JC90",0,3717.7155006018884,148.70862002407554,2.371332244061828,71.74640803269146,71.74640803269146,0.0,9.137502203590051,0.3972827045039153,23,True,1.66366386921439e-05,False,4.775474930936388,2.3092638912203256e-13,9,4999.999999998956,2333.72785531368,2333.72785531368,0.0,194.72290894783413,8.466213432514527,23,True,2.318240628070553e-06,True,2.0961010704922955e-13,3.5498715078574605e-11,9
NGC3198,0.5,0.7,43,1,13.8,73.0,"Da06,Be91,Be87",0,32639.32322843948,759.05402856836,6.18692516126964,174.10730086513823,174.10730086513823,0.0,939.2164530225812,22.907718366404417,41,True,0.006669810257260165,False,4.05066859118675,8.96534402272664e-10,9,16.30526279153809,286.5179772317962,286.5179772317962,0.0,57.08608173044198,1.3923434568400483,41,True,1.82423282736799e-05,False,3.552539090034987,8.100187187665142e-13,9
NGC3521,0.5,0.7,41,1,7.7,75.0,"Da06,Sa96",0,621.172197511499,15.150541402719488,4.372729843178808,195.61738857953887,195.61738857953887,0.0,42.7911560202331,1.0972091287239256,39,True,9.53496341517472e-05,False,3.93417971965832,2.9459101824613754e-11,9,27.957262926727292,425.00034854031645,425.00034854031645,0.0,12.745925998349334,0.3268186153422906,39,True,1.3527621326796184e-06,False,3.158250382957241,8.633094239485217e-13,9
NGC3726,0.5,0.7,12,2,18.0,53.0,"VS01,SV98",0,577.1951541212144,48.09959617676787,9.281484949697866,151.0377439884602,151.0377439884602,0.0,35.461250716017936,3.546125071601794,10,True,0.0002515180677285912,False,4.192810606207624,5.362466026781476e-11,9,141.01784360226958,485.73381823621,485.73381823621,0.0,20.425550339384518,2.0425550339384517,10,True,1.0111982554553675e-05,False,3.0246795972200795,3.9541703245049575e-12,9
NGC3741,0.5,0.7,21,1,3.21,70.0,"Ge07,Bm05",0,2576.163101584595,122.67443340879024,1.914112658865573,54.85232940314059,54.85232940314059,0.0,45.09136680143692,2.373229831654575,19,True,8.189600251548743e-05,False,4.5612771571580355,1.1930012533412082e-11,9,25.15756141494404,161.54577225206828,161.54577225206828,0.0,6.5374943402346295,0.3440786494860331,19,True,6.12426788620728e-06,False,4.125551849951746,1.944222560723574e-12,9
NGC3769,0.5,0.7,12,2,18.0,70.0,"VS01,SV98",0,645.7786633470861,53.81488861225717,6.45575531851877,134.89548794353044,134.89548794353044,0.0,21.186542335000922,2.1186542335000924,10,True,0.00028176303135512345,False,4.30584005673823,4.943956355418777e-11,9,16.793963207165497,235.67667953448017,235.67667953448017,0.0,11.053303730420492,1.1053303730420492,10,True,8.91975795455554e-06,False,3.7478795082338205,2.382094521635736e-12,9
NGC3877,0.5,0.7,13,2,18.0,76.0,"VS01,SV98",0,413.6333851622524,31.817952704788645,1.943678613023759,123.05502924150865,123.05502924150865,0.0,33.91715162287074,3.0833774202609763,11,True,0.00015727004998144993,False,4.397708724446432,7.986500349943526e-12,9,6.538039485405028,217.1067700483679,217.1067700483679,0.0,61.96962806384235,5.633602551258395,11,True,0.0004602542035206469,False,3.829951111569084,5.203233399697638e-10,9
NGC3893,0.5,0.7,10,1,18.0,49.0,"VS01,SV98",0,497.36300643692414,49.73630064369242,4.203159572392782,172.69906415332827,172.69906415332827,0.0,4.991258472488652,0.6239073090610815,8,True,3.065969286025424e-05,False,4.05878980575353,2.4451551894344448e-12,9,17.464411475525473,344.8627882865452,344.8627882865452,0.0,8.86992749140958,1.1087409364261975,8,True,2.106932971176932e-05,False,3.367193749165918,5.789146939605416e-12,9
NGC3917,0.5,0.7,17,1,18.0,79.0,"VS01,SV98",0,2678.672020846451,157.5689424027324,3.5190662683500458,133.5422512252511,133.5422512252511,0.0,25.68907929627999,1.7126052864186658,15,True,0.00010383877255910358,False,4.315922455629165,6.078693104427657e-12,9,28.534674367092546,321.13602844334,321.13602844334,0.0,64.16269632179716,4.27751308811981,15,True,2.0053269274575506e-05,False,3.4384755739880397,2.121680608979659e-11,9
NGC3949,0.5,0.7,7,2,18.0,55.0,"VS01,SV98",0,47.77888439628576,6.825554913755108,5.2112408109343935,176.37920155810627,176.37920155810627,0.0,2.2218453277466033,0.44436906554932065,5,True,1.9096136497219776e-06,False,4.037704140354231,1.4290790772975015e-12,9,4999.999999999995,3765.3491817369927,3765.3491817369927,0.0,2.7161633790821877,0.5432326758164375,5,True,1.4004368638307667e-06,True,1.7763568394002505e-15,1.4783729795908584e-12,9
NGC3953,0.5,0.7,8,1,18.0,62.0,"VS01,SV98",0,491.25615884207014,61.40701985525877,3.2500749092041388,174.4905219974191,174.4905219974191,0.0,5.5814872388571475,0.930247873142858,6,True,4.8393344044533404e-05,False,4.048469947009862,4.46576109425223e-12,9,7.174188940430402,310.8481503254239,310.8481503254239,0.0,1.6026838828929253,0.26711398048215423,6,True,2.9999217567880927e-07,False,3.4710358416551728,5.551115123125783e-14,9
NGC3972,0.5,0.7,10,1,18.0,77.0,"VS01,SV98",0,856.5091486449041,85.65091486449042,2.7500492638448772,123.70460647604243,123.70460647604243,0.0,13.756242084012957,1.7195302605016196,8,True,8.44137101341965e-05,False,4.392443854176173,7.551292924290465e-12,9,57.61563038725872,455.81954542980895,455.81954542980895,0.0,9.161337757719343,1.1451672197149179,8,True,8.083314869870559e-06,False,3.0882433744916042,2.538591559186898e-11,9
NGC3992,0.5,0.7,9,1,23.7,56.0,"VS01,SV98",0,2587.008885721497,287.445431746833,8.102720736388912,264.455630282337,264.455630282337,0.0,44.42727291330865,6.346753273329807,7,True,0.0005050650607941276,False,3.632666884154488,3.915801016773912e-11,9,11.506678732000163,451.07877170865356,451.07877170865356,0.0,2.9061469310777834,0.4151638472968262,7,True,1.997249942373269e-06,False,3.0986983876169267,2.4868995751603507e-14,9
