galaxy,r_kpc,Vbar2_kms2,Vbar_kms,Vcore_kms,Vnfw_kms
CamB,0.9811278195488723,181.1256382519067,13.458292545932665,14.648826636469865,14.202834930042542
CamB,0.9852130325814538,181.6304287915587,13.477033382445809,14.67556316314737,14.223608574716318
CamB,0.9892982456140351,182.12155945753008,13.495242104442962,14.701825971642714,14.24387242511701
CamB,0.9933834586466166,182.59795608586518,13.512881117136537,14.727581128488222,14.263590999985833
CamB,0.9974686716791981,183.05854451260788,13.529912952883617,14.752794887029461,14.282728954173725
CamB,1.0015538847117795,183.50225057380237,13.546300254084226,14.777433673821086,14.301251063791595
CamB,1.005639097744361,183.9280001054927,13.56200575525216,14.801464074492463,14.319122210685425
CamB,1.0097243107769425,184.33471894372303,13.576992264258054,14.82485281909145,14.336307366238712
CamB,1.013809523809524,184.72133292453734,13.591222642740327,14.847566766912069,14.352771574501629
CamB,1.0178947368421052,185.08676788397983,13.604659785675636,14.869572890809176,14.368479934643197
CamB,1.0219799498746867,185.42994965809447,13.617266600096162,14.89083826100069,14.383397582719509
CamB,1.0260651629072681,185.74980408292546,13.629005982936741,14.911330028355241,14.397489672747762
CamB,1.0301503759398496,186.04525699451682,13.639840797990159,14.931015407160322,14.410721357072303
CamB,1.034235588972431,186.31523422891266,13.649733851944244,14.949861657363414,14.423057766005448
CamB,1.0383208020050125,186.55866162215708,13.658647869469258,14.967836066275517,14.434463986721981
CamB,1.042406015037594,186.77446501029414,13.666545467318876,14.984905929723777,14.444905041382437
CamB,1.0464912280701755,186.961570229368,13.673389127402467,15.001038532636823,14.454345864456146
CamB,1.050576441102757,187.11890311542263,13.679141168780394,15.016201129043312,14.462751279210758
CamB,1.0546616541353384,187.24538950450219,13.683763718527961,15.03036092146104,14.470085973330512
CamB,1.0587468671679199,187.33995523265077,13.687218681406781,15.04348503965059,14.476314473620588
CamB,1.0628320802005014,187.40878396993088,13.689732793956603,15.055781552093384,14.481651709149652
CamB,1.0669172932330828,187.47290551270788,13.692074551093706,15.067950333214837,14.486824508146103
CamB,1.0710025062656643,187.53386021442236,13.694300282030563,15.080042764900902,14.491886192166799
CamB,1.0750877192982455,187.5917864570297,13.696415095090748,15.092063615269154,14.496841650433701
CamB,1.079172932330827,187.6468226224852,13.698424092664279,15.104017636193516,14.501695763078267
CamB,1.0832581453634085,187.69910709274416,13.700332371615813,15.115909563586435,14.50645340150614
CamB,1.08734335839599,187.74877824976198,13.702145023672825,15.127744117663772,14.51111942874381
CamB,1.0914285714285714,187.79597447549398,13.703867135793969,15.139526003192715,14.515698699767395
CamB,1.0955137844611529,187.84083415189548,13.705503790517716,15.151259909722983,14.520196061813811
CamB,1.0995989974937344,187.88349566092182,13.707060066291453,15.162950511801613,14.524616354674409
CamB,1.1036842105263158,187.92409738452838,13.708541037781094,15.17460246917159,14.528964410971303
CamB,1.1077694235588973,187.9627777046705,13.709951776161377,15.186220426954577,14.533245056416526
