augmented,baseline,fit_mode,region,galaxy,augmented_loss,baseline_loss,augmented_rms_kms,baseline_rms_kms
B_nfw,bar_profiled,full,all,UGC06399,0.5055589379609364,1.972548484703785,4.0633998811856795,7.23754346023403
B_nfw,bar_profiled,full,all,UGC06446,0.1888157012820317,1.0657568284965127,2.4865388317093533,5.383442471421472
B_nfw,bar_profiled,full,all,UGC06614,0.14462553703042907,7.3556286000034845,5.411304668405679,33.75406157578452
B_nfw,bar_profiled,full,all,UGC06667,1.0122663329495012,77.30838050436722,3.7166529787831246,28.642352098520618
B_nfw,bar_profiled,full,all,UGC06786,0.5982132277168103,176.4431865620751,10.519677649416531,42.305991277365735
B_nfw,bar_profiled,full,all,UGC06787,16.21510027837339,158.89162723558476,16.21747394616123,40.918839130953636
B_nfw,bar_profiled,full,all,UGC06818,2.1637784652479573,9.540012536979358,7.211954953958212,16.719468547928532
B_nfw,bar_profiled,full,all,UGC06917,0.6339664824389956,6.663429705564583,3.065312808676358,10.387002058042704
B_nfw,bar_profiled,full,all,UGC06923,0.6115239432709477,3.7837236698321064,4.45025626785935,11.610968571785586
B_nfw,bar_profiled,full,all,UGC06930,0.21858159042071165,1.0073052274457606,3.6935666583890563,7.826111826783914
B_nfw,bar_profiled,full,all,UGC06983,0.5237385298428637,5.99800013320283,4.666624976506344,15.677747378184083
B_nfw,bar_profiled,full,all,UGC07089,0.1950933559628526,2.2267042383804587,2.1505519443377206,8.799091510799355
B_nfw,bar_profiled,full,all,UGC07125,0.5136832863823819,2.8900594298907953,2.0832362994104057,4.679171357424414
B_nfw,bar_profiled,full,all,UGC07151,1.9682094981040579,3.796163214301831,3.248888479913403,5.30882420397145
B_nfw,bar_profiled,full,all,UGC07232,1.1478641875333742,4.584108548723401,3.535567988631875,7.065475362323318
B_nfw,bar_profiled,full,all,UGC07261,0.029488206583584038,0.8828664412363745,0.9719425861793818,5.318191061335799
B_nfw,bar_profiled,full,all,UGC07323,0.5120325254044122,1.0334642139162795,2.769234538591728,3.9342204037652397
B_nfw,bar_profiled,full,all,UGC07399,0.8013306412844141,17.315237577491185,2.463049793672518,14.91922671390404
B_nfw,bar_profiled,full,all,UGC07524,0.7435387106285221,1.9582846088851793,2.86305461350303,4.544275077120532
B_nfw,bar_profiled,full,all,UGC07559,0.29918206559495764,2.4495453765832407,1.7667304752410975,5.055280601445907
B_nfw,bar_profiled,full,all,UGC07577,0.14789608977234575,0.3712257601147611,1.2190951630259736,1.9314270736471575
B_nfw,bar_profiled,full,all,UGC07603,1.2451097659379582,16.736130186236647,3.2247916639824075,11.822936730291131
B_nfw,bar_profiled,full,all,UGC07690,0.23951401547187204,1.1758747133698495,2.109321289611197,4.673667324813531
B_nfw,bar_profiled,full,all,UGC07866,0.0311557593168544,1.048988931203225,0.7183954603891658,4.1685005393412515
B_nfw,bar_profiled,full,all,UGC08286,2.018304337924114,104.04873561686176,3.8281908082522196,20.74983480950935
B_nfw,bar_profiled,full,all,UGC08490,0.10490470784336109,21.500745573995243,1.195153961824998,17.110122787697247
B_nfw,bar_profiled,full,all,UGC08550,0.5839822298936063,18.280496892076318,1.6933169576291676,9.03147639557642
B_nfw,bar_profiled,full,all,UGC08699,0.6114725219079471,11.787346963785478,9.77729528825184,19.162750448917958
B_nfw,bar_profiled,full,all,UGC08837,2.9889366466017053,4.536705979341448,4.568474980394191,6.218837276795409
B_nfw,bar_profiled,full,all,UGC09037,1.5540830417178113,14.097462378200133,9.548603411277838,23.31070017917265
B_nfw,bar_profiled,full,all,UGC09133,6.517295725419324,282.50558645814436,20.052369460450848,54.02217275497011
B_nfw,bar_profiled,full,all,UGC09992,0.0073520252136908965,0.18164149572107308,0.4853107653202391,2.4122591693932907
B_nfw,bar_profiled,full,all,UGC10310,0.39619511419594333,0.29827495411380534,3.1849680101732973,2.7634964474643757
B_nfw,bar_profiled,full,all,UGC11455,4.646093438399375,23.820940818384642,13.000519672097894,30.16497590289476
B_nfw,bar_profiled,full,all,UGC11557,0.9200772225409213,1.4572571510462637,7.83857602854526,9.667978997358045
B_nfw,bar_profiled,full,all,UGC11820,0.9023072333831715,10.710949390703076,4.852875190053336,3.9562585211606653
B_nfw,bar_profiled,full,all,UGC11914,0.7407399019408847,6.136424503564361,10.071121565921745,11.536731482034348
B_nfw,bar_profiled,full,all,UGC12506,0.1506343748580581,2.5632066793548174,5.69428807950102,23.470503935659632
B_nfw,bar_profiled,full,all,UGC12632,0.2893865911009423,0.3209991204845687,2.5071033502092113,2.329306012500949
B_nfw,bar_profiled,full,all,UGC12732,0.16076497193129086,0.9129744755989557,1.4077558317166718,3.539005583364537
B_nfw,bar_profiled,full,all,UGCA442,1.4470069111245016,264.32576254430023,2.5358454112391704,17.421557572187588
B_nfw,bar_profiled,full,all,UGCA444,0.0556932845622754,6.822222109716041,0.9640634862821528,10.973646716438857
A_core,bar_fixed,inner,outer,CamB,14.421308585778412,14.421308588585172,5.696309710505691,5.696309711060016
A_core,bar_fixed,inner,outer,D631-7,2.8070239563886252,105.59993006604336,6.636630110950381,38.737628505109875
A_core,bar_fixed,inner,outer,DDO064,0.4472014433105831,13.296158180368609,4.584464024068602,21.91071732727028
A_core,bar_fixed,inner,outer,DDO154,3.804548618072696,1666.4777510831316,1.2687424458456582,30.106971835270038
A_core,bar_fixed,inner,outer,DDO161,5.906511493950853,1046.1289799942758,2.5267577645390134,34.71475574387897
A_core,bar_fixed,inner,outer,DDO168,15.80199213000389,116.43400715361193,10.544145751859833,27.88802208033832
A_core,bar_fixed,inner,outer,DDO170,54.13511490062362,900.0602097545541,7.639388121357309,33.09494707060597
A_core,bar_fixed,inner,outer,ESO079-G014,14.031986970935952,1328.0942201274468,7.791829614174514,77.87185295549267
A_core,bar_fixed,inner,outer,ESO116-G012,4.6439029843245585,570.1069359867404,7.229917565709192,62.29354980814155
A_core,bar_fixed,inner,outer,ESO563-G021,41.407075227614776,318.10008138980373,57.17154122570882,162.19333964807132
A_core,bar_fixed,inner,outer,F568-3,2.4041730964493384,28.913431538673894,18.30416578235241,60.43588673963807
A_core,bar_fixed,inner,outer,F568-V1,2.4137591650271557,23.148328476255845,22.258854650006803,71.33296961225449
A_core,bar_fixed,inner,outer,F571-8,183.3415942611473,474.0833148602542,64.87813963578567,94.14729820539381
A_core,bar_fixed,inner,outer,F574-1,4.072847632828943,133.9564920849679,9.582239971444396,54.225843481380664
A_core,bar_fixed,inner,outer,F583-1,3.5202900200237925,38.526873221435515,12.401075194647001,48.30487387263099
A_core,bar_fixed,inner,outer,F583-4,4.767337934825342,56.41948967184984,10.698774874496449,36.80532498187069
A_core,bar_fixed,inner,outer,IC2574,5.3776538322633005,145.6188618962619,5.9125610305490754,34.41164853151321
A_core,bar_fixed,inner,outer,IC4202,17.537706687001354,137.00288019231425,28.01987734551221,86.50751829363745
A_core,bar_fixed,inner,outer,KK98-251,9.988785518307118,49.802583043474385,6.321007995029627,14.114189037061164
A_core,bar_fixed,inner,outer,NGC0024,137.3536817346477,325.00295251602984,36.711036371650266,63.39148069669495
A_core,bar_fixed,inner,outer,NGC0055,0.10419933591344813,91.8129426818383,1.1332598522837258,38.52601485712391
A_core,bar_fixed,inner,outer,NGC0100,1.2322483522933259,56.810244051760904,8.13883243738295,53.129959398678416
A_core,bar_fixed,inner,outer,NGC0247,9.820274577978068,41.509624982091445,26.67748018624429,55.00816521782325
A_core,bar_fixed,inner,outer,NGC0289,4.377981282329272,106.56742094688188,19.88680348172049,87.64503994790329
A_core,bar_fixed,inner,outer,NGC0300,26.377264134562786,483.03202783172935,14.81371629697384,59.115075933318444
A_core,bar_fixed,inner,outer,NGC0801,90.71306234668668,443.32685157941705,37.165497474493264,80.1305742841308
A_core,bar_fixed,inner,outer,NGC0891,10.236557429794312,225.62380111779828,13.355242706822823,57.204733301587886
A_core,bar_fixed,inner,outer,NGC1003,134.62000208979023,1225.660422124014,23.408037051512355,74.10503628556512
A_core,bar_fixed,inner,outer,NGC1090,22.75253613843289,935.6501719526426,10.637014946065127,68.21213044688824
A_core,bar_fixed,inner,outer,NGC2403,262.95739004156763,2899.5946464743815,29.321714879293854,78.4709506715605
A_core,bar_fixed,inner,outer,NGC2683,6.660737746441227,54.39598370295218,27.40233185300382,77.74576752142465
A_core,bar_fixed,inner,outer,NGC2841,130.06673705937004,1255.0039472948588,59.52435544924607,172.02723149627894
A_core,bar_fixed,inner,outer,NGC2903,16.968616605405412,646.0147988428702,15.71733553174832,85.551931584342
A_core,bar_fixed,inner,outer,NGC2915,5.694101273358399,101.59487725660058,14.08406477383117,61.479490463011736
A_core,bar_fixed,inner,outer,NGC2955,15.175839416143805,26.12254559844945,47.22485871563462,66.99302342047716
A_core,bar_fixed,inner,outer,NGC2976,0.4092194046553372,25.08930996235173,3.0069097308252726,21.601549273558398
A_core,bar_fixed,inner,outer,NGC2998,40.4219414832335,1285.1420750367167,17.884970205587823,91.141387632244
A_core,bar_fixed,inner,outer,NGC3109,1.385537753340341,204.0652632132374,3.6928009742131414,44.67146885663472
A_core,bar_fixed,inner,outer,NGC3198,158.73918900015275,1415.761969338007,28.36958995189878,80.83854865675568
A_core,bar_fixed,inner,outer,NGC3521,42.5965357419598,54.54146625089034,53.63243253121773,63.20086900791199
A_core,bar_fixed,inner,outer,NGC3726,10.48695676165982,51.062073643319216,38.559673114587355,83.7823073117802
A_core,bar_fixed,inner,outer,NGC3741,11.816119964509705,205.32659967145,9.108443289353005,36.064349773542915
A_core,bar_fixed,inner,outer,NGC3769,12.315964058428456,45.623013973184264,36.35841502820328,69.96522996663319
A_core,bar_fixed,inner,outer,NGC3877,1.0374261145156813,24.144079808345065,6.648214643123521,28.635678138796806
A_core,bar_fixed,inner,outer,NGC3893,0.8061158252334941,35.5846156634106,11.057117404276164,74.22602377045142
A_core,bar_fixed,inner,outer,NGC3917,4.906958206738544,170.3846540291156,12.387451168090273,63.13375485915071
