augmented,baseline,fit_mode,region,sample,n_total,n_galaxies,original_baseline_failures,original_augmented_failures,augmented_median_loss,baseline_median_loss,augmented_mean_loss,baseline_mean_loss,augmented_median_rms_kms,baseline_median_rms_kms,n_informative,augmented_wins,baseline_wins,finite_ties,augmented_failures,baseline_failures,joint_failures,direction,win_fraction,win_ci_low,win_ci_high,mean_loss_reduction,median_loss_reduction,mean_rms_reduction,median_rms_reduction,ratio_of_medians_reduction,mean_fractional_loss_reduction,median_fractional_loss_reduction,mean_loss_reduction_ci_low,mean_loss_reduction_ci_high,median_loss_reduction_ci_low,median_loss_reduction_ci_high,mean_rms_reduction_ci_low,mean_rms_reduction_ci_high,median_rms_reduction_ci_low,median_rms_reduction_ci_high,ratio_of_medians_reduction_ci_low,ratio_of_medians_reduction_ci_high,mean_fractional_loss_reduction_ci_low,mean_fractional_loss_reduction_ci_high,median_fractional_loss_reduction_ci_low,median_fractional_loss_reduction_ci_high
A_core,bar_fixed,inner,outer,all_selected,131,131,0,0,8.798196176682513,141.6429426273066,59.12074934039965,557.5934313520029,12.998451833231812,56.741418356952124,131,130,1,0,0,0,0,augmented,0.9923664122137404,0.9582031369357673,0.9998067529648105,498.4726820116032,128.56872277878142,44.474301901655956,39.22758838087357,0.9378846837443043,0.8779594526853153,0.9398538960905891,355.80970073022684,662.8432283157814,95.90077598324218,193.5104797069403,40.139990804620325,49.03757034950126,34.67291734322803,44.3013596363446,0.915423291337064,0.9641549189881696,0.8421178106847999,0.9092049784271085,0.9303139793294386,0.9548633832962385
A_core,bar_fixed,inner,outer,common_finite,131,131,0,0,8.798196176682513,141.6429426273066,59.12074934039965,557.5934313520029,12.998451833231812,56.741418356952124,131,130,1,0,0,0,0,augmented,0.9923664122137404,0.9582031369357673,0.9998067529648105,498.4726820116032,128.56872277878142,44.474301901655956,39.22758838087357,0.9378846837443043,0.8779594526853153,0.9398538960905891,355.80970073022684,662.8432283157814,95.90077598324218,193.5104797069403,40.139990804620325,49.03757034950126,34.67291734322803,44.3013596363446,0.915423291337064,0.9641549189881696,0.8421178106847999,0.9092049784271085,0.9303139793294386,0.9548633832962385
A_nfw,bar_fixed,inner,outer,all_selected,131,131,0,0,2.2129571485200974,141.6429426273066,19.699822104356166,557.5934313520029,6.554981599601531,56.741418356952124,131,131,0,0,0,0,0,augmented,1.0,0.9722333948899635,1.0,537.8936092476467,130.7231411757375,53.659038227300535,47.1054523695901,0.9843765096412684,0.9391805576094114,0.985401880399603,389.5924409174577,703.5093157315448,102.92597101382312,204.61133113681123,48.219503814669864,59.34443208126311,42.23403517458127,52.76398255202358,0.9756631101443074,0.9904357018396184,0.911902517538174,0.9618488010917237,0.980359651089458,0.9909383213396507
A_nfw,bar_fixed,inner,outer,common_finite,131,131,0,0,2.2129571485200974,141.6429426273066,19.699822104356166,557.5934313520029,6.554981599601531,56.741418356952124,131,131,0,0,0,0,0,augmented,1.0,0.9722333948899635,1.0,537.8936092476467,130.7231411757375,53.659038227300535,47.1054523695901,0.9843765096412684,0.9391805576094114,0.985401880399603,389.5924409174577,703.5093157315448,102.92597101382312,204.61133113681123,48.219503814669864,59.34443208126311,42.23403517458127,52.76398255202358,0.9756631101443074,0.9904357018396184,0.911902517538174,0.9618488010917237,0.980359651089458,0.9909383213396507
B_core,bar_profiled,inner,outer,all_selected,131,131,1,0,3.890046802356268,24.45755265993821,27.802002165744863,inf,10.112435615439525,24.18496106523722,131,101,30,0,0,1,0,augmented,0.7709923664122137,0.6894959557686435,0.8398425105992696,inf,14.446015993630597,inf,11.431524426037008,0.8409470131192556,,,70.86566902536569,inf,7.670400344257375,24.231891077992106,12.73873645119136,inf,8.283866524656698,17.91288455599732,0.759320777142695,0.9080729173390376,,,,
B_core,bar_profiled,inner,outer,common_finite,131,130,1,0,3.8427995977769305,24.435334227504338,27.800352172716693,145.5973471988108,9.99164480854732,24.05069672425609,130,100,30,0,0,0,0,augmented,0.7692307692307693,0.6872385805103358,0.8385624543974659,117.79699502609412,13.750401108459933,15.123089330277029,11.325478911267762,0.842735951061742,-0.23447001337490583,0.8207924853526086,61.79470716738661,196.2850320430599,7.210433733000653,23.601868212999307,12.07043420623147,18.232927680801104,8.14336142542434,17.81015151281992,0.7606793082451843,0.9061649334830959,-0.9991377945795077,0.31654611932051113,0.5945961973031745,0.8708665321397585
C_core,bar_profiled,inner,outer,all_selected,131,131,1,0,4.038984884112868,24.45755265993821,28.836067778858123,inf,9.723032066741927,24.18496106523722,131,99,32,0,0,1,0,augmented,0.7557251908396947,0.6730062715193219,0.8265262400750777,inf,13.137682653648547,inf,11.58167594643192,0.8348573571415108,,,69.63983352923925,inf,7.832587324666115,22.989004176132887,12.730717630248874,inf,7.755028514056557,18.59515064081898,0.7612435317583282,0.9098012805206388,,,,
C_core,bar_profiled,inner,outer,common_finite,131,130,1,0,3.9790634159842386,24.435334227504338,28.842371592371602,145.5973471988108,9.530842062023698,24.05069672425609,130,98,32,0,0,0,0,augmented,0.7538461538461538,0.670634072599966,0.8251370669753683,116.75497560643923,13.049051537491156,15.05500007099316,11.323099957488406,0.8371594438227321,-0.18316362879507278,0.8344993502614462,60.770207406214844,195.44895215012656,7.202767988948312,20.81639789768203,12.070703686716444,18.06313846118471,7.23008599384795,18.5416724609077,0.7594919942761005,0.9085799751610376,-0.8763162319620823,0.3267689411609798,0.6419082132330107,0.8811082397938164
B_nfw,bar_profiled,inner,outer,all_selected,131,131,1,0,1.9707533744308783,24.45755265993821,12.095196593884666,inf,5.31644200856263,24.18496106523722,131,116,15,0,0,1,0,augmented,0.8854961832061069,0.818182975063905,0.9344777145451553,inf,19.299006840009696,inf,15.917684784817233,0.9194214808884374,,,82.71294263457621,inf,12.20550099420705,38.670816593224224,17.351873988066295,inf,10.993971371714341,20.5027314873096,0.86422503037203,0.9569669336776369,,,,
B_nfw,bar_profiled,inner,outer,common_finite,131,130,1,0,2.08531800810915,24.435334227504338,12.181971490518222,145.5973471988108,5.4731825906234075,24.05069672425609,130,115,15,0,0,0,0,augmented,0.8846153846153846,0.8168391407147355,0.9339620342185204,133.4153757082926,19.1595902309222,19.983563370823237,15.658764202499007,0.9146597305077202,-0.017555921572058635,0.9223183941465439,72.86447216707664,218.9122398210542,11.938452777057332,36.49033389918387,16.573436587084306,23.445338963413935,10.87867159191706,20.35547022738593,0.8597910226658807,0.9546550219357405,-1.1693080609343085,0.6713615998463279,0.8686932843210234,0.948094741384335
