galaxy,ml_disk,ml_bulge,n,Q,D_Mpc,inclination_deg,refs,baryon_invalid_rows,baryon_chi2_valid,baryon_chi2_per_valid_row,core_length_kpc,core_amplitude_kms,core_excess_amplitude_kms,core_admissible_min_amplitude_kms,core_chi2,core_reduced_chi2,core_dof,core_success,core_optimality,core_bound_hit,core_bound_distance_log,core_restart_chi2_spread,core_near_best_starts,nfw_length_kpc,nfw_amplitude_kms,nfw_excess_amplitude_kms,nfw_admissible_min_amplitude_kms,nfw_chi2,nfw_reduced_chi2,nfw_dof,nfw_success,nfw_optimality,nfw_bound_hit,nfw_bound_distance_log,nfw_restart_chi2_spread,nfw_near_best_starts
NGC3198,0.5,0.7,43,1,13.8,73.0,"Da06,Be91,Be87",0,32639.32322843948,759.05402856836,6.186925151041532,174.10730085495993,174.10730085495993,0.0,939.2164530225837,22.90771836640448,41,True,0.004473626736302138,False,2.8466957869192724,9.373479770147242e-10,9,16.305262854419784,286.5179773893248,286.5179773893248,0.0,57.08608173044184,1.3923434568400448,41,True,3.414440620940624e-05,False,2.3485662851592455,9.023892744153272e-13,9
NGC3521,0.5,0.7,41,1,7.7,75.0,"Da06,Sa96",0,621.172197511499,15.150541402719488,4.372729851512587,195.61738858044842,195.61738858044842,0.0,42.791156020233174,1.0972091287239276,39,True,9.641627525628884e-05,False,2.7302069153277326,1.4061640740692383e-11,9,27.957261757949695,425.00034332783605,425.00034332783605,0.0,12.745925998349325,0.3268186153422904,39,True,1.4122608301591732e-05,False,1.9542775908959529,9.36140054363932e-13,9
NGC3726,0.5,0.7,12,2,18.0,53.0,"VS01,SV98",0,577.1951541212144,48.09959617676787,9.28147902205905,151.03770874045549,151.03770874045549,0.0,35.46125071601343,3.546125071601343,10,True,0.0001420362028800211,False,2.988838035253875,4.205702452964033e-11,9,141.01779593204222,485.733748918105,485.733748918105,0.0,20.42555033938449,2.042555033938449,10,True,1.7003270258035704e-05,False,1.265722003724136,8.572698106945609e-12,9
NGC3741,0.5,0.7,21,1,3.21,70.0,"Ge07,Bm05",0,2576.163101584595,122.67443340879024,1.9141126536800284,54.85232935842402,54.85232935842402,0.0,45.091366801436806,2.3732298316545686,19,True,8.06891593779601e-05,False,4.001722914038139,1.5518253349000588e-11,9,25.157556892276528,161.5457604088813,161.5457604088813,0.0,6.537494340234495,0.34407864948602607,19,True,4.764241121675084e-06,False,2.9215791189374603,1.694644424787839e-12,9
NGC3769,0.5,0.7,12,2,18.0,70.0,"VS01,SV98",0,645.7786633470861,53.81488861225717,6.4557552256022115,134.8954872674912,134.8954872674912,0.0,21.186542335002102,2.11865423350021,10,True,0.00019294139532543555,False,3.10186725742387,4.590106073010247e-11,9,16.79396292125685,235.67667877832994,235.67667877832994,0.0,11.053303730420549,1.105330373042055,10,True,1.46756440761217e-05,False,2.543906707116305,4.227729277772596e-12,9
NGC3877,0.5,0.7,13,2,18.0,76.0,"VS01,SV98",0,413.6333851622524,31.817952704788645,1.9436790672114592,123.05502559637372,123.05502559637372,0.0,33.91715162287007,3.083377420260916,11,True,7.561194813751761e-05,False,3.1937359497424858,6.899369964230573e-12,9,6.538042802513199,217.10678566079505,217.10678566079505,0.0,61.969628063926606,5.633602551266055,11,True,0.0005037228927457236,False,2.6259782353318624,4.2810910372281796e-10,9
NGC3893,0.5,0.7,10,1,18.0,49.0,"VS01,SV98",0,497.36300643692414,49.73630064369242,4.203159597820913,172.6990643132896,172.6990643132896,0.0,4.9912584724886,0.623907309061075,8,True,1.5459951466785346e-05,False,2.854817000501349,4.645173135031655e-13,9,17.46441908384978,344.86282478813865,344.86282478813865,0.0,8.86992749140901,1.1087409364261263,8,True,1.0330807458879335e-05,False,2.1632208389961702,9.231726494363102e-12,9
NGC3917,0.5,0.7,17,1,18.0,79.0,"VS01,SV98",0,2678.672020846451,157.5689424027324,3.519066276459239,133.54225125904316,133.54225125904316,0.0,25.689079296279928,1.7126052864186618,15,True,6.327814814736112e-05,False,3.1119496510501836,6.799893981224159e-12,9,28.534676788663266,321.13603759130103,321.13603759130103,0.0,64.16269632179791,4.277513088119861,15,True,2.077434597801175e-05,False,2.234502741175853,4.2021497392852325e-11,9
NGC3949,0.5,0.7,7,2,18.0,55.0,"VS01,SV98",0,47.77888439628576,6.825554913755108,5.211241144525669,176.37921060424466,176.37921060424466,0.0,2.2218453277466055,0.4443690655493211,5,True,5.388513584648466e-07,False,2.833731284740284,8.997247391562269e-13,9,499.9999999999865,1196.5422279315196,1196.5422279315196,0.0,2.7630083471888343,0.5526016694377669,5,True,1.0552161906086868e-08,True,2.6645352591003757e-14,3.006483950684924e-13,9
NGC3953,0.5,0.7,8,1,18.0,62.0,"VS01,SV98",0,491.25615884207014,61.40701985525877,3.250074878344872,174.49052200319733,174.49052200319733,0.0,5.5814872388572905,0.9302478731428817,6,True,4.071095273025534e-05,False,2.84449714265081,2.028599510595086e-12,9,7.174188871468386,310.84815002367645,310.84815002367645,0.0,1.6026838828929224,0.26711398048215373,6,True,5.843930575171569e-07,False,2.267063038299958,1.0302869668521453e-13,9
NGC3972,0.5,0.7,10,1,18.0,77.0,"VS01,SV98",0,856.5091486449041,85.65091486449042,2.75004967236194,123.70461097941663,123.70461097941663,0.0,13.756242084012733,1.7195302605015916,8,True,4.256460175888298e-05,False,3.1884710134459793,3.694822225952521e-12,9,57.615673873861645,455.8196954483712,455.8196954483712,0.0,9.161337757719153,1.145167219714894,8,True,4.6088159035835875e-06,False,1.8842702410474024,2.7208457709093636e-11,9
NGC3992,0.5,0.7,9,1,23.7,56.0,"VS01,SV98",0,2587.008885721497,287.445431746833,8.102720662143813,264.45563057572167,264.45563057572167,0.0,44.427272913309984,6.346753273329997,7,True,0.00033609623439919366,False,2.4286940787191593,5.872635711057228e-11,9,11.506678867131466,451.07877168892895,451.07877168892895,0.0,2.906146931077784,0.41516384729682626,7,True,2.373465363491469e-06,False,1.8947255833347167,2.708944180085382e-14,9
