galaxy,point_index,model,abs_z,weight,cumulative_weight
NGC6015,36,extended,2.686385693721528,0.0008481764206955047,0.7437534116508527
UGC02487,16,extended,2.702747390759608,0.0019083969465648854,0.7456618085974176
UGC02953,103,extended,2.71762423906836,0.00033189512114171923,0.7459937037185593
UGC07603,11,extended,2.740535851058177,0.002544529262086514,0.7485382329806458
UGC04325,7,extended,2.7488125843492166,0.003816793893129771,0.7523550268737755
KK98-251,13,extended,2.7753424167507035,0.002544529262086514,0.754899556135862
UGC02953,96,extended,2.8062303956391985,0.00033189512114171923,0.7552314512570037
UGC05253,60,extended,2.806649206600861,0.0005089058524173028,0.755740357109421
UGC11557,9,extended,2.8380587658018537,0.002544529262086514,0.7582848863715075
NGC2903,27,extended,2.857474206166595,0.0010905125408942203,0.7593753989124017
UGC02953,104,extended,2.866331610284265,0.00033189512114171923,0.7597072940335434
UGC00128,17,extended,2.8698482284532965,0.0015267175572519084,0.7612340115907953
NGC2915,29,extended,2.877447624939037,0.001272264631043257,0.7625062762218385
NGC6195,19,extended,2.895020704537675,0.0015267175572519084,0.7640329937790904
NGC2915,27,extended,2.9046252523733136,0.001272264631043257,0.7653052584101336
UGC05253,71,extended,2.905775842720013,0.0005089058524173028,0.7658141642625509
NGC7331,28,extended,2.9078889895141344,0.0009541984732824427,0.7667683627358334
UGC03580,39,extended,2.9287092566439106,0.0007633587786259542,0.7675317215144594
NGC6503,25,extended,2.954695160957222,0.0010905125408942203,0.7686222340553536
NGC6503,26,extended,2.982272314646117,0.0010905125408942203,0.7697127465962478
UGC05721,22,extended,2.9898313841731103,0.0015267175572519084,0.7712394641534996
UGC05253,59,extended,2.997877106439345,0.0005089058524173028,0.7717483700059169
NGC5033,17,extended,3.0193433456247285,0.0015267175572519084,0.7732750875631688
IC4202,26,extended,3.0249548912511104,0.0010905125408942203,0.774365600104063
NGC2403,58,extended,3.0310132478190464,0.0005089058524173028,0.7748745059564802
NGC6503,28,extended,3.061433516886785,0.0010905125408942203,0.7759650184973744
NGC7814,17,extended,3.0951418009806098,0.0019083969465648854,0.7778734154439393
NGC1003,30,extended,3.1012807659933257,0.0009541984732824427,0.7788276139172218
UGC04278,23,extended,3.1047964008952107,0.0015267175572519084,0.7803543314744736
NGC2915,28,extended,3.115401491212111,0.001272264631043257,0.7816265961055169
UGC03546,27,extended,3.1217978046114943,0.001272264631043257,0.7828988607365601
NGC3769,11,extended,3.1257994984081456,0.002544529262086514,0.7854433899986466
NGC5985,28,extended,3.1264596839066057,0.0010905125408942203,0.7865339025395408
UGC02259,7,extended,3.1369564801387355,0.003816793893129771,0.7903506964326705
NGC2903,30,extended,3.146069333173538,0.0010905125408942203,0.7914412089735647
UGC05253,68,extended,3.1482138506531667,0.0005089058524173028,0.791950114825982
NGC7331,29,extended,3.168426626157057,0.0009541984732824427,0.7929043132992645
NGC7331,34,extended,3.2257185560962927,0.0009541984732824427,0.793858511772547
NGC2403,67,extended,3.2285347407393648,0.0005089058524173028,0.7943674176249642
