run,binning,radial_bin,model,galaxies,points,mean_z_median,mean_z_q25,mean_z_q75,rms_z_median,rms_z_q25,rms_z_q75,mean_residual_kms_median,mean_residual_kms_q25,mean_residual_kms_q75,median_fractional_residual_median,median_fractional_residual_q25,median_fractional_residual_q75
ml_0.3,r_over_rmax,outer,core,153,852,-0.6293412351280858,-2.181646998533318,-0.1236913846419336,1.158464691645931,0.5766854258722989,2.777772760424755,-2.882777750656658,-15.21073893694568,-0.5937628633179095,-0.03359784519040433,-0.08357962736658629,-0.006184883084763101
ml_0.3,r_over_rmax,outer,nfw,153,852,0.02099935328490373,-0.5135644133049601,0.294080488954587,0.727080307813455,0.3984614285293679,1.292960878565225,0.04885577847718162,-2.064321159701819,1.522434008595245,0.0003718112030863564,-0.01934149921771225,0.01636748869184695
ml_0.5,r_over_Rdisk,inner,core,140,754,-0.4832523893548553,-1.627048816822951,0.2273023582447881,1.397942511170434,0.6847156884226011,3.12329265136086,-2.222950610035367,-7.269346214043793,0.9807623988614116,-0.05659213747995458,-0.1396290219648578,0.02204512990866885
ml_0.5,r_over_Rdisk,inner,nfw,140,754,1.018144454617196,0.3906617251866576,1.755175306291186,1.476543075429432,0.9501587178635137,2.535712670859165,4.338917325334919,1.865140906609511,9.359432506626865,0.1191451722243302,0.029121439464481,0.2570747409710678
ml_0.5,r_over_Rdisk,middle,core,153,1127,-0.02173578825321365,-1.063478854514626,0.2213841676046195,1.105941137317905,0.512513087500634,2.322699964328795,-0.1454554361063201,-3.922718385007123,1.165448090449775,-0.003211892036290128,-0.04559079290806133,0.0163796479257846
ml_0.5,r_over_Rdisk,middle,nfw,153,1127,-0.0564556257149316,-0.4318986081766491,0.3389433144157,0.9668250589151453,0.5731209124909101,1.758925447939963,-0.1879454844191125,-1.73251784842206,1.784548618118059,-0.004960970522955487,-0.02643728777797028,0.01734446647987186
ml_0.5,r_over_Rdisk,outer,core,136,1287,-0.1011216035611049,-0.5491230078739745,0.08273508154691724,1.138371877221504,0.5486566913403216,2.144575969628575,-0.8940645239443907,-3.240318680352146,0.06582045897315696,-0.002610562141500233,-0.02550109779546846,0.008007148831810581
ml_0.5,r_over_Rdisk,outer,nfw,136,1287,-0.01498483563635605,-0.1975341098901683,0.1548429604856453,0.8443300611206128,0.4289885539260025,1.418668088014846,-0.06210393931621667,-1.276284911954535,0.9340144365544625,-0.0006988181515146506,-0.01040687019747626,0.009171365036247587
ml_0.5,r_over_rmax,inner,core,153,1431,-0.6447122204458499,-1.517158086792072,-0.1014192125909728,1.503380183494647,0.7815053944785056,3.18444105801669,-2.41368198376528,-6.409248134350563,0.001879536262284098,-0.04758789196986128,-0.1026992304417421,-0.005496731397920959
ml_0.5,r_over_rmax,inner,nfw,153,1431,0.5837777212729968,0.09430073676140563,1.211898719364484,1.494151259020965,0.849875245779916,2.383867281497018,2.995533146518746,0.3683233376679678,5.119628081695454,0.03611364197348454,-0.001789898130730596,0.1218769675229116
ml_0.5,r_over_rmax,middle,core,153,885,0.5367196142177818,0.1607694735518863,1.240012846233726,0.9927011303790981,0.5294059115367525,1.903856050515198,1.788840678224149,0.4085591799269158,4.387131634203698,0.02676669648199929,0.004501643250571099,0.05120069486820959
ml_0.5,r_over_rmax,middle,nfw,153,885,-0.2484347408475573,-0.6094913402240408,0.2726132425420842,0.9006344061511523,0.4989562746847676,1.590625334917686,-0.7492710413929956,-2.507847788621253,0.9910701605056763,-0.006860142518248293,-0.02695590368080755,0.009995967336038669
ml_0.5,r_over_rmax,outer,core,153,852,-0.3422010654539928,-1.135595656123426,-0.05710220674384581,0.9733851286382673,0.400765954196768,1.592894387889409,-1.667974014861876,-6.40705046972275,-0.2676112367976735,-0.01534279480960623,-0.05323283569514634,-0.0008448879429678105
ml_0.5,r_over_rmax,outer,nfw,153,852,0.03774604831646128,-0.4048590750766839,0.3111861927637323,0.7266652683156392,0.4299098727677059,1.228820387978986,0.1655588997884259,-1.622935333256653,1.495100817972077,-0.001880754526904423,-0.01740044999680171,0.0144260586000171
ml_0.7,r_over_Rdisk,inner,core,140,754,-0.008414884544398572,-0.7734906803884484,1.958188094518384,1.775195408637751,0.6219439044779251,3.461445948923947,0.226126531566392,-4.059672704318953,13.55625493132639,0.005479122491890358,-0.0974182284506966,0.1295555471888662
ml_0.7,r_over_Rdisk,inner,nfw,140,754,1.273754472681881,0.6082351576943483,3.063865227168431,1.765954642770149,1.042021300771485,3.536195978204287,5.96287689919512,2.712504816671073,16.81955445278884,0.1696472128306273,0.06474318059272621,0.3049969960400024
ml_0.7,r_over_Rdisk,middle,core,153,1127,-0.01023588228604853,-0.7876611707092006,0.3902094416783178,1.214719779818458,0.5729976070419305,2.610606290357517,0.011267110731184,-2.696804736914002,1.897160474217145,0.001763620962160525,-0.02881560253019941,0.02499863405936244
ml_0.7,r_over_Rdisk,middle,nfw,153,1127,0.02997995513842927,-0.3887712485189567,1.154150254955807,1.241916172301389,0.6962702009245774,2.313792074704555,0.1516985730004521,-1.496075003400195,5.304805317608259,0.001236469327502254,-0.02205522402067402,0.04635323486029984
ml_0.7,r_over_Rdisk,outer,core,136,1287,-0.1131696169259,-0.4898659321349417,0.06425857449475657,0.9639336143841359,0.5975452107649293,1.998282818182574,-0.6659487809591695,-3.058730353099131,0.2565242108925441,-0.003749793051841211,-0.02508634395848645,0.004550196835632596
ml_0.7,r_over_Rdisk,outer,nfw,136,1287,-0.09074785100231537,-0.4040021345544413,0.1366020368027384,0.8908607446115266,0.4419973451396348,1.779059201711072,-0.2131882621378176,-2.315641791871398,0.7713700684705126,-0.003959657999670002,-0.02053739214454507,0.006151019474040302
ml_0.7,r_over_rmax,inner,core,153,1431,-0.1671418850108755,-1.09981725379956,0.9708193846103024,1.705585294609869,0.8171987912105443,3.361104328284274,-0.5988832169553051,-3.776138371978904,5.623437193535148,-0.01702762167491106,-0.07402498706006982,0.05793080917617507
ml_0.7,r_over_rmax,inner,nfw,153,1431,1.053435936040644,0.2751105335796184,2.291777706253612,1.711631681330767,0.9969725766953553,3.214191208674285,4.188758015287958,1.119633281693513,10.7876069862592,0.074419766403822,0.009355149359818724,0.1572847316087174
ml_0.7,r_over_rmax,middle,core,153,885,0.3830898056790735,-0.01694189900652676,0.9737446843061519,0.9932594105121667,0.5208992732959239,1.764179850340207,1.366758930884547,-0.1050519368108509,3.857130844258424,0.02133895345549404,-0.0002377857740028242,0.05020876375106403
ml_0.7,r_over_rmax,middle,nfw,153,885,-0.2699129230921467,-0.757364928476469,0.3711869857391724,0.9265604792323001,0.5332887139984227,1.751241244313304,-0.6492694171368024,-2.658534423804856,1.638754046483498,-0.006443804197259121,-0.02775004158230249,0.01223426841823132
ml_0.7,r_over_rmax,outer,core,153,852,-0.2046779664688292,-0.8438976403264631,-0.02775263107093044,0.8159765334919753,0.4643008217767894,1.434532014988802,-0.8421844252595406,-5.270439249619344,-0.03292347543863864,-0.0104273684205372,-0.04214248567482455,0.001071619168282074
ml_0.7,r_over_rmax,outer,nfw,153,852,-0.02998801443402694,-0.8129589267594979,0.2494756262921558,0.8047694129991303,0.4594903423288786,1.529984605149621,-0.1090345441939959,-3.148498101437903,1.262346669038308,-0.003237824986581026,-0.03742848069504742,0.01257599798867209
wide_ml_0.5,r_over_Rdisk,inner,core,140,754,-0.4832525547710663,-1.627048805086147,0.2273023801542459,1.397942504489166,0.6847157081384758,3.123293032811331,-2.222950490633012,-7.269345530658444,0.9807623517608295,-0.05659212753521621,-0.1396289867324521,0.02204513056403483
wide_ml_0.5,r_over_Rdisk,inner,nfw,140,754,1.01165085596246,0.3898320451215985,1.755298740610801,1.461476844853333,0.9501586355828077,2.535712683266933,4.336536268103405,1.865140965934063,9.359432842762219,0.1188173186977784,0.02912143547972404,0.2567383779946604
wide_ml_0.5,r_over_Rdisk,middle,core,153,1127,-0.02173583691163734,-1.063478866200914,0.2213841663822114,1.105941138208532,0.5125130861943417,2.322699177726655,-0.145455496156111,-3.922726111032347,1.165448089825279,-0.003211894721931913,-0.0455907929384563,0.01637964849504519
wide_ml_0.5,r_over_Rdisk,middle,nfw,153,1127,-0.05645561609168733,-0.431898664619183,0.3389433273745917,0.9668250901407293,0.5731209246783442,1.758925485374365,-0.1879455057880079,-1.73251789709725,1.784548505210466,-0.004960970385107733,-0.02706069193797936,0.01734446651106985
wide_ml_0.5,r_over_Rdisk,outer,core,136,1287,-0.1011216109138961,-0.5491228728594543,0.08273509321653796,1.138371883096782,0.5486566873700229,2.144575976192817,-0.894064570285331,-3.239536256740747,0.06582066663153781,-0.002610561636186559,-0.02550109756663617,0.008007147881776597
wide_ml_0.5,r_over_Rdisk,outer,nfw,136,1287,-0.007552544757432417,-0.1975341034800704,0.1635293761128419,0.8443296400475595,0.4290373317345985,1.412592807159985,-0.05795439283011845,-1.276285316202378,1.010130828685067,-0.0003208676715301882,-0.01040686850446258,0.0101240095694055
wide_ml_0.5,r_over_rmax,inner,core,153,1431,-0.6447122195421707,-1.517158128042966,-0.1014192367600582,1.503380183661186,0.7815053846074878,3.184440996055639,-2.413682005818293,-6.409246909523887,0.00187954399183532,-0.04758727065991643,-0.1026992415005895,-0.00549673172387628
wide_ml_0.5,r_over_rmax,inner,nfw,153,1431,0.583777709731707,0.09430072313554341,1.211898830397443,1.494151460814245,0.8458793587673431,2.38386727523689,2.956295646237761,0.3683225303290527,5.119627541817263,0.0361136353041565,-0.00178989638884132,0.1211720373730841
wide_ml_0.5,r_over_rmax,middle,core,153,885,0.5367196187897038,0.1607694769094754,1.24001278316072,0.9927011252422788,0.5294058855079472,1.903855999549479,1.788841217815792,0.4085581427549509,4.387131628885323,0.02676671802273459,0.004501674197739967,0.05120069548311374
wide_ml_0.5,r_over_rmax,middle,nfw,153,885,-0.2635115685063095,-0.609491402590998,0.2616248215488493,0.9006343982077021,0.4953987857356308,1.590625232534612,-0.8262643756398713,-2.511807066381076,0.9910700747433635,-0.006860142425907031,-0.02695593603828268,0.009612612329356438
wide_ml_0.5,r_over_rmax,outer,core,153,852,-0.3422010698077778,-1.135595587710631,-0.05710222787166459,0.973384477203874,0.4007659174434435,1.59289440586556,-1.664572992190386,-6.407050279672288,-0.2676111174471103,-0.01534279283863671,-0.05323284753071549,-0.0008448880335035361
wide_ml_0.5,r_over_rmax,outer,nfw,153,852,0.03832043218770206,-0.3893141679309043,0.3111860457612565,0.7213540043783599,0.429909928085519,1.22433587704462,0.1838546529689573,-1.557256671723617,1.495101640023016,-0.001455167805882509,-0.01662074841876058,0.01442605630839685
